Date;Hour;Day_type;Zone;TypeFlux;Home_Zone;Activity_Zone;Volume
2020-02-16;06:00:00;WE;Haut-Katanga;Entree;Haut-Katanga;Haut-Katanga;3913
2020-02-16;06:00:00;WE;Haut-Katanga;Entree;Haut-Katanga;Hors_Zone;260
2020-02-16;06:00:00;WE;Haut-Katanga;Entree;Haut-Katanga;Lualaba;2348
2020-02-16;06:00:00;WE;Haut-Katanga;Entree;Hors_Zone;Hors_Zone;260
2020-02-16;06:00:00;WE;Haut-Katanga;Entree;Lualaba;Haut-Katanga;260
2020-02-16;06:00:00;WE;Haut-Katanga;Entree;Lualaba;Lualaba;1304
2020-02-16;06:00:00;WE;Haut-Katanga;Sortie;Haut-Katanga;Haut-Katanga;1043
2020-02-16;06:00:00;WE;Haut-Katanga;Sortie;Haut-Katanga;Lualaba;260
2020-02-16;06:00:00;WE;Haut-Katanga;Sortie;Lualaba;Haut-Katanga;1304
2020-02-16;06:00:00;WE;Haut-Katanga;Sortie;Lualaba;Lualaba;3130
2020-02-16;06:00:00;WE;Haut-Lomami;Entree;Lomami;Lomami;323
2020-02-16;06:00:00;WE;Haut-Lomami;Sortie;Haut-Lomami;Haut-Lomami;782
2020-02-16;06:00:00;WE;Haut-Lomami;Sortie;Hors_Zone;Hors_Zone;584
2020-02-16;06:00:00;WE;Ituri;Sortie;Nord-Kivu;Nord-Kivu;397
2020-02-16;06:00:00;WE;Kasai;Entree;Kwilu;Kwilu;438
2020-02-16;06:00:00;WE;Kasai-Central;Entree;Hors_Zone;Hors_Zone;4879
2020-02-16;06:00:00;WE;Kasai-Central;Entree;Kasai-Oriental;Kasai-Oriental;5850
2020-02-16;06:00:00;WE;Kasai-Central;Sortie;Hors_Zone;Hors_Zone;323
2020-02-16;06:00:00;WE;Kasai-Central;Sortie;Hors_Zone;Kasai-Oriental;323
2020-02-16;06:00:00;WE;Kasai-Central;Sortie;Kasai-Central;Kasai-Central;5526
2020-02-16;06:00:00;WE;Kasai-Central;Sortie;Kasai-Oriental;Kasai-Central;323
2020-02-16;06:00:00;WE;Kasai-Central;Sortie;Kasai-Oriental;Kasai-Oriental;4879
2020-02-16;06:00:00;WE;Kasai-Oriental;Entree;Hors_Zone;Hors_Zone;1294
2020-02-16;06:00:00;WE;Kasai-Oriental;Entree;Hors_Zone;Kasai-Central;4879
2020-02-16;06:00:00;WE;Kasai-Oriental;Entree;Hors_Zone;Kasai-Oriental;647
2020-02-16;06:00:00;WE;Kasai-Oriental;Entree;Hors_Zone;Lomami;1618
2020-02-16;06:00:00;WE;Kasai-Oriental;Entree;Kasai-Central;Kasai-Central;10729
2020-02-16;06:00:00;WE;Kasai-Oriental;Entree;Kasai-Oriental;Kasai-Central;323
2020-02-16;06:00:00;WE;Kasai-Oriental;Entree;Kasai-Oriental;Kasai-Oriental;6798
2020-02-16;06:00:00;WE;Kasai-Oriental;Entree;Kasai-Oriental;Lomami;2913
2020-02-16;06:00:00;WE;Kasai-Oriental;Entree;Lomami;Kasai-Oriental;1942
2020-02-16;06:00:00;WE;Kasai-Oriental;Entree;Lomami;Lomami;6150
2020-02-16;06:00:00;WE;Kasai-Oriental;Sortie;Hors_Zone;Hors_Zone;647
2020-02-16;06:00:00;WE;Kasai-Oriental;Sortie;Hors_Zone;Kasai-Oriental;971
