Date;Origin;Destination;Immobility;Home_Category;Activity_Category;Recurrence;Volume
2020-02-24;Bas-Uele;Haut-Uele;1h;Outside_Resident;Outside_Worker;Primo;651
2020-02-24;Bas-Uele;Haut-Uele;1h;Outside_Resident;Origin_Zone_Worker;Primo;277
2020-02-24;Bas-Uele;Haut-Uele;1h;Outside_Resident;Destination_Zone_Worker;Primo;119
2020-02-24;Bas-Uele;Haut-Uele;1h;Outside_Resident;Destination_Zone_Worker;Occasional;39
2020-02-24;Bas-Uele;Haut-Uele;1h;Outside_Resident;Study_Zone_Worker;Primo;44
2020-02-24;Bas-Uele;Haut-Uele;1h;Origin_Zone_Resident;Outside_Worker;Primo;39
2020-02-24;Bas-Uele;Haut-Uele;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;198
2020-02-24;Bas-Uele;Haut-Uele;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;79
2020-02-24;Bas-Uele;Haut-Uele;3h;Outside_Resident;Outside_Worker;Primo;651
2020-02-24;Bas-Uele;Haut-Uele;3h;Outside_Resident;Origin_Zone_Worker;Primo;277
2020-02-24;Bas-Uele;Haut-Uele;3h;Outside_Resident;Destination_Zone_Worker;Primo;119
2020-02-24;Bas-Uele;Haut-Uele;3h;Outside_Resident;Destination_Zone_Worker;Occasional;39
2020-02-24;Bas-Uele;Haut-Uele;3h;Outside_Resident;Study_Zone_Worker;Primo;44
2020-02-24;Bas-Uele;Haut-Uele;3h;Origin_Zone_Resident;Outside_Worker;Primo;39
2020-02-24;Bas-Uele;Haut-Uele;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;198
2020-02-24;Bas-Uele;Haut-Uele;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;79
2020-02-24;Bas-Uele;Ituri;1h;Outside_Resident;Outside_Worker;Primo;158
2020-02-24;Bas-Uele;Ituri;1h;Outside_Resident;Destination_Zone_Worker;Primo;39
2020-02-24;Bas-Uele;Ituri;3h;Outside_Resident;Outside_Worker;Primo;158
2020-02-24;Bas-Uele;Ituri;3h;Outside_Resident;Destination_Zone_Worker;Primo;39
2020-02-24;Bas-Uele;Mongala;1h;Outside_Resident;Outside_Worker;Primo;1736
2020-02-24;Bas-Uele;Mongala;1h;Outside_Resident;Origin_Zone_Worker;Primo;119
2020-02-24;Bas-Uele;Mongala;1h;Outside_Resident;Destination_Zone_Worker;Primo;990
2020-02-24;Bas-Uele;Mongala;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;214
2020-02-24;Bas-Uele;Mongala;1h;Destination_Zone_Resident;Outside_Worker;Primo;87
2020-02-24;Bas-Uele;Mongala;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;340
2020-02-24;Bas-Uele;Mongala;1h;Study_Zone_Resident;Study_Zone_Worker;Primo;166
2020-02-24;Bas-Uele;Mongala;3h;Outside_Resident;Outside_Worker;Primo;1736
2020-02-24;Bas-Uele;Mongala;3h;Outside_Resident;Origin_Zone_Worker;Primo;119
2020-02-24;Bas-Uele;Mongala;3h;Outside_Resident;Destination_Zone_Worker;Primo;990
2020-02-24;Bas-Uele;Mongala;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;214
2020-02-24;Bas-Uele;Mongala;3h;Destination_Zone_Resident;Outside_Worker;Primo;87
2020-02-24;Bas-Uele;Mongala;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;340
2020-02-24;Bas-Uele;Mongala;3h;Study_Zone_Resident;Study_Zone_Worker;Primo;166
2020-02-24;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Outside_Worker;Primo;678
2020-02-24;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Outside_Worker;Occasional;87
2020-02-24;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Destination_Zone_Worker;Primo;126
2020-02-24;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Study_Zone_Worker;Primo;87
2020-02-24;Bas-Uele;Nord-Ubangi;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;126
2020-02-24;Bas-Uele;Nord-Ubangi;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;214
2020-02-24;Bas-Uele;Nord-Ubangi;1h;Study_Zone_Resident;Study_Zone_Worker;Primo;39
2020-02-24;Bas-Uele;Nord-Ubangi;3h;Outside_Resident;Outside_Worker;Primo;673
2020-02-24;Bas-Uele;Nord-Ubangi;3h;Outside_Resident;Outside_Worker;Occasional;87
2020-02-24;Bas-Uele;Nord-Ubangi;3h;Outside_Resident;Destination_Zone_Worker;Primo;126
2020-02-24;Bas-Uele;Nord-Ubangi;3h;Outside_Resident;Study_Zone_Worker;Primo;87
2020-02-24;Bas-Uele;Nord-Ubangi;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;126
2020-02-24;Bas-Uele;Nord-Ubangi;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;214
2020-02-24;Bas-Uele;Nord-Ubangi;3h;Study_Zone_Resident;Study_Zone_Worker;Primo;39
2020-02-24;Bas-Uele;Tshopo;1h;Outside_Resident;Outside_Worker;Primo;3647
2020-02-24;Bas-Uele;Tshopo;1h;Outside_Resident;Origin_Zone_Worker;Primo;660
2020-02-24;Bas-Uele;Tshopo;1h;Outside_Resident;Destination_Zone_Worker;Primo;2108
2020-02-24;Bas-Uele;Tshopo;1h;Outside_Resident;Destination_Zone_Worker;Occasional;158
2020-02-24;Bas-Uele;Tshopo;1h;Outside_Resident;Study_Zone_Worker;Primo;100
2020-02-24;Bas-Uele;Tshopo;1h;Origin_Zone_Resident;Outside_Worker;Primo;158
