Period;Hour;Day_type;Origin;Destination;Immobility;Home_Category;Activity_Category;Social-professional groups;Observation_Zone;Mode;Volume
202002;06:30:00;JO;Haut-Katanga;Lualaba;1h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;55
202002;06:30:00;JO;Haut-Katanga;Lualaba;3h;Destination_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;26
202002;06:30:00;JO;Haut-Katanga;Lualaba;3h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;55
202002;06:30:00;JO;Haut-Lomami;Lualaba;1h;Study_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;29
202002;06:30:00;JO;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;471
202002;06:30:00;JO;Hors_Zone;Haut-Lomami;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;55
202002;06:30:00;JO;Hors_Zone;Kasai-Oriental;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;83
202002;06:30:00;JO;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;195
202002;06:30:00;JO;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;83
202002;06:30:00;JO;Hors_Zone;Lualaba;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;164
202002;06:30:00;JO;Hors_Zone;Maniema;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;28
202002;06:30:00;JO;Hors_Zone;Nord-Kivu;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;168
202002;06:30:00;JO;Hors_Zone;Sankuru;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;27
202002;06:30:00;JO;Hors_Zone;Sud-Kivu;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;111
202002;06:30:00;JO;Hors_Zone;Tshopo;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;28
202002;06:30:00;JO;Kinshasa;Kongo-Central;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;53
202002;06:30:00;JO;Kinshasa;Kongo-Central;1h;Destination_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;27
202002;06:30:00;JO;Kinshasa;Kongo-Central;1h;Origin_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;28
202002;06:30:00;JO;Kinshasa;Kongo-Central;1h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;56
202002;06:30:00;JO;Kinshasa;Kongo-Central;3h;Outside_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;27
202002;06:30:00;JO;Kinshasa;Kongo-Central;3h;Destination_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;27
202002;06:30:00;JO;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;28
202002;06:30:00;JO;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;56
202002;06:30:00;JO;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;193
202002;06:30:00;JO;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;196
202002;06:30:00;JO;Lualaba;Haut-Katanga;3h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;30
202002;06:30:00;WE;Haut-Katanga;Lualaba;1h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;56
202002;06:30:00;WE;Haut-Katanga;Lualaba;3h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;56
202002;06:30:00;WE;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;55
202002;06:30:00;WE;Hors_Zone;Kasai-Oriental;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;28
202002;06:30:00;WE;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;137
202002;06:30:00;WE;Hors_Zone;Lualaba;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;31
202002;06:30:00;WE;Hors_Zone;Nord-Kivu;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;57
202002;06:30:00;WE;Hors_Zone;Sud-Kivu;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;115
202002;06:30:00;WE;Kasai-Oriental;Kasai-Central;3h;Destination_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;28
202002;06:30:00;WE;Kinshasa;Kongo-Central;1h;Destination_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;123
202002;06:30:00;WE;Kinshasa;Kongo-Central;1h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;28
202002;06:30:00;WE;Kinshasa;Kongo-Central;3h;Outside_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;31
202002;06:30:00;WE;Kinshasa;Kongo-Central;3h;Destination_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;95
202002;06:30:00;WE;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;59
202002;06:30:00;WE;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;113
202002;06:30:00;WE;Kongo-Central;Kinshasa;3h;Destination_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;28
202002;06:30:00;WE;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;115
202002;07:00:00;JO;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;599
202002;07:00:00;JO;Hors_Zone;Ituri;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;27
202002;07:00:00;JO;Hors_Zone;Kasai-Central;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;53
202002;07:00:00;JO;Hors_Zone;Kasai-Oriental;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;27
202002;07:00:00;JO;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;218
202002;07:00:00;JO;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;410
202002;07:00:00;JO;Hors_Zone;Lualaba;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;81
202002;07:00:00;JO;Hors_Zone;Nord-Kivu;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;53
202002;07:00:00;JO;Hors_Zone;Sud-Kivu;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;83
202002;07:00:00;JO;Hors_Zone;Sud-Ubangi;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;27
202002;07:00:00;JO;Hors_Zone;Tshopo;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;53
202002;07:00:00;JO;Kasai-Central;Kasai-Oriental;3h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;27
202002;07:00:00;JO;Kasai-Oriental;Kasai-Central;1h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;27
202002;07:00:00;JO;Kasai-Oriental;Kasai-Central;3h;Destination_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;26
202002;07:00:00;JO;Kinshasa;Kongo-Central;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;53
202002;07:00:00;JO;Kinshasa;Kongo-Central;1h;Destination_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;54
202002;07:00:00;JO;Kinshasa;Kongo-Central;1h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;79
202002;07:00:00;JO;Kinshasa;Kongo-Central;3h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;26
202002;07:00:00;JO;Kinshasa;Kongo-Central;3h;Destination_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;54
202002;07:00:00;JO;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;27
202002;07:00:00;JO;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;106
202002;07:00:00;JO;Kinshasa;Kwilu;1h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;27
202002;07:00:00;JO;Kongo-Central;Kinshasa;1h;Destination_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;58
202002;07:00:00;JO;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;301
202002;07:00:00;JO;Kongo-Central;Kinshasa;3h;Destination_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;58
202002;07:00:00;JO;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;28
202002;07:00:00;JO;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;381
202002;07:00:00;JO;Kwilu;Kinshasa;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;27
202002;07:00:00;JO;Lualaba;Haut-Katanga;1h;Destination_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;30
202002;07:00:00;WE;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;167
202002;07:00:00;WE;Hors_Zone;Ituri;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;28
202002;07:00:00;WE;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;169
202002;07:00:00;WE;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;137
202002;07:00:00;WE;Hors_Zone;Nord-Kivu;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;26
202002;07:00:00;WE;Hors_Zone;Sankuru;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;27
202002;07:00:00;WE;Kinshasa;Kongo-Central;1h;Destination_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;53
202002;07:00:00;WE;Kinshasa;Kongo-Central;1h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;31
202002;07:00:00;WE;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;31
202002;07:00:00;WE;Kongo-Central;Kinshasa;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;27
202002;07:00:00;WE;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;81
202002;07:00:00;WE;Kongo-Central;Kinshasa;3h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;54
202002;07:00:00;WE;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;81
202002;07:00:00;WE;Lualaba;Haut-Katanga;1h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;27
202002;07:00:00;WE;Lualaba;Haut-Katanga;3h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;27
202002;07:00:00;WE;Nord-Kivu;Sud-Kivu;3h;Origin_Zone_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;27
202002;07:30:00;JO;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;454
202002;07:30:00;JO;Hors_Zone;Kasai-Central;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;55
202002;07:30:00;JO;Hors_Zone;Kasai-Oriental;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;56
202002;07:30:00;JO;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;189
202002;07:30:00;JO;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;338
202002;07:30:00;JO;Hors_Zone;Lualaba;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;104
202002;07:30:00;JO;Hors_Zone;Nord-Kivu;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;240
202002;07:30:00;JO;Hors_Zone;Nord-Ubangi;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;26
202002;07:30:00;JO;Hors_Zone;Sud-Kivu;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;29
202002;07:30:00;JO;Hors_Zone;Tshopo;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;56
202002;07:30:00;JO;Kinshasa;Kongo-Central;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;51
202002;07:30:00;JO;Kinshasa;Kongo-Central;1h;Outside_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;52
202002;07:30:00;JO;Kinshasa;Kongo-Central;1h;Destination_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;52
202002;07:30:00;JO;Kinshasa;Kongo-Central;1h;Origin_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;25
202002;07:30:00;JO;Kinshasa;Kongo-Central;1h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;135
202002;07:30:00;JO;Kinshasa;Kongo-Central;3h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;77
202002;07:30:00;JO;Kinshasa;Kongo-Central;3h;Outside_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;26
202002;07:30:00;JO;Kinshasa;Kongo-Central;3h;Destination_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;25
202002;07:30:00;JO;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;25
202002;07:30:00;JO;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;131
202002;07:30:00;JO;Kongo-Central;Kinshasa;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;26
202002;07:30:00;JO;Kongo-Central;Kinshasa;1h;Outside_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;25
202002;07:30:00;JO;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;26
202002;07:30:00;JO;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;213
202002;07:30:00;JO;Kongo-Central;Kinshasa;3h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;26
202002;07:30:00;JO;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;26
202002;07:30:00;JO;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;188
202002;07:30:00;JO;Kwilu;Kinshasa;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;26
202002;07:30:00;JO;Lualaba;Haut-Katanga;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;27
202002;07:30:00;JO;Nord-Kivu;Sud-Kivu;3h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;26
202002;07:30:00;WE;Hors_Zone;Equateur;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;26
202002;07:30:00;WE;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;78
202002;07:30:00;WE;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;79
202002;07:30:00;WE;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;130
202002;07:30:00;WE;Hors_Zone;Lualaba;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;103
202002;07:30:00;WE;Hors_Zone;Nord-Kivu;1h;Outside_Resident;Outside_Worker;NR;ZoneGlobale;All_modes;26
202002;07:30:00;WE;Kinshasa;Kongo-Central;1h;Destination_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;26
202002;07:30:00;WE;Kinshasa;Kongo-Central;1h;Origin_Zone_Resident;Origin_Zone_Worker;NR;ZoneGlobale;All_modes;26
202002;07:30:00;WE;Kinshasa;Kongo-Central;3h;Destination_Zone_Resident;Destination_Zone_Worker;NR;ZoneGlobale;All_modes;26
