Date;Origin;Destination;Immobility;Home_Category;Activity_Category;Recurrence;Volume
2020-02-13;Bas-Uele;Haut-Uele;1h;Outside_Resident;Outside_Worker;Primo;732
2020-02-13;Bas-Uele;Haut-Uele;1h;Outside_Resident;Outside_Worker;Occasional;40
2020-02-13;Bas-Uele;Haut-Uele;1h;Outside_Resident;Origin_Zone_Worker;Primo;160
2020-02-13;Bas-Uele;Haut-Uele;1h;Outside_Resident;Destination_Zone_Worker;Primo;80
2020-02-13;Bas-Uele;Haut-Uele;1h;Outside_Resident;Destination_Zone_Worker;Occasional;40
2020-02-13;Bas-Uele;Haut-Uele;1h;Outside_Resident;Study_Zone_Worker;Primo;40
2020-02-13;Bas-Uele;Haut-Uele;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;160
2020-02-13;Bas-Uele;Haut-Uele;1h;Study_Zone_Resident;Study_Zone_Worker;Primo;40
2020-02-13;Bas-Uele;Haut-Uele;3h;Outside_Resident;Outside_Worker;Primo;732
2020-02-13;Bas-Uele;Haut-Uele;3h;Outside_Resident;Outside_Worker;Occasional;40
2020-02-13;Bas-Uele;Haut-Uele;3h;Outside_Resident;Origin_Zone_Worker;Primo;160
2020-02-13;Bas-Uele;Haut-Uele;3h;Outside_Resident;Destination_Zone_Worker;Primo;80
2020-02-13;Bas-Uele;Haut-Uele;3h;Outside_Resident;Destination_Zone_Worker;Occasional;40
2020-02-13;Bas-Uele;Haut-Uele;3h;Outside_Resident;Study_Zone_Worker;Primo;40
2020-02-13;Bas-Uele;Haut-Uele;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;160
2020-02-13;Bas-Uele;Haut-Uele;3h;Study_Zone_Resident;Study_Zone_Worker;Primo;40
2020-02-13;Bas-Uele;Ituri;1h;Outside_Resident;Outside_Worker;Primo;80
2020-02-13;Bas-Uele;Ituri;3h;Outside_Resident;Outside_Worker;Primo;80
2020-02-13;Bas-Uele;Mongala;1h;Outside_Resident;Outside_Worker;Primo;1230
2020-02-13;Bas-Uele;Mongala;1h;Outside_Resident;Origin_Zone_Worker;Primo;175
2020-02-13;Bas-Uele;Mongala;1h;Outside_Resident;Destination_Zone_Worker;Primo;128
2020-02-13;Bas-Uele;Mongala;1h;Origin_Zone_Resident;Outside_Worker;Primo;40
2020-02-13;Bas-Uele;Mongala;1h;Destination_Zone_Resident;Outside_Worker;Primo;168
2020-02-13;Bas-Uele;Mongala;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;351
2020-02-13;Bas-Uele;Mongala;1h;Study_Zone_Resident;Outside_Worker;Primo;87
2020-02-13;Bas-Uele;Mongala;3h;Outside_Resident;Outside_Worker;Primo;1230
2020-02-13;Bas-Uele;Mongala;3h;Outside_Resident;Origin_Zone_Worker;Primo;175
2020-02-13;Bas-Uele;Mongala;3h;Outside_Resident;Destination_Zone_Worker;Primo;128
2020-02-13;Bas-Uele;Mongala;3h;Origin_Zone_Resident;Outside_Worker;Primo;40
2020-02-13;Bas-Uele;Mongala;3h;Destination_Zone_Resident;Outside_Worker;Primo;168
2020-02-13;Bas-Uele;Mongala;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;351
2020-02-13;Bas-Uele;Mongala;3h;Study_Zone_Resident;Outside_Worker;Primo;87
2020-02-13;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Outside_Worker;Primo;648
2020-02-13;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Destination_Zone_Worker;Primo;128
2020-02-13;Bas-Uele;Nord-Ubangi;1h;Origin_Zone_Resident;Outside_Worker;Primo;87
2020-02-13;Bas-Uele;Nord-Ubangi;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;80
2020-02-13;Bas-Uele;Nord-Ubangi;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;128
2020-02-13;Bas-Uele;Nord-Ubangi;3h;Outside_Resident;Outside_Worker;Primo;648
2020-02-13;Bas-Uele;Nord-Ubangi;3h;Outside_Resident;Destination_Zone_Worker;Primo;128
2020-02-13;Bas-Uele;Nord-Ubangi;3h;Origin_Zone_Resident;Outside_Worker;Primo;87
2020-02-13;Bas-Uele;Nord-Ubangi;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;80
2020-02-13;Bas-Uele;Nord-Ubangi;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;128
2020-02-13;Bas-Uele;Tshopo;1h;Outside_Resident;Outside_Worker;Primo;3595
2020-02-13;Bas-Uele;Tshopo;1h;Outside_Resident;Outside_Worker;Occasional;80
2020-02-13;Bas-Uele;Tshopo;1h;Outside_Resident;Origin_Zone_Worker;Primo;401
2020-02-13;Bas-Uele;Tshopo;1h;Outside_Resident;Destination_Zone_Worker;Primo;2197
2020-02-13;Bas-Uele;Tshopo;1h;Outside_Resident;Destination_Zone_Worker;Occasional;40
2020-02-13;Bas-Uele;Tshopo;1h;Outside_Resident;Study_Zone_Worker;Primo;308
2020-02-13;Bas-Uele;Tshopo;1h;Origin_Zone_Resident;Outside_Worker;Primo;120
2020-02-13;Bas-Uele;Tshopo;1h;Origin_Zone_Resident;Outside_Worker;Occasional;40
2020-02-13;Bas-Uele;Tshopo;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;800
2020-02-13;Bas-Uele;Tshopo;1h;Origin_Zone_Resident;Destination_Zone_Worker;Primo;160
2020-02-13;Bas-Uele;Tshopo;1h;Destination_Zone_Resident;Outside_Worker;Primo;281
2020-02-13;Bas-Uele;Tshopo;1h;Destination_Zone_Resident;Origin_Zone_Worker;Primo;80
2020-02-13;Bas-Uele;Tshopo;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;4793
2020-02-13;Bas-Uele;Tshopo;1h;Destination_Zone_Resident;Destination_Zone_Worker;Occasional;120
2020-02-13;Bas-Uele;Tshopo;1h;Study_Zone_Resident;Destination_Zone_Worker;Primo;40
2020-02-13;Bas-Uele;Tshopo;1h;Study_Zone_Resident;Study_Zone_Worker;Primo;202
2020-02-13;Bas-Uele;Tshopo;3h;Outside_Resident;Outside_Worker;Primo;3555
2020-02-13;Bas-Uele;Tshopo;3h;Outside_Resident;Outside_Worker;Occasional;80
2020-02-13;Bas-Uele;Tshopo;3h;Outside_Resident;Origin_Zone_Worker;Primo;401
2020-02-13;Bas-Uele;Tshopo;3h;Outside_Resident;Destination_Zone_Worker;Primo;2197
2020-02-13;Bas-Uele;Tshopo;3h;Outside_Resident;Destination_Zone_Worker;Occasional;40
2020-02-13;Bas-Uele;Tshopo;3h;Outside_Resident;Study_Zone_Worker;Primo;308
2020-02-13;Bas-Uele;Tshopo;3h;Origin_Zone_Resident;Outside_Worker;Primo;120
2020-02-13;Bas-Uele;Tshopo;3h;Origin_Zone_Resident;Outside_Worker;Occasional;40
2020-02-13;Bas-Uele;Tshopo;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;759
2020-02-13;Bas-Uele;Tshopo;3h;Origin_Zone_Resident;Destination_Zone_Worker;Primo;160
2020-02-13;Bas-Uele;Tshopo;3h;Destination_Zone_Resident;Outside_Worker;Primo;281
2020-02-13;Bas-Uele;Tshopo;3h;Destination_Zone_Resident;Origin_Zone_Worker;Primo;80
2020-02-13;Bas-Uele;Tshopo;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;4753
2020-02-13;Bas-Uele;Tshopo;3h;Destination_Zone_Resident;Destination_Zone_Worker;Occasional;160
2020-02-13;Bas-Uele;Tshopo;3h;Study_Zone_Resident;Destination_Zone_Worker;Primo;40
2020-02-13;Bas-Uele;Tshopo;3h;Study_Zone_Resident;Study_Zone_Worker;Primo;202
2020-02-13;Equateur;Inconnue;1h;Study_Zone_Resident;Study_Zone_Worker;Primo;87
2020-02-13;Equateur;Kinshasa;1h;Outside_Resident;Outside_Worker;Primo;14250
2020-02-13;Equateur;Kinshasa;1h;Outside_Resident;Origin_Zone_Worker;Primo;472
2020-02-13;Equateur;Kinshasa;1h;Outside_Resident;Destination_Zone_Worker;Primo;1591
2020-02-13;Equateur;Kinshasa;1h;Outside_Resident;Study_Zone_Worker;Primo;104
2020-02-13;Equateur;Kinshasa;1h;Origin_Zone_Resident;Outside_Worker;Primo;404
2020-02-13;Equateur;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;2014
2020-02-13;Equateur;Kinshasa;1h;Destination_Zone_Resident;Outside_Worker;Primo;623
