Date;Hour;Day_type;Zone;TypeFlux;Home_Zone;Activity_Zone;Volume
2020-04-25;06:00:00;WE;Haut-Katanga;Entree;Haut-Katanga;Haut-Katanga;3259
2020-04-25;06:00:00;WE;Haut-Katanga;Entree;Haut-Katanga;Lualaba;814
2020-04-25;06:00:00;WE;Haut-Katanga;Entree;Hors_Zone;Hors_Zone;407
2020-04-25;06:00:00;WE;Haut-Katanga;Entree;Lualaba;Lualaba;2037
2020-04-25;06:00:00;WE;Haut-Katanga;Sortie;Haut-Katanga;Haut-Katanga;2444
2020-04-25;06:00:00;WE;Haut-Katanga;Sortie;Haut-Katanga;Lualaba;407
2020-04-25;06:00:00;WE;Haut-Katanga;Sortie;Lualaba;Haut-Katanga;1222
2020-04-25;06:00:00;WE;Haut-Katanga;Sortie;Lualaba;Lualaba;2037
2020-04-25;06:00:00;WE;Haut-Lomami;Entree;Lomami;Lomami;1313
2020-04-25;06:00:00;WE;Haut-Lomami;Sortie;Lomami;Lomami;2627
2020-04-25;06:00:00;WE;Ituri;Entree;Hors_Zone;Ituri;2566
2020-04-25;06:00:00;WE;Kasai-Central;Entree;Hors_Zone;Hors_Zone;656
2020-04-25;06:00:00;WE;Kasai-Central;Sortie;Hors_Zone;Hors_Zone;43401
2020-04-25;06:00:00;WE;Kasai-Central;Sortie;Kasai-Central;Kasai-Central;8027
2020-04-25;06:00:00;WE;Kasai-Central;Sortie;Kasai-Oriental;Kasai-Oriental;8683
2020-04-25;06:00:00;WE;Kasai-Central;Sortie;Lomami;Lomami;656
2020-04-25;06:00:00;WE;Kasai-Oriental;Entree;Hors_Zone;Hors_Zone;2627
2020-04-25;06:00:00;WE;Kasai-Oriental;Entree;Hors_Zone;Kasai-Oriental;656
2020-04-25;06:00:00;WE;Kasai-Oriental;Entree;Kasai-Oriental;Kasai-Oriental;13282
2020-04-25;06:00:00;WE;Kasai-Oriental;Entree;Kasai-Oriental;Lomami;1313
2020-04-25;06:00:00;WE;Kasai-Oriental;Entree;Lomami;Hors_Zone;656
2020-04-25;06:00:00;WE;Kasai-Oriental;Entree;Lomami;Kasai-Oriental;2627
2020-04-25;06:00:00;WE;Kasai-Oriental;Entree;Lomami;Lomami;10510
2020-04-25;06:00:00;WE;Kasai-Oriental;Sortie;Hors_Zone;Hors_Zone;656
2020-04-25;06:00:00;WE;Kasai-Oriental;Sortie;Hors_Zone;Kasai-Oriental;656
2020-04-25;06:00:00;WE;Kasai-Oriental;Sortie;Hors_Zone;Lomami;1313
2020-04-25;06:00:00;WE;Kasai-Oriental;Sortie;Kasai-Central;Kasai-Central;9340
2020-04-25;06:00:00;WE;Kasai-Oriental;Sortie;Kasai-Oriental;Kasai-Oriental;4598
2020-04-25;06:00:00;WE;Kasai-Oriental;Sortie;Lomami;Kasai-Oriental;2627
2020-04-25;06:00:00;WE;Kasai-Oriental;Sortie;Lomami;Lomami;9853
2020-04-25;06:00:00;WE;Kinshasa;Entree;Kinshasa;Kinshasa;538
2020-04-25;06:00:00;WE;Kinshasa;Entree;Kongo-Central;Kinshasa;639
2020-04-25;06:00:00;WE;Kinshasa;Entree;Kongo-Central;Kongo-Central;639
2020-04-25;06:00:00;WE;Kongo-Central;Sortie;Kinshasa;Kinshasa;538
2020-04-25;06:00:00;WE;Kongo-Central;Sortie;Kongo-Central;Kongo-Central;1917
2020-04-25;06:00:00;WE;Lomami;Entree;Haut-Lomami;Haut-Lomami;656
2020-04-25;06:00:00;WE;Lomami;Entree;Hors_Zone;Lomami;1313
2020-04-25;06:00:00;WE;Lomami;Entree;Kasai-Oriental;Kasai-Oriental;6568
2020-04-25;06:00:00;WE;Lomami;Entree;Lomami;Kasai-Oriental;2627
2020-04-25;06:00:00;WE;Lomami;Entree;Lomami;Lomami;11167
2020-04-25;06:00:00;WE;Lomami;Sortie;Haut-Lomami;Haut-Lomami;656
2020-04-25;06:00:00;WE;Lomami;Sortie;Hors_Zone;Hors_Zone;3284
2020-04-25;06:00:00;WE;Lomami;Sortie;Hors_Zone;Kasai-Oriental;1313
2020-04-25;06:00:00;WE;Lomami;Sortie;Kasai-Oriental;Kasai-Oriental;6568
2020-04-25;06:00:00;WE;Lomami;Sortie;Kasai-Oriental;Lomami;656
2020-04-25;06:00:00;WE;Lomami;Sortie;Lomami;Kasai-Oriental;2627
2020-04-25;06:00:00;WE;Lomami;Sortie;Lomami;Lomami;7225
2020-04-25;06:00:00;WE;Lualaba;Entree;Haut-Katanga;Haut-Katanga;3667
2020-04-25;06:00:00;WE;Lualaba;Entree;Haut-Katanga;Lualaba;814
2020-04-25;06:00:00;WE;Lualaba;Entree;Lualaba;Haut-Katanga;1629
2020-04-25;06:00:00;WE;Lualaba;Entree;Lualaba;Lualaba;407
2020-04-25;06:00:00;WE;Lualaba;Sortie;Haut-Katanga;Haut-Katanga;5296
2020-04-25;06:00:00;WE;Lualaba;Sortie;Haut-Katanga;Lualaba;1629
2020-04-25;06:00:00;WE;Lualaba;Sortie;Lualaba;Lualaba;1222
2020-04-25;06:00:00;WE;Nord-Kivu;Entree;Hors_Zone;Hors_Zone;736
2020-04-25;06:00:00;WE;Nord-Kivu;Entree;Nord-Kivu;Nord-Kivu;2945
2020-04-25;06:00:00;WE;Nord-Kivu;Entree;Nord-Kivu;Sud-Kivu;1472
2020-04-25;06:00:00;WE;Nord-Kivu;Entree;Sud-Kivu;Nord-Kivu;553
2020-04-25;06:00:00;WE;Nord-Kivu;Entree;Sud-Kivu;Sud-Kivu;1289
2020-04-25;06:00:00;WE;Nord-Kivu;Sortie;Hors_Zone;Ituri;2566
2020-04-25;06:00:00;WE;Nord-Kivu;Sortie;Nord-Kivu;Nord-Kivu;4970
2020-04-25;06:00:00;WE;Nord-Kivu;Sortie;Nord-Kivu;Sud-Kivu;736
2020-04-25;06:00:00;WE;Nord-Kivu;Sortie;Sud-Kivu;Nord-Kivu;3132
2020-04-25;06:00:00;WE;Nord-Kivu;Sortie;Sud-Kivu;Sud-Kivu;553
2020-04-25;06:00:00;WE;Sud-Kivu;Entree;Nord-Kivu;Nord-Kivu;7179
2020-04-25;06:00:00;WE;Sud-Kivu;Entree;Nord-Kivu;Sud-Kivu;553
2020-04-25;06:00:00;WE;Sud-Kivu;Entree;Sud-Kivu;Nord-Kivu;1289
2020-04-25;06:00:00;WE;Sud-Kivu;Entree;Sud-Kivu;Sud-Kivu;553
2020-04-25;06:00:00;WE;Sud-Kivu;Sortie;Hors_Zone;Hors_Zone;736
2020-04-25;06:00:00;WE;Sud-Kivu;Sortie;Nord-Kivu;Hors_Zone;736
2020-04-25;06:00:00;WE;Sud-Kivu;Sortie;Nord-Kivu;Nord-Kivu;5890
2020-04-25;06:00:00;WE;Sud-Kivu;Sortie;Nord-Kivu;Sud-Kivu;2208
2020-04-25;06:00:00;WE;Sud-Kivu;Sortie;Sud-Kivu;Sud-Kivu;1289
2020-04-25;06:30:00;WE;Haut-Katanga;Entree;Haut-Katanga;Haut-Katanga;4927
2020-04-25;06:30:00;WE;Haut-Katanga;Entree;Haut-Katanga;Lualaba;1642
2020-04-25;06:30:00;WE;Haut-Katanga;Entree;Lualaba;Haut-Katanga;657
2020-04-25;06:30:00;WE;Haut-Katanga;Entree;Lualaba;Lualaba;1314
