Date;Hour;Type;Activity_Zone;Home_Zone;Zone;Volume
2020-03-19;06:00:00;Local;Hors_Zone;Hors_Zone;ZoneGlobale;6188217
2020-03-19;06:00:00;Local;Tanganyika;Hors_Zone;ZoneGlobale;2875
2020-03-19;06:00:00;Local;Mongala;Hors_Zone;ZoneGlobale;70033
2020-03-19;06:00:00;Local;Sankuru;Hors_Zone;ZoneGlobale;2839
2020-03-19;06:00:00;Local;Haut-Katanga;Hors_Zone;ZoneGlobale;349153
2020-03-19;06:00:00;Local;Lualaba;Hors_Zone;ZoneGlobale;107117
2020-03-19;06:00:00;Local;Kinshasa;Hors_Zone;ZoneGlobale;170445
2020-03-19;06:00:00;Local;Nord-Ubangi;Hors_Zone;ZoneGlobale;25836
2020-03-19;06:00:00;Local;Tshuapa;Hors_Zone;ZoneGlobale;8493
2020-03-19;06:00:00;Local;Sud-Kivu;Hors_Zone;ZoneGlobale;239287
2020-03-19;06:00:00;Local;Tshopo;Hors_Zone;ZoneGlobale;256167
2020-03-19;06:00:00;Local;Kongo-Central;Hors_Zone;ZoneGlobale;49607
2020-03-19;06:00:00;Local;Ituri;Hors_Zone;ZoneGlobale;31676
2020-03-19;06:00:00;Local;Kasai;Hors_Zone;ZoneGlobale;28371
2020-03-19;06:00:00;Local;Bas-Uele;Hors_Zone;ZoneGlobale;3620
2020-03-19;06:00:00;Local;Lomami;Hors_Zone;ZoneGlobale;93353
2020-03-19;06:00:00;Local;Kasai-Oriental;Hors_Zone;ZoneGlobale;237899
2020-03-19;06:00:00;Local;Kwilu;Hors_Zone;ZoneGlobale;233540
2020-03-19;06:00:00;Local;Mai-Ndombe;Hors_Zone;ZoneGlobale;57143
2020-03-19;06:00:00;Local;Maniema;Hors_Zone;ZoneGlobale;60800
2020-03-19;06:00:00;Local;Kwango;Hors_Zone;ZoneGlobale;19047
2020-03-19;06:00:00;Local;Haut-Uele;Hors_Zone;ZoneGlobale;4162
2020-03-19;06:00:00;Local;Sud-Ubangi;Hors_Zone;ZoneGlobale;25481
2020-03-19;06:00:00;Local;Kasai-Central;Hors_Zone;ZoneGlobale;252560
2020-03-19;06:00:00;Local;Equateur;Hors_Zone;ZoneGlobale;179688
2020-03-19;06:00:00;Local;Haut-Lomami;Hors_Zone;ZoneGlobale;9459
2020-03-19;06:00:00;Local;Nord-Kivu;Hors_Zone;ZoneGlobale;375925
2020-03-19;06:00:00;Local;Hors_Zone;Tanganyika;ZoneGlobale;958
2020-03-19;06:00:00;Local;Tanganyika;Tanganyika;ZoneGlobale;27856
2020-03-19;06:00:00;Local;Haut-Katanga;Tanganyika;ZoneGlobale;239
2020-03-19;06:00:00;Local;Hors_Zone;Mongala;ZoneGlobale;16987
2020-03-19;06:00:00;Local;Mongala;Mongala;ZoneGlobale;637871
2020-03-19;06:00:00;Local;Hors_Zone;Sankuru;ZoneGlobale;709
2020-03-19;06:00:00;Local;Sankuru;Sankuru;ZoneGlobale;25826
2020-03-19;06:00:00;Local;Hors_Zone;Haut-Katanga;ZoneGlobale;59825
2020-03-19;06:00:00;Local;Haut-Katanga;Haut-Katanga;ZoneGlobale;7748187
2020-03-19;06:00:00;Local;Lualaba;Haut-Katanga;ZoneGlobale;27207
2020-03-19;06:00:00;Local;Kinshasa;Haut-Katanga;ZoneGlobale;1677
2020-03-19;06:00:00;Local;Kasai-Oriental;Haut-Katanga;ZoneGlobale;354
2020-03-19;06:00:00;Local;Haut-Lomami;Haut-Katanga;ZoneGlobale;239
2020-03-19;06:00:00;Local;Hors_Zone;Lualaba;ZoneGlobale;20862
2020-03-19;06:00:00;Local;Haut-Katanga;Lualaba;ZoneGlobale;31022
2020-03-19;06:00:00;Local;Lualaba;Lualaba;ZoneGlobale;2013347
2020-03-19;06:00:00;Local;Kinshasa;Lualaba;ZoneGlobale;273
2020-03-19;06:00:00;Local;Haut-Lomami;Lualaba;ZoneGlobale;239
2020-03-19;06:00:00;Local;Hors_Zone;Kinshasa;ZoneGlobale;117041
2020-03-19;06:00:00;Local;Haut-Katanga;Kinshasa;ZoneGlobale;513
2020-03-19;06:00:00;Local;Kinshasa;Kinshasa;ZoneGlobale;5031927
2020-03-19;06:00:00;Local;Sud-Kivu;Kinshasa;ZoneGlobale;264
2020-03-19;06:00:00;Local;Kongo-Central;Kinshasa;ZoneGlobale;8225
2020-03-19;06:00:00;Local;Kasai-Oriental;Kinshasa;ZoneGlobale;1064
2020-03-19;06:00:00;Local;Kwilu;Kinshasa;ZoneGlobale;19047
2020-03-19;06:00:00;Local;Hors_Zone;Nord-Ubangi;ZoneGlobale;25481
2020-03-19;06:00:00;Local;Nord-Ubangi;Nord-Ubangi;ZoneGlobale;220843
2020-03-19;06:00:00;Local;Hors_Zone;Tshuapa;ZoneGlobale;16987
2020-03-19;06:00:00;Local;Tshuapa;Tshuapa;ZoneGlobale;135903
2020-03-19;06:00:00;Local;Hors_Zone;Sud-Kivu;ZoneGlobale;67122
2020-03-19;06:00:00;Local;Sud-Kivu;Sud-Kivu;ZoneGlobale;5416847
2020-03-19;06:00:00;Local;Tshopo;Sud-Kivu;ZoneGlobale;1040
2020-03-19;06:00:00;Local;Maniema;Sud-Kivu;ZoneGlobale;12163
2020-03-19;06:00:00;Local;Nord-Kivu;Sud-Kivu;ZoneGlobale;24126
2020-03-19;06:00:00;Local;Hors_Zone;Tshopo;ZoneGlobale;80349
2020-03-19;06:00:00;Local;Kinshasa;Tshopo;ZoneGlobale;1040
2020-03-19;06:00:00;Local;Tshopo;Tshopo;ZoneGlobale;7972049
2020-03-19;06:00:00;Local;Bas-Uele;Tshopo;ZoneGlobale;1040
2020-03-19;06:00:00;Local;Nord-Kivu;Tshopo;ZoneGlobale;498
2020-03-19;06:00:00;Local;Hors_Zone;Kongo-Central;ZoneGlobale;50272
2020-03-19;06:00:00;Local;Kinshasa;Kongo-Central;ZoneGlobale;8232
2020-03-19;06:00:00;Local;Kongo-Central;Kongo-Central;ZoneGlobale;1780296
2020-03-19;06:00:00;Local;Hors_Zone;Ituri;ZoneGlobale;15066
2020-03-19;06:00:00;Local;Ituri;Ituri;ZoneGlobale;556562
2020-03-19;06:00:00;Local;Nord-Kivu;Ituri;ZoneGlobale;1496
2020-03-19;06:00:00;Local;Hors_Zone;Kasai;ZoneGlobale;9457
2020-03-19;06:00:00;Local;Kasai;Kasai;ZoneGlobale;318041
2020-03-19;06:00:00;Local;Hors_Zone;Bas-Uele;ZoneGlobale;2081
2020-03-19;06:00:00;Local;Bas-Uele;Bas-Uele;ZoneGlobale;52842
2020-03-19;06:00:00;Local;Hors_Zone;Lomami;ZoneGlobale;60454
2020-03-19;06:00:00;Local;Lomami;Lomami;ZoneGlobale;2430575
2020-03-19;06:00:00;Local;Kasai-Oriental;Lomami;ZoneGlobale;21302
2020-03-19;06:00:00;Local;Kasai-Central;Lomami;ZoneGlobale;354
2020-03-19;06:00:00;Local;Haut-Lomami;Lomami;ZoneGlobale;2032
2020-03-19;06:00:00;Local;Hors_Zone;Kasai-Oriental;ZoneGlobale;60561
2020-03-19;06:00:00;Local;Haut-Katanga;Kasai-Oriental;ZoneGlobale;594
2020-03-19;06:00:00;Local;Kinshasa;Kasai-Oriental;ZoneGlobale;2129
2020-03-19;06:00:00;Local;Lomami;Kasai-Oriental;ZoneGlobale;33128
2020-03-19;06:00:00;Local;Kasai-Oriental;Kasai-Oriental;ZoneGlobale;7139977
2020-03-19;06:00:00;Local;Kasai-Central;Kasai-Oriental;ZoneGlobale;5083
2020-03-19;06:00:00;Local;Hors_Zone;Kwilu;ZoneGlobale;228889
2020-03-19;06:00:00;Local;Kinshasa;Kwilu;ZoneGlobale;273
2020-03-19;06:00:00;Local;Kwilu;Kwilu;ZoneGlobale;2008777
2020-03-19;06:00:00;Local;Hors_Zone;Mai-Ndombe;ZoneGlobale;38095
2020-03-19;06:00:00;Local;Mai-Ndombe;Mai-Ndombe;ZoneGlobale;876194
2020-03-19;06:00:00;Local;Hors_Zone;Maniema;ZoneGlobale;12939
2020-03-19;06:00:00;Local;Maniema;Maniema;ZoneGlobale;1057020
2020-03-19;06:00:00;Local;Hors_Zone;Kwango;ZoneGlobale;38095
2020-03-19;06:00:00;Local;Kwango;Kwango;ZoneGlobale;571431
2020-03-19;06:00:00;Local;Haut-Uele;Haut-Uele;ZoneGlobale;10405
2020-03-19;06:00:00;Local;Hors_Zone;Sud-Ubangi;ZoneGlobale;25481
2020-03-19;06:00:00;Local;Sud-Ubangi;Sud-Ubangi;ZoneGlobale;908857
2020-03-19;06:00:00;Local;Hors_Zone;Kasai-Central;ZoneGlobale;113839
2020-03-19;06:00:00;Local;Haut-Katanga;Kasai-Central;ZoneGlobale;479
2020-03-19;06:00:00;Local;Kasai-Oriental;Kasai-Central;ZoneGlobale;5986
2020-03-19;06:00:00;Local;Kasai-Central;Kasai-Central;ZoneGlobale;4707160
2020-03-19;06:00:00;Local;Hors_Zone;Equateur;ZoneGlobale;314551
2020-03-19;06:00:00;Local;Kinshasa;Equateur;ZoneGlobale;8493
2020-03-19;06:00:00;Local;Equateur;Equateur;ZoneGlobale;3807173
2020-03-19;06:00:00;Local;Hors_Zone;Haut-Lomami;ZoneGlobale;1437
2020-03-19;06:00:00;Local;Haut-Katanga;Haut-Lomami;ZoneGlobale;6751
2020-03-19;06:00:00;Local;Lualaba;Haut-Lomami;ZoneGlobale;354
2020-03-19;06:00:00;Local;Kasai;Haut-Lomami;ZoneGlobale;239
2020-03-19;06:00:00;Local;Lomami;Haut-Lomami;ZoneGlobale;594
2020-03-19;06:00:00;Local;Kasai-Oriental;Haut-Lomami;ZoneGlobale;479
2020-03-19;06:00:00;Local;Haut-Lomami;Haut-Lomami;ZoneGlobale;91628
2020-03-19;06:00:00;Local;Hors_Zone;Nord-Kivu;ZoneGlobale;100898
2020-03-19;06:00:00;Local;Sud-Kivu;Nord-Kivu;ZoneGlobale;21514
2020-03-19;06:00:00;Local;Tshopo;Nord-Kivu;ZoneGlobale;1040
2020-03-19;06:00:00;Local;Ituri;Nord-Kivu;ZoneGlobale;1539
2020-03-19;06:00:00;Local;Maniema;Nord-Kivu;ZoneGlobale;498
2020-03-19;06:00:00;Local;Nord-Kivu;Nord-Kivu;ZoneGlobale;6730136
2020-03-19;06:00:00;Local;Hors_Zone;Hors_Zone;Tanganyika;8694
2020-03-19;06:00:00;Local;Tanganyika;Hors_Zone;Tanganyika;2635
2020-03-19;06:00:00;Local;Sud-Kivu;Hors_Zone;Tanganyika;982
2020-03-19;06:00:00;Local;Hors_Zone;Tanganyika;Tanganyika;958
2020-03-19;06:00:00;Local;Tanganyika;Tanganyika;Tanganyika;27357
2020-03-19;06:00:00;Local;Haut-Katanga;Tanganyika;Tanganyika;239
2020-03-19;06:00:00;Local;Sud-Kivu;Sud-Kivu;Tanganyika;1462
2020-03-19;06:00:00;Local;Kasai-Oriental;Kasai-Oriental;Tanganyika;354
2020-03-19;06:00:00;Local;Hors_Zone;Hors_Zone;Mongala;191313
2020-03-19;06:00:00;Local;Mongala;Hors_Zone;Mongala;67951
2020-03-19;06:00:00;Local;Hors_Zone;Mongala;Mongala;16987
2020-03-19;06:00:00;Local;Mongala;Mongala;Mongala;637871
2020-03-19;06:00:00;Local;Equateur;Equateur;Mongala;9534
2020-03-19;06:00:00;Local;Hors_Zone;Hors_Zone;Sankuru;9227
2020-03-19;06:00:00;Local;Sankuru;Hors_Zone;Sankuru;2839
2020-03-19;06:00:00;Local;Kinshasa;Hors_Zone;Sankuru;273
2020-03-19;06:00:00;Local;Hors_Zone;Sankuru;Sankuru;709
2020-03-19;06:00:00;Local;Sankuru;Sankuru;Sankuru;25826
2020-03-19;06:00:00;Local;Kinshasa;Kinshasa;Sankuru;273
2020-03-19;06:00:00;Local;Hors_Zone;Hors_Zone;Haut-Katanga;383505
2020-03-19;06:00:00;Local;Tanganyika;Hors_Zone;Haut-Katanga;239
2020-03-19;06:00:00;Local;Haut-Katanga;Hors_Zone;Haut-Katanga;336694
2020-03-19;06:00:00;Local;Lualaba;Hors_Zone;Haut-Katanga;10062
