Date;Hour;Day_type;Zone;TypeFlux;Home_Zone;Activity_Zone;Volume
2020-03-10;06:00:00;JO;Haut-Katanga;Entree;Haut-Katanga;Haut-Katanga;5428
2020-03-10;06:00:00;JO;Haut-Katanga;Entree;Haut-Katanga;Lualaba;3701
2020-03-10;06:00:00;JO;Haut-Katanga;Entree;Hors_Zone;Haut-Katanga;493
2020-03-10;06:00:00;JO;Haut-Katanga;Entree;Hors_Zone;Hors_Zone;246
2020-03-10;06:00:00;JO;Haut-Katanga;Entree;Hors_Zone;Lualaba;246
2020-03-10;06:00:00;JO;Haut-Katanga;Entree;Lualaba;Haut-Katanga;740
2020-03-10;06:00:00;JO;Haut-Katanga;Entree;Lualaba;Lualaba;2220
2020-03-10;06:00:00;JO;Haut-Katanga;Sortie;Haut-Katanga;Haut-Katanga;4195
2020-03-10;06:00:00;JO;Haut-Katanga;Sortie;Haut-Katanga;Lualaba;493
2020-03-10;06:00:00;JO;Haut-Katanga;Sortie;Hors_Zone;Haut-Katanga;987
2020-03-10;06:00:00;JO;Haut-Katanga;Sortie;Hors_Zone;Hors_Zone;567
2020-03-10;06:00:00;JO;Haut-Katanga;Sortie;Lualaba;Haut-Katanga;987
2020-03-10;06:00:00;JO;Haut-Katanga;Sortie;Lualaba;Lualaba;3948
2020-03-10;06:00:00;JO;Haut-Lomami;Entree;Haut-Lomami;Haut-Lomami;841
2020-03-10;06:00:00;JO;Haut-Lomami;Entree;Hors_Zone;Hors_Zone;246
2020-03-10;06:00:00;JO;Haut-Lomami;Entree;Kasai;Kasai;5356
2020-03-10;06:00:00;JO;Haut-Lomami;Sortie;Haut-Lomami;Haut-Lomami;246
2020-03-10;06:00:00;JO;Haut-Lomami;Sortie;Hors_Zone;Haut-Lomami;493
2020-03-10;06:00:00;JO;Haut-Lomami;Sortie;Lomami;Haut-Lomami;246
2020-03-10;06:00:00;JO;Haut-Lomami;Sortie;Lomami;Lomami;347
2020-03-10;06:00:00;JO;Kasai;Sortie;Kasai;Kasai;5356
2020-03-10;06:00:00;JO;Kasai;Sortie;Kasai-Central;Kasai-Central;5356
2020-03-10;06:00:00;JO;Kasai-Central;Entree;Kasai-Central;Kasai-Central;5356
2020-03-10;06:00:00;JO;Kasai-Central;Entree;Kasai-Oriental;Kasai-Central;5356
2020-03-10;06:00:00;JO;Kasai-Central;Entree;Kasai-Oriental;Kasai-Oriental;695
2020-03-10;06:00:00;JO;Kasai-Central;Sortie;Hors_Zone;Hors_Zone;347
2020-03-10;06:00:00;JO;Kasai-Central;Sortie;Hors_Zone;Lomami;347
2020-03-10;06:00:00;JO;Kasai-Central;Sortie;Kasai-Central;Kasai-Central;5704
2020-03-10;06:00:00;JO;Kasai-Central;Sortie;Kasai-Oriental;Kasai-Central;5704
2020-03-10;06:00:00;JO;Kasai-Central;Sortie;Kasai-Oriental;Kasai-Oriental;695
2020-03-10;06:00:00;JO;Kasai-Central;Sortie;Lomami;Kasai-Central;5356
2020-03-10;06:00:00;JO;Kasai-Oriental;Entree;Hors_Zone;Hors_Zone;1391
2020-03-10;06:00:00;JO;Kasai-Oriental;Entree;Hors_Zone;Kasai-Oriental;1043
2020-03-10;06:00:00;JO;Kasai-Oriental;Entree;Hors_Zone;Lomami;1043
2020-03-10;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Central;Hors_Zone;5356
2020-03-10;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Central;Kasai-Central;5356
2020-03-10;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Oriental;Kasai-Central;10712
2020-03-10;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Oriental;Kasai-Oriental;11483
2020-03-10;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Oriental;Lomami;9184
2020-03-10;06:00:00;JO;Kasai-Oriental;Entree;Lomami;Hors_Zone;695
2020-03-10;06:00:00;JO;Kasai-Oriental;Entree;Lomami;Kasai-Oriental;695
2020-03-10;06:00:00;JO;Kasai-Oriental;Entree;Lomami;Lomami;9047
2020-03-10;06:00:00;JO;Kasai-Oriental;Sortie;Hors_Zone;Hors_Zone;1043
2020-03-10;06:00:00;JO;Kasai-Oriental;Sortie;Kasai-Central;Kasai-Central;5356
2020-03-10;06:00:00;JO;Kasai-Oriental;Sortie;Kasai-Oriental;Kasai-Oriental;6611
2020-03-10;06:00:00;JO;Kasai-Oriental;Sortie;Kasai-Oriental;Lomami;347
2020-03-10;06:00:00;JO;Kasai-Oriental;Sortie;Lomami;Hors_Zone;1043
2020-03-10;06:00:00;JO;Kasai-Oriental;Sortie;Lomami;Kasai-Oriental;1739
2020-03-10;06:00:00;JO;Kasai-Oriental;Sortie;Lomami;Lomami;8699
2020-03-10;06:00:00;JO;Kinshasa;Entree;Kinshasa;Kinshasa;393
2020-03-10;06:00:00;JO;Kinshasa;Entree;Kongo-Central;Kinshasa;393
2020-03-10;06:00:00;JO;Kinshasa;Sortie;Hors_Zone;Kongo-Central;357
2020-03-10;06:00:00;JO;Kinshasa;Sortie;Kinshasa;Kinshasa;1073
2020-03-10;06:00:00;JO;Kinshasa;Sortie;Kongo-Central;Kinshasa;393
2020-03-10;06:00:00;JO;Kinshasa;Sortie;Kongo-Central;Kongo-Central;393
2020-03-10;06:00:00;JO;Kongo-Central;Entree;Kinshasa;Kinshasa;1073
2020-03-10;06:00:00;JO;Kongo-Central;Entree;Kongo-Central;Kinshasa;393
2020-03-10;06:00:00;JO;Kongo-Central;Sortie;Hors_Zone;Hors_Zone;393
2020-03-10;06:00:00;JO;Kongo-Central;Sortie;Kinshasa;Kinshasa;393
2020-03-10;06:00:00;JO;Kongo-Central;Sortie;Kongo-Central;Kinshasa;393
2020-03-10;06:00:00;JO;Lomami;Entree;Haut-Lomami;Haut-Lomami;987
2020-03-10;06:00:00;JO;Lomami;Entree;Hors_Zone;Haut-Lomami;493
2020-03-10;06:00:00;JO;Lomami;Entree;Hors_Zone;Hors_Zone;1391
2020-03-10;06:00:00;JO;Lomami;Entree;Hors_Zone;Kasai-Oriental;1043
2020-03-10;06:00:00;JO;Lomami;Entree;Hors_Zone;Lomami;347
2020-03-10;06:00:00;JO;Lomami;Entree;Kasai-Oriental;Hors_Zone;695
2020-03-10;06:00:00;JO;Lomami;Entree;Kasai-Oriental;Kasai-Oriental;9395
2020-03-10;06:00:00;JO;Lomami;Entree;Kasai-Oriental;Lomami;1043
2020-03-10;06:00:00;JO;Lomami;Entree;Lomami;Hors_Zone;695
2020-03-10;06:00:00;JO;Lomami;Entree;Lomami;Kasai-Central;5356
2020-03-10;06:00:00;JO;Lomami;Entree;Lomami;Kasai-Oriental;1739
2020-03-10;06:00:00;JO;Lomami;Entree;Lomami;Lomami;6858
2020-03-10;06:00:00;JO;Lomami;Sortie;Haut-Lomami;Haut-Lomami;841
2020-03-10;06:00:00;JO;Lomami;Sortie;Haut-Lomami;Lomami;246
2020-03-10;06:00:00;JO;Lomami;Sortie;Hors_Zone;Hors_Zone;347
2020-03-10;06:00:00;JO;Lomami;Sortie;Hors_Zone;Kasai-Oriental;695
2020-03-10;06:00:00;JO;Lomami;Sortie;Hors_Zone;Lomami;1043
2020-03-10;06:00:00;JO;Lomami;Sortie;Kasai-Oriental;Kasai-Oriental;12179
2020-03-10;06:00:00;JO;Lomami;Sortie;Kasai-Oriental;Lomami;7792
2020-03-10;06:00:00;JO;Lomami;Sortie;Lomami;Hors_Zone;695
2020-03-10;06:00:00;JO;Lomami;Sortie;Lomami;Kasai-Oriental;695
2020-03-10;06:00:00;JO;Lomami;Sortie;Lomami;Lomami;5567
2020-03-10;06:00:00;JO;Lualaba;Entree;Haut-Katanga;Haut-Katanga;6169
2020-03-10;06:00:00;JO;Lualaba;Entree;Haut-Katanga;Lualaba;246
2020-03-10;06:00:00;JO;Lualaba;Entree;Hors_Zone;Haut-Katanga;740
2020-03-10;06:00:00;JO;Lualaba;Entree;Hors_Zone;Hors_Zone;814
2020-03-10;06:00:00;JO;Lualaba;Entree;Lualaba;Haut-Katanga;987
2020-03-10;06:00:00;JO;Lualaba;Entree;Lualaba;Lualaba;1480
2020-03-10;06:00:00;JO;Lualaba;Sortie;Haut-Katanga;Haut-Katanga;13818
2020-03-10;06:00:00;JO;Lualaba;Sortie;Haut-Katanga;Lualaba;4195
2020-03-10;06:00:00;JO;Lualaba;Sortie;Hors_Zone;Haut-Katanga;493
2020-03-10;06:00:00;JO;Lualaba;Sortie;Hors_Zone;Hors_Zone;1974
2020-03-10;06:00:00;JO;Lualaba;Sortie;Hors_Zone;Lualaba;246
2020-03-10;06:00:00;JO;Lualaba;Sortie;Lualaba;Haut-Katanga;740
2020-03-10;06:00:00;JO;Lualaba;Sortie;Lualaba;Lualaba;1727
2020-03-10;06:00:00;JO;Nord-Kivu;Entree;Hors_Zone;Hors_Zone;1033
2020-03-10;06:00:00;JO;Nord-Kivu;Entree;Hors_Zone;Sud-Kivu;269
2020-03-10;06:00:00;JO;Nord-Kivu;Entree;Nord-Kivu;Nord-Kivu;8493
2020-03-10;06:00:00;JO;Nord-Kivu;Entree;Nord-Kivu;Sud-Kivu;2741
2020-03-10;06:00:00;JO;Nord-Kivu;Entree;Sud-Kivu;Nord-Kivu;494
2020-03-10;06:00:00;JO;Nord-Kivu;Entree;Sud-Kivu;Sud-Kivu;2605
2020-03-10;06:00:00;JO;Nord-Kivu;Sortie;Hors_Zone;Hors_Zone;2786
2020-03-10;06:00:00;JO;Nord-Kivu;Sortie;Hors_Zone;Nord-Kivu;494
