Date;Hour;Type;Activity_Zone;Home_Zone;Zone;Volume
2020-03-24;06:00:00;Local;Hors_Zone;Hors_Zone;ZoneGlobale;6159228
2020-03-24;06:00:00;Local;Tanganyika;Hors_Zone;ZoneGlobale;5966
2020-03-24;06:00:00;Local;Mongala;Hors_Zone;ZoneGlobale;77167
2020-03-24;06:00:00;Local;Sankuru;Hors_Zone;ZoneGlobale;3404
2020-03-24;06:00:00;Local;Haut-Katanga;Hors_Zone;ZoneGlobale;375796
2020-03-24;06:00:00;Local;Lualaba;Hors_Zone;ZoneGlobale;149033
2020-03-24;06:00:00;Local;Kinshasa;Hors_Zone;ZoneGlobale;141367
2020-03-24;06:00:00;Local;Nord-Ubangi;Hors_Zone;ZoneGlobale;8574
2020-03-24;06:00:00;Local;Sud-Kivu;Hors_Zone;ZoneGlobale;204061
2020-03-24;06:00:00;Local;Tshopo;Hors_Zone;ZoneGlobale;214939
2020-03-24;06:00:00;Local;Kongo-Central;Hors_Zone;ZoneGlobale;51886
2020-03-24;06:00:00;Local;Ituri;Hors_Zone;ZoneGlobale;33212
2020-03-24;06:00:00;Local;Kasai;Hors_Zone;ZoneGlobale;31164
2020-03-24;06:00:00;Local;Bas-Uele;Hors_Zone;ZoneGlobale;5170
2020-03-24;06:00:00;Local;Lomami;Hors_Zone;ZoneGlobale;87474
2020-03-24;06:00:00;Local;Kasai-Oriental;Hors_Zone;ZoneGlobale;166014
2020-03-24;06:00:00;Local;Kwilu;Hors_Zone;ZoneGlobale;118450
2020-03-24;06:00:00;Local;Mai-Ndombe;Hors_Zone;ZoneGlobale;59061
2020-03-24;06:00:00;Local;Maniema;Hors_Zone;ZoneGlobale;125627
2020-03-24;06:00:00;Local;Kwango;Hors_Zone;ZoneGlobale;39497
2020-03-24;06:00:00;Local;Haut-Uele;Hors_Zone;ZoneGlobale;1034
2020-03-24;06:00:00;Local;Sud-Ubangi;Hors_Zone;ZoneGlobale;34296
2020-03-24;06:00:00;Local;Kasai-Central;Hors_Zone;ZoneGlobale;316719
2020-03-24;06:00:00;Local;Equateur;Hors_Zone;ZoneGlobale;197206
2020-03-24;06:00:00;Local;Haut-Lomami;Hors_Zone;ZoneGlobale;17387
2020-03-24;06:00:00;Local;Nord-Kivu;Hors_Zone;ZoneGlobale;361551
2020-03-24;06:00:00;Local;Hors_Zone;Tanganyika;ZoneGlobale;1823
2020-03-24;06:00:00;Local;Tanganyika;Tanganyika;ZoneGlobale;28861
2020-03-24;06:00:00;Local;Hors_Zone;Mongala;ZoneGlobale;34296
2020-03-24;06:00:00;Local;Mongala;Mongala;ZoneGlobale;900616
