Date;Origin;Destination;Immobility;Home_Category;Activity_Category;Recurrence;Volume
2020-02-25;Bas-Uele;Haut-Uele;1h;Outside_Resident;Outside_Worker;Primo;581
2020-02-25;Bas-Uele;Haut-Uele;1h;Outside_Resident;Origin_Zone_Worker;Primo;237
2020-02-25;Bas-Uele;Haut-Uele;1h;Outside_Resident;Destination_Zone_Worker;Primo;118
2020-02-25;Bas-Uele;Haut-Uele;1h;Outside_Resident;Destination_Zone_Worker;Occasional;39
2020-02-25;Bas-Uele;Haut-Uele;1h;Origin_Zone_Resident;Outside_Worker;Primo;79
2020-02-25;Bas-Uele;Haut-Uele;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;158
2020-02-25;Bas-Uele;Haut-Uele;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;79
2020-02-25;Bas-Uele;Haut-Uele;3h;Outside_Resident;Outside_Worker;Primo;581
2020-02-25;Bas-Uele;Haut-Uele;3h;Outside_Resident;Origin_Zone_Worker;Primo;237
2020-02-25;Bas-Uele;Haut-Uele;3h;Outside_Resident;Destination_Zone_Worker;Primo;118
2020-02-25;Bas-Uele;Haut-Uele;3h;Outside_Resident;Destination_Zone_Worker;Occasional;39
2020-02-25;Bas-Uele;Haut-Uele;3h;Origin_Zone_Resident;Outside_Worker;Primo;79
2020-02-25;Bas-Uele;Haut-Uele;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;158
2020-02-25;Bas-Uele;Haut-Uele;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;79
2020-02-25;Bas-Uele;Ituri;1h;Outside_Resident;Outside_Worker;Primo;158
2020-02-25;Bas-Uele;Ituri;1h;Outside_Resident;Destination_Zone_Worker;Primo;39
2020-02-25;Bas-Uele;Ituri;3h;Outside_Resident;Outside_Worker;Primo;158
2020-02-25;Bas-Uele;Ituri;3h;Outside_Resident;Destination_Zone_Worker;Primo;39
2020-02-25;Bas-Uele;Mongala;1h;Outside_Resident;Outside_Worker;Primo;2119
2020-02-25;Bas-Uele;Mongala;1h;Outside_Resident;Origin_Zone_Worker;Primo;118
2020-02-25;Bas-Uele;Mongala;1h;Outside_Resident;Destination_Zone_Worker;Primo;988
2020-02-25;Bas-Uele;Mongala;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;213
2020-02-25;Bas-Uele;Mongala;1h;Destination_Zone_Resident;Outside_Worker;Primo;86
2020-02-25;Bas-Uele;Mongala;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;340
2020-02-25;Bas-Uele;Mongala;1h;Study_Zone_Resident;Study_Zone_Worker;Primo;166
2020-02-25;Bas-Uele;Mongala;3h;Outside_Resident;Outside_Worker;Primo;2119
2020-02-25;Bas-Uele;Mongala;3h;Outside_Resident;Origin_Zone_Worker;Primo;118
2020-02-25;Bas-Uele;Mongala;3h;Outside_Resident;Destination_Zone_Worker;Primo;988
2020-02-25;Bas-Uele;Mongala;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;213
2020-02-25;Bas-Uele;Mongala;3h;Destination_Zone_Resident;Outside_Worker;Primo;86
2020-02-25;Bas-Uele;Mongala;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;340
2020-02-25;Bas-Uele;Mongala;3h;Study_Zone_Resident;Study_Zone_Worker;Primo;166
2020-02-25;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Outside_Worker;Primo;763
2020-02-25;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Outside_Worker;Occasional;86
2020-02-25;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Destination_Zone_Worker;Primo;126
2020-02-25;Bas-Uele;Nord-Ubangi;1h;Origin_Zone_Resident;Outside_Worker;Primo;39
2020-02-25;Bas-Uele;Nord-Ubangi;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;126
2020-02-25;Bas-Uele;Nord-Ubangi;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;213
