Date;Origin;Destination;Immobility;Home_Category;Activity_Category;Recurrence;Volume
2020-02-27;Bas-Uele;Haut-Uele;1h;Outside_Resident;Outside_Worker;Primo;733
2020-02-27;Bas-Uele;Haut-Uele;1h;Outside_Resident;Origin_Zone_Worker;Primo;157
2020-02-27;Bas-Uele;Haut-Uele;1h;Outside_Resident;Destination_Zone_Worker;Primo;118
2020-02-27;Bas-Uele;Haut-Uele;1h;Outside_Resident;Destination_Zone_Worker;Occasional;39
2020-02-27;Bas-Uele;Haut-Uele;1h;Origin_Zone_Resident;Outside_Worker;Primo;39
2020-02-27;Bas-Uele;Haut-Uele;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;197
2020-02-27;Bas-Uele;Haut-Uele;1h;Destination_Zone_Resident;Outside_Worker;Primo;39
2020-02-27;Bas-Uele;Haut-Uele;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;39
2020-02-27;Bas-Uele;Haut-Uele;3h;Outside_Resident;Outside_Worker;Primo;693
2020-02-27;Bas-Uele;Haut-Uele;3h;Outside_Resident;Origin_Zone_Worker;Primo;157
2020-02-27;Bas-Uele;Haut-Uele;3h;Outside_Resident;Destination_Zone_Worker;Primo;118
2020-02-27;Bas-Uele;Haut-Uele;3h;Outside_Resident;Destination_Zone_Worker;Occasional;39
2020-02-27;Bas-Uele;Haut-Uele;3h;Origin_Zone_Resident;Outside_Worker;Primo;39
2020-02-27;Bas-Uele;Haut-Uele;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;197
2020-02-27;Bas-Uele;Haut-Uele;3h;Destination_Zone_Resident;Outside_Worker;Primo;39
2020-02-27;Bas-Uele;Haut-Uele;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;78
2020-02-27;Bas-Uele;Ituri;1h;Outside_Resident;Outside_Worker;Primo;157
2020-02-27;Bas-Uele;Ituri;1h;Outside_Resident;Destination_Zone_Worker;Primo;39
2020-02-27;Bas-Uele;Ituri;3h;Outside_Resident;Outside_Worker;Primo;157
2020-02-27;Bas-Uele;Ituri;3h;Outside_Resident;Destination_Zone_Worker;Primo;39
2020-02-27;Bas-Uele;Mongala;1h;Outside_Resident;Outside_Worker;Primo;2330
2020-02-27;Bas-Uele;Mongala;1h;Outside_Resident;Origin_Zone_Worker;Primo;157
2020-02-27;Bas-Uele;Mongala;1h;Outside_Resident;Destination_Zone_Worker;Primo;813
2020-02-27;Bas-Uele;Mongala;1h;Outside_Resident;Destination_Zone_Worker;Occasional;39
2020-02-27;Bas-Uele;Mongala;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;86
2020-02-27;Bas-Uele;Mongala;1h;Destination_Zone_Resident;Origin_Zone_Worker;Primo;86
2020-02-27;Bas-Uele;Mongala;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;300
2020-02-27;Bas-Uele;Mongala;1h;Study_Zone_Resident;Study_Zone_Worker;Primo;165
2020-02-27;Bas-Uele;Mongala;3h;Outside_Resident;Outside_Worker;Primo;2330
2020-02-27;Bas-Uele;Mongala;3h;Outside_Resident;Origin_Zone_Worker;Primo;157
2020-02-27;Bas-Uele;Mongala;3h;Outside_Resident;Destination_Zone_Worker;Primo;813
2020-02-27;Bas-Uele;Mongala;3h;Outside_Resident;Destination_Zone_Worker;Occasional;39
2020-02-27;Bas-Uele;Mongala;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;86
2020-02-27;Bas-Uele;Mongala;3h;Destination_Zone_Resident;Origin_Zone_Worker;Primo;86
2020-02-27;Bas-Uele;Mongala;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;300
2020-02-27;Bas-Uele;Mongala;3h;Study_Zone_Resident;Study_Zone_Worker;Primo;165
2020-02-27;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Outside_Worker;Primo;510
2020-02-27;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Outside_Worker;Occasional;173
2020-02-27;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Destination_Zone_Worker;Primo;126
2020-02-27;Bas-Uele;Nord-Ubangi;1h;Origin_Zone_Resident;Outside_Worker;Primo;39
2020-02-27;Bas-Uele;Nord-Ubangi;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;126
2020-02-27;Bas-Uele;Nord-Ubangi;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;126
2020-02-27;Bas-Uele;Nord-Ubangi;3h;Outside_Resident;Outside_Worker;Primo;510
2020-02-27;Bas-Uele;Nord-Ubangi;3h;Outside_Resident;Outside_Worker;Occasional;173
2020-02-27;Bas-Uele;Nord-Ubangi;3h;Outside_Resident;Destination_Zone_Worker;Primo;126
2020-02-27;Bas-Uele;Nord-Ubangi;3h;Origin_Zone_Resident;Outside_Worker;Primo;39
2020-02-27;Bas-Uele;Nord-Ubangi;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;126
2020-02-27;Bas-Uele;Nord-Ubangi;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;126
2020-02-27;Bas-Uele;Tshopo;1h;Outside_Resident;Outside_Worker;Primo;3913
2020-02-27;Bas-Uele;Tshopo;1h;Outside_Resident;Outside_Worker;Occasional;118
2020-02-27;Bas-Uele;Tshopo;1h;Outside_Resident;Origin_Zone_Worker;Primo;854
2020-02-27;Bas-Uele;Tshopo;1h;Outside_Resident;Destination_Zone_Worker;Primo;2211
2020-02-27;Bas-Uele;Tshopo;1h;Outside_Resident;Destination_Zone_Worker;Occasional;197
2020-02-27;Bas-Uele;Tshopo;1h;Outside_Resident;Study_Zone_Worker;Primo;55
2020-02-27;Bas-Uele;Tshopo;1h;Origin_Zone_Resident;Outside_Worker;Primo;118
2020-02-27;Bas-Uele;Tshopo;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;833
2020-02-27;Bas-Uele;Tshopo;1h;Origin_Zone_Resident;Destination_Zone_Worker;Primo;244
2020-02-27;Bas-Uele;Tshopo;1h;Destination_Zone_Resident;Outside_Worker;Primo;157
2020-02-27;Bas-Uele;Tshopo;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;4882
2020-02-27;Bas-Uele;Tshopo;1h;Destination_Zone_Resident;Destination_Zone_Worker;Occasional;157
2020-02-27;Bas-Uele;Tshopo;1h;Study_Zone_Resident;Study_Zone_Worker;Primo;80
2020-02-27;Bas-Uele;Tshopo;3h;Outside_Resident;Outside_Worker;Primo;3873
2020-02-27;Bas-Uele;Tshopo;3h;Outside_Resident;Outside_Worker;Occasional;118
2020-02-27;Bas-Uele;Tshopo;3h;Outside_Resident;Origin_Zone_Worker;Primo;854
2020-02-27;Bas-Uele;Tshopo;3h;Outside_Resident;Destination_Zone_Worker;Primo;2290
2020-02-27;Bas-Uele;Tshopo;3h;Outside_Resident;Destination_Zone_Worker;Occasional;157
2020-02-27;Bas-Uele;Tshopo;3h;Outside_Resident;Study_Zone_Worker;Primo;55
2020-02-27;Bas-Uele;Tshopo;3h;Origin_Zone_Resident;Outside_Worker;Primo;118
2020-02-27;Bas-Uele;Tshopo;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;833
2020-02-27;Bas-Uele;Tshopo;3h;Origin_Zone_Resident;Destination_Zone_Worker;Primo;244
2020-02-27;Bas-Uele;Tshopo;3h;Destination_Zone_Resident;Outside_Worker;Primo;157
2020-02-27;Bas-Uele;Tshopo;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;4882
2020-02-27;Bas-Uele;Tshopo;3h;Destination_Zone_Resident;Destination_Zone_Worker;Occasional;157
2020-02-27;Bas-Uele;Tshopo;3h;Study_Zone_Resident;Study_Zone_Worker;Primo;76
2020-02-27;Equateur;Kinshasa;1h;Outside_Resident;Outside_Worker;Primo;13341
2020-02-27;Equateur;Kinshasa;1h;Outside_Resident;Origin_Zone_Worker;Primo;882
2020-02-27;Equateur;Kinshasa;1h;Outside_Resident;Destination_Zone_Worker;Primo;1492
2020-02-27;Equateur;Kinshasa;1h;Origin_Zone_Resident;Outside_Worker;Primo;356
2020-02-27;Equateur;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;1410
2020-02-27;Equateur;Kinshasa;1h;Destination_Zone_Resident;Outside_Worker;Primo;320
2020-02-27;Equateur;Kinshasa;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;3352
2020-02-27;Equateur;Kinshasa;1h;Study_Zone_Resident;Outside_Worker;Primo;130
2020-02-27;Equateur;Kinshasa;1h;Study_Zone_Resident;Destination_Zone_Worker;Primo;86
2020-02-27;Equateur;Kinshasa;1h;Study_Zone_Resident;Study_Zone_Worker;Primo;396
2020-02-27;Equateur;Kinshasa;3h;Outside_Resident;Outside_Worker;Primo;13410
2020-02-27;Equateur;Kinshasa;3h;Outside_Resident;Origin_Zone_Worker;Primo;882
2020-02-27;Equateur;Kinshasa;3h;Outside_Resident;Destination_Zone_Worker;Primo;1487
2020-02-27;Equateur;Kinshasa;3h;Origin_Zone_Resident;Outside_Worker;Primo;356
2020-02-27;Equateur;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;1415
2020-02-27;Equateur;Kinshasa;3h;Destination_Zone_Resident;Outside_Worker;Primo;320
2020-02-27;Equateur;Kinshasa;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;3352
2020-02-27;Equateur;Kinshasa;3h;Study_Zone_Resident;Outside_Worker;Primo;130
2020-02-27;Equateur;Kinshasa;3h;Study_Zone_Resident;Study_Zone_Worker;Primo;382
2020-02-27;Equateur;Kwilu;1h;Outside_Resident;Outside_Worker;Primo;173
2020-02-27;Equateur;Kwilu;3h;Outside_Resident;Outside_Worker;Primo;173
2020-02-27;Equateur;Mongala;1h;Outside_Resident;Outside_Worker;Primo;10467
2020-02-27;Equateur;Mongala;1h;Outside_Resident;Origin_Zone_Worker;Primo;91
2020-02-27;Equateur;Mongala;1h;Outside_Resident;Destination_Zone_Worker;Primo;574
2020-02-27;Equateur;Mongala;1h;Outside_Resident;Study_Zone_Worker;Primo;404
2020-02-27;Equateur;Mongala;1h;Origin_Zone_Resident;Outside_Worker;Primo;173
2020-02-27;Equateur;Mongala;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;222
2020-02-27;Equateur;Mongala;1h;Destination_Zone_Resident;Outside_Worker;Primo;86
2020-02-27;Equateur;Mongala;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;1486
2020-02-27;Equateur;Mongala;1h;Study_Zone_Resident;Study_Zone_Worker;Primo;516
2020-02-27;Equateur;Mongala;3h;Outside_Resident;Outside_Worker;Primo;10293
2020-02-27;Equateur;Mongala;3h;Outside_Resident;Origin_Zone_Worker;Primo;91
2020-02-27;Equateur;Mongala;3h;Outside_Resident;Destination_Zone_Worker;Primo;574
2020-02-27;Equateur;Mongala;3h;Outside_Resident;Study_Zone_Worker;Primo;404
2020-02-27;Equateur;Mongala;3h;Origin_Zone_Resident;Outside_Worker;Primo;173
2020-02-27;Equateur;Mongala;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;222
2020-02-27;Equateur;Mongala;3h;Destination_Zone_Resident;Outside_Worker;Primo;86
