Period;Day_type;Zone;Home_Zone;Activity_Zone;PresenceType;Gender;Volume
202002;JO;Haut-Katanga;Kasai-Oriental;Kasai-Oriental;Jour;M;89
202002;JO;Haut-Katanga;Kasai-Oriental;Kasai-Oriental;Nuit;M;88
202002;JO;Haut-Katanga;Kinshasa;Kinshasa;Jour;F;127
202002;JO;Haut-Katanga;Kinshasa;Kinshasa;Jour;M;617
202002;JO;Haut-Katanga;Kinshasa;Kinshasa;Jour;NA;23
202002;JO;Haut-Katanga;Kinshasa;Kinshasa;Nuit;F;125
202002;JO;Haut-Katanga;Kinshasa;Kinshasa;Nuit;M;634
202002;JO;Haut-Katanga;Kongo-Central;Kongo-Central;Jour;F;23
202002;JO;Haut-Katanga;Kongo-Central;Kongo-Central;Jour;M;103
202002;JO;Haut-Katanga;Kongo-Central;Kongo-Central;Nuit;F;23
202002;JO;Haut-Katanga;Kongo-Central;Kongo-Central;Nuit;M;103
202002;JO;Haut-Katanga;Lualaba;Haut-Katanga;Jour;F;25
202002;JO;Haut-Katanga;Lualaba;Haut-Katanga;Jour;M;520
202002;JO;Haut-Katanga;Lualaba;Haut-Katanga;Jour;NA;53
202002;JO;Haut-Katanga;Lualaba;Haut-Katanga;Nuit;F;43
202002;JO;Haut-Katanga;Lualaba;Haut-Katanga;Nuit;M;463
202002;JO;Haut-Katanga;Lualaba;Haut-Katanga;Nuit;NA;24
202002;JO;Haut-Katanga;Lualaba;Lualaba;Jour;F;740
202002;JO;Haut-Katanga;Lualaba;Lualaba;Jour;M;2032
202002;JO;Haut-Katanga;Lualaba;Lualaba;Jour;NA;750
202002;JO;Haut-Katanga;Lualaba;Lualaba;Nuit;F;368
202002;JO;Haut-Katanga;Lualaba;Lualaba;Nuit;M;1296
202002;JO;Haut-Katanga;Lualaba;Lualaba;Nuit;NA;349
202002;JO;Haut-Katanga;Tanganyika;Tanganyika;Jour;M;55
202002;JO;Haut-Katanga;Tanganyika;Tanganyika;Nuit;M;28
202002;JO;Haut-Lomami;Haut-Lomami;Haut-Lomami;Jour;F;546
202002;JO;Haut-Lomami;Haut-Lomami;Haut-Lomami;Jour;M;1114
202002;JO;Haut-Lomami;Haut-Lomami;Haut-Lomami;Jour;NA;239
202002;JO;Haut-Lomami;Haut-Lomami;Haut-Lomami;Nuit;F;294
202002;JO;Haut-Lomami;Haut-Lomami;Haut-Lomami;Nuit;M;777
202002;JO;Haut-Lomami;Haut-Lomami;Haut-Lomami;Nuit;NA;41
202002;JO;Haut-Lomami;Hors_Zone;Haut-Lomami;Jour;F;168
202002;JO;Haut-Lomami;Hors_Zone;Haut-Lomami;Jour;M;364
202002;JO;Haut-Lomami;Hors_Zone;Haut-Lomami;Jour;NA;137
202002;JO;Haut-Lomami;Hors_Zone;Haut-Lomami;Nuit;M;102
202002;JO;Haut-Lomami;Hors_Zone;Hors_Zone;Jour;F;1297
202002;JO;Haut-Lomami;Hors_Zone;Hors_Zone;Jour;M;2523
202002;JO;Haut-Lomami;Hors_Zone;Hors_Zone;Jour;NA;1778
202002;JO;Haut-Lomami;Hors_Zone;Hors_Zone;Nuit;F;109
202002;JO;Haut-Lomami;Hors_Zone;Hors_Zone;Nuit;M;304
202002;JO;Haut-Lomami;Hors_Zone;Hors_Zone;Nuit;NA;109
202002;JO;Haut-Lomami;Kasai;Kasai;Jour;M;38
202002;JO;Haut-Lomami;Kasai;Kasai;Jour;NA;39
202002;JO;Haut-Lomami;Lualaba;Lualaba;Jour;M;51
202002;JO;Haut-Lomami;Lualaba;Lualaba;Jour;NA;46
202002;JO;Haut-Uele;Hors_Zone;Haut-Uele;Jour;M;158
202002;JO;Haut-Uele;Hors_Zone;Haut-Uele;Nuit;M;25
202002;JO;Haut-Uele;Hors_Zone;Hors_Zone;Jour;F;138
202002;JO;Haut-Uele;Hors_Zone;Hors_Zone;Jour;M;576
202002;JO;Haut-Uele;Hors_Zone;Hors_Zone;Jour;NA;194
202002;JO;Haut-Uele;Hors_Zone;Hors_Zone;Nuit;M;48
202002;JO;Ituri;Hors_Zone;Hors_Zone;Jour;F;725
202002;JO;Ituri;Hors_Zone;Hors_Zone;Jour;M;1881
202002;JO;Ituri;Hors_Zone;Hors_Zone;Jour;NA;935
202002;JO;Ituri;Hors_Zone;Hors_Zone;Nuit;F;143
202002;JO;Ituri;Hors_Zone;Hors_Zone;Nuit;M;532
202002;JO;Ituri;Hors_Zone;Hors_Zone;Nuit;NA;209
202002;JO;Ituri;Hors_Zone;Ituri;Jour;F;656
202002;JO;Ituri;Hors_Zone;Ituri;Jour;M;1791
202002;JO;Ituri;Hors_Zone;Ituri;Jour;NA;500
202002;JO;Ituri;Hors_Zone;Ituri;Nuit;F;33
202002;JO;Ituri;Hors_Zone;Ituri;Nuit;M;285
202002;JO;Ituri;Hors_Zone;Ituri;Nuit;NA;23
202002;JO;Ituri;Ituri;Hors_Zone;Jour;M;168
202002;JO;Ituri;Ituri;Hors_Zone;Jour;NA;22
202002;JO;Ituri;Ituri;Hors_Zone;Nuit;M;190
202002;JO;Ituri;Ituri;Ituri;Jour;F;1134
202002;JO;Ituri;Ituri;Ituri;Jour;M;3088
202002;JO;Ituri;Ituri;Ituri;Jour;NA;1171
202002;JO;Ituri;Ituri;Ituri;Nuit;F;927
202002;JO;Ituri;Ituri;Ituri;Nuit;M;2551
202002;JO;Ituri;Ituri;Ituri;Nuit;NA;983
202002;JO;Ituri;Nord-Kivu;Nord-Kivu;Jour;M;51
202002;JO;Ituri;Nord-Kivu;Nord-Kivu;Nuit;M;46
202002;JO;Kasai;Hors_Zone;Hors_Zone;Jour;F;1360
202002;JO;Kasai;Hors_Zone;Hors_Zone;Jour;M;3156
202002;JO;Kasai;Hors_Zone;Hors_Zone;Jour;NA;2152
202002;JO;Kasai;Hors_Zone;Hors_Zone;Nuit;F;110
202002;JO;Kasai;Hors_Zone;Hors_Zone;Nuit;M;529
202002;JO;Kasai;Hors_Zone;Hors_Zone;Nuit;NA;256
202002;JO;Kasai;Hors_Zone;Kasai;Jour;F;269
202002;JO;Kasai;Hors_Zone;Kasai;Jour;M;910
202002;JO;Kasai;Hors_Zone;Kasai;Jour;NA;279
202002;JO;Kasai;Hors_Zone;Kasai;Nuit;M;107
202002;JO;Kasai;Kasai;Hors_Zone;Jour;M;68
202002;JO;Kasai;Kasai;Hors_Zone;Nuit;M;21
202002;JO;Kasai;Kasai;Hors_Zone;Nuit;NA;91
202002;JO;Kasai;Kasai;Kasai;Jour;F;187
202002;JO;Kasai;Kasai;Kasai;Jour;M;768
202002;JO;Kasai;Kasai;Kasai;Jour;NA;136
202002;JO;Kasai;Kasai;Kasai;Nuit;F;73
202002;JO;Kasai;Kasai;Kasai;Nuit;M;463
202002;JO;Kasai;Kasai;Kasai;Nuit;NA;44
202002;JO;Kasai;Kasai-Central;Kasai-Central;Jour;M;69
202002;JO;Kasai;Kasai-Central;Kasai-Central;Nuit;M;61
202002;JO;Kasai-Central;Hors_Zone;Hors_Zone;Jour;F;1621
202002;JO;Kasai-Central;Hors_Zone;Hors_Zone;Jour;M;3605
202002;JO;Kasai-Central;Hors_Zone;Hors_Zone;Jour;NA;2222
202002;JO;Kasai-Central;Hors_Zone;Hors_Zone;Nuit;F;205
202002;JO;Kasai-Central;Hors_Zone;Hors_Zone;Nuit;M;555
202002;JO;Kasai-Central;Hors_Zone;Hors_Zone;Nuit;NA;368
202002;JO;Kasai-Central;Hors_Zone;Kasai-Central;Jour;F;377
202002;JO;Kasai-Central;Hors_Zone;Kasai-Central;Jour;M;1263
202002;JO;Kasai-Central;Hors_Zone;Kasai-Central;Jour;NA;350
202002;JO;Kasai-Central;Hors_Zone;Kasai-Central;Nuit;F;53
202002;JO;Kasai-Central;Hors_Zone;Kasai-Central;Nuit;M;383
202002;JO;Kasai-Central;Hors_Zone;Kasai-Central;Nuit;NA;56
202002;JO;Kasai-Central;Kasai;Kasai;Jour;M;58
202002;JO;Kasai-Central;Kasai;Kasai;Jour;NA;22
202002;JO;Kasai-Central;Kasai;Kasai;Nuit;M;58
202002;JO;Kasai-Central;Kasai-Central;Hors_Zone;Jour;M;45
202002;JO;Kasai-Central;Kasai-Central;Hors_Zone;Nuit;M;22
202002;JO;Kasai-Central;Kasai-Central;Kasai;Jour;NA;39
202002;JO;Kasai-Central;Kasai-Central;Kasai;Nuit;NA;39
202002;JO;Kasai-Central;Kasai-Central;Kasai-Central;Jour;F;773
202002;JO;Kasai-Central;Kasai-Central;Kasai-Central;Jour;M;2050
202002;JO;Kasai-Central;Kasai-Central;Kasai-Central;Jour;NA;647
202002;JO;Kasai-Central;Kasai-Central;Kasai-Central;Nuit;F;523
202002;JO;Kasai-Central;Kasai-Central;Kasai-Central;Nuit;M;1445
202002;JO;Kasai-Central;Kasai-Central;Kasai-Central;Nuit;NA;444
202002;JO;Kasai-Central;Kasai-Central;Kinshasa;Jour;NA;38
202002;JO;Kasai-Central;Kasai-Central;Kinshasa;Nuit;NA;38
202002;JO;Kasai-Central;Kasai-Oriental;Kasai-Central;Jour;M;35
202002;JO;Kasai-Central;Kinshasa;Kinshasa;Jour;M;204
202002;JO;Kasai-Central;Kinshasa;Kinshasa;Nuit;M;198
