Date;Hour;Day_type;Zone;TypeFlux;Home_Zone;Activity_Zone;Volume
2020-02-04;06:00:00;JO;Haut-Katanga;Entree;Haut-Katanga;Haut-Katanga;5053
2020-02-04;06:00:00;JO;Haut-Katanga;Entree;Haut-Katanga;Lualaba;918
2020-02-04;06:00:00;JO;Haut-Katanga;Entree;Hors_Zone;Haut-Katanga;229
2020-02-04;06:00:00;JO;Haut-Katanga;Entree;Hors_Zone;Hors_Zone;233
2020-02-04;06:00:00;JO;Haut-Katanga;Entree;Lualaba;Haut-Katanga;918
2020-02-04;06:00:00;JO;Haut-Katanga;Entree;Lualaba;Lualaba;2067
2020-02-04;06:00:00;JO;Haut-Katanga;Sortie;Haut-Katanga;Haut-Katanga;2985
2020-02-04;06:00:00;JO;Haut-Katanga;Sortie;Haut-Katanga;Lualaba;229
2020-02-04;06:00:00;JO;Haut-Katanga;Sortie;Hors_Zone;Haut-Katanga;229
2020-02-04;06:00:00;JO;Haut-Katanga;Sortie;Hors_Zone;Hors_Zone;229
2020-02-04;06:00:00;JO;Haut-Katanga;Sortie;Hors_Zone;Lualaba;229
2020-02-04;06:00:00;JO;Haut-Katanga;Sortie;Lualaba;Haut-Katanga;918
2020-02-04;06:00:00;JO;Haut-Katanga;Sortie;Lualaba;Lualaba;3445
2020-02-04;06:00:00;JO;Haut-Lomami;Entree;Haut-Lomami;Haut-Lomami;689
2020-02-04;06:00:00;JO;Haut-Lomami;Entree;Hors_Zone;Haut-Lomami;229
2020-02-04;06:00:00;JO;Haut-Lomami;Entree;Hors_Zone;Kasai;5818
2020-02-04;06:00:00;JO;Haut-Lomami;Entree;Lomami;Haut-Lomami;229
2020-02-04;06:00:00;JO;Haut-Lomami;Entree;Lomami;Lomami;659
2020-02-04;06:00:00;JO;Haut-Lomami;Sortie;Hors_Zone;Haut-Lomami;229
2020-02-04;06:00:00;JO;Haut-Lomami;Sortie;Hors_Zone;Hors_Zone;229
2020-02-04;06:00:00;JO;Haut-Lomami;Sortie;Kasai;Kasai;5818
2020-02-04;06:00:00;JO;Haut-Lomami;Sortie;Lomami;Lomami;229
2020-02-04;06:00:00;JO;Ituri;Sortie;Hors_Zone;Nord-Kivu;1105
2020-02-04;06:00:00;JO;Kasai-Central;Entree;Hors_Zone;Kasai-Central;229
2020-02-04;06:00:00;JO;Kasai-Central;Entree;Kasai-Oriental;Kasai-Oriental;429
2020-02-04;06:00:00;JO;Kasai-Central;Sortie;Kasai-Central;Kasai-Central;5818
2020-02-04;06:00:00;JO;Kasai-Central;Sortie;Kasai-Oriental;Kasai-Oriental;858
2020-02-04;06:00:00;JO;Kasai-Oriental;Entree;Hors_Zone;Kasai-Oriental;429
2020-02-04;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Central;Kasai-Central;5818
2020-02-04;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Oriental;Kasai-Oriental;2576
2020-02-04;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Oriental;Lomami;1288
2020-02-04;06:00:00;JO;Kasai-Oriental;Entree;Lomami;Kasai-Oriental;1288
2020-02-04;06:00:00;JO;Kasai-Oriental;Entree;Lomami;Lomami;4722
2020-02-04;06:00:00;JO;Kasai-Oriental;Sortie;Kasai-Oriental;Kasai-Oriental;3864
2020-02-04;06:00:00;JO;Kasai-Oriental;Sortie;Kasai-Oriental;Lomami;429
2020-02-04;06:00:00;JO;Kasai-Oriental;Sortie;Lomami;Kasai-Oriental;858
2020-02-04;06:00:00;JO;Kasai-Oriental;Sortie;Lomami;Lomami;4722
2020-02-04;06:00:00;JO;Kinshasa;Entree;Hors_Zone;Kongo-Central;317
2020-02-04;06:00:00;JO;Kinshasa;Entree;Kinshasa;Kinshasa;665
2020-02-04;06:00:00;JO;Kinshasa;Entree;Kongo-Central;Kongo-Central;665
2020-02-04;06:00:00;JO;Kinshasa;Sortie;Hors_Zone;Hors_Zone;317
2020-02-04;06:00:00;JO;Kinshasa;Sortie;Kinshasa;Kinshasa;317
2020-02-04;06:00:00;JO;Kinshasa;Sortie;Kongo-Central;Kinshasa;665
2020-02-04;06:00:00;JO;Kinshasa;Sortie;Kongo-Central;Kongo-Central;1044
2020-02-04;06:00:00;JO;Kongo-Central;Entree;Hors_Zone;Hors_Zone;317
2020-02-04;06:00:00;JO;Kongo-Central;Entree;Kinshasa;Kinshasa;317
2020-02-04;06:00:00;JO;Kongo-Central;Entree;Kongo-Central;Kinshasa;665
2020-02-04;06:00:00;JO;Kongo-Central;Entree;Kongo-Central;Kongo-Central;1740
2020-02-04;06:00:00;JO;Kongo-Central;Sortie;Hors_Zone;Hors_Zone;635
2020-02-04;06:00:00;JO;Kongo-Central;Sortie;Hors_Zone;Kongo-Central;317
2020-02-04;06:00:00;JO;Kongo-Central;Sortie;Kinshasa;Kinshasa;1013
2020-02-04;06:00:00;JO;Kongo-Central;Sortie;Kongo-Central;Kongo-Central;317
2020-02-04;06:00:00;JO;Kwilu;Sortie;Kasai;Kwilu;5818
2020-02-04;06:00:00;JO;Lomami;Entree;Haut-Lomami;Haut-Lomami;229
2020-02-04;06:00:00;JO;Lomami;Entree;Hors_Zone;Haut-Lomami;229
2020-02-04;06:00:00;JO;Lomami;Entree;Hors_Zone;Hors_Zone;858
2020-02-04;06:00:00;JO;Lomami;Entree;Kasai-Oriental;Kasai-Oriental;6440
2020-02-04;06:00:00;JO;Lomami;Entree;Kasai-Oriental;Lomami;429
2020-02-04;06:00:00;JO;Lomami;Entree;Lomami;Haut-Lomami;229
2020-02-04;06:00:00;JO;Lomami;Entree;Lomami;Kasai-Oriental;1288
2020-02-04;06:00:00;JO;Lomami;Entree;Lomami;Lomami;4093
2020-02-04;06:00:00;JO;Lomami;Sortie;Haut-Lomami;Haut-Lomami;689
2020-02-04;06:00:00;JO;Lomami;Sortie;Haut-Lomami;Hors_Zone;429
2020-02-04;06:00:00;JO;Lomami;Sortie;Hors_Zone;Haut-Lomami;229
2020-02-04;06:00:00;JO;Lomami;Sortie;Hors_Zone;Hors_Zone;229
2020-02-04;06:00:00;JO;Lomami;Sortie;Hors_Zone;Kasai-Central;229
2020-02-04;06:00:00;JO;Lomami;Sortie;Hors_Zone;Kasai-Oriental;858
2020-02-04;06:00:00;JO;Lomami;Sortie;Kasai-Oriental;Kasai-Oriental;5152
2020-02-04;06:00:00;JO;Lomami;Sortie;Kasai-Oriental;Lomami;1288
2020-02-04;06:00:00;JO;Lomami;Sortie;Lomami;Haut-Lomami;229
2020-02-04;06:00:00;JO;Lomami;Sortie;Lomami;Kasai-Oriental;858
2020-02-04;06:00:00;JO;Lomami;Sortie;Lomami;Lomami;4523
2020-02-04;06:00:00;JO;Lualaba;Entree;Haut-Katanga;Haut-Katanga;6660
2020-02-04;06:00:00;JO;Lualaba;Entree;Hors_Zone;Haut-Katanga;459
2020-02-04;06:00:00;JO;Lualaba;Entree;Hors_Zone;Lualaba;229
2020-02-04;06:00:00;JO;Lualaba;Entree;Lualaba;Haut-Katanga;918
2020-02-04;06:00:00;JO;Lualaba;Entree;Lualaba;Lualaba;918
2020-02-04;06:00:00;JO;Lualaba;Sortie;Haut-Katanga;Haut-Katanga;14469
2020-02-04;06:00:00;JO;Lualaba;Sortie;Haut-Katanga;Hors_Zone;689
2020-02-04;06:00:00;JO;Lualaba;Sortie;Haut-Katanga;Lualaba;1378
2020-02-04;06:00:00;JO;Lualaba;Sortie;Hors_Zone;Haut-Katanga;229
2020-02-04;06:00:00;JO;Lualaba;Sortie;Hors_Zone;Hors_Zone;463
2020-02-04;06:00:00;JO;Lualaba;Sortie;Lualaba;Haut-Katanga;459
2020-02-04;06:00:00;JO;Lualaba;Sortie;Lualaba;Lualaba;689
2020-02-04;06:00:00;JO;Nord-Kivu;Entree;Hors_Zone;Hors_Zone;2736
2020-02-04;06:00:00;JO;Nord-Kivu;Entree;Hors_Zone;Nord-Kivu;2078
2020-02-04;06:00:00;JO;Nord-Kivu;Entree;Hors_Zone;Sud-Kivu;510
2020-02-04;06:00:00;JO;Nord-Kivu;Entree;Nord-Kivu;Hors_Zone;1252
2020-02-04;06:00:00;JO;Nord-Kivu;Entree;Nord-Kivu;Nord-Kivu;9756
2020-02-04;06:00:00;JO;Nord-Kivu;Entree;Nord-Kivu;Sud-Kivu;6629
2020-02-04;06:00:00;JO;Nord-Kivu;Entree;Sud-Kivu;Nord-Kivu;1459
2020-02-04;06:00:00;JO;Nord-Kivu;Entree;Sud-Kivu;Sud-Kivu;5984
2020-02-04;06:00:00;JO;Nord-Kivu;Sortie;Hors_Zone;Hors_Zone;255
2020-02-04;06:00:00;JO;Nord-Kivu;Sortie;Hors_Zone;Nord-Kivu;1459
2020-02-04;06:00:00;JO;Nord-Kivu;Sortie;Hors_Zone;Sud-Kivu;741
2020-02-04;06:00:00;JO;Nord-Kivu;Sortie;Nord-Kivu;Hors_Zone;255
2020-02-04;06:00:00;JO;Nord-Kivu;Sortie;Nord-Kivu;Nord-Kivu;7116
2020-02-04;06:00:00;JO;Nord-Kivu;Sortie;Nord-Kivu;Sud-Kivu;2201
