Period;Hour;Day_type;Origin;Destination;Immobility;Home_Category;Activity_Category;Area/Nationality;Type;Observation_Zone;Mode;Volume
202002;06:00:00;JO;Lualaba;Haut-Katanga;3h;Origin_Zone_Resident;Origin_Zone_Worker;China;Etranger;ZoneGlobale;All_modes;126
202002;06:00:00;JO;Nord-Kivu;Sud-Kivu;1h;Destination_Zone_Resident;Destination_Zone_Worker;Uganda;Etranger;ZoneGlobale;All_modes;86
202002;06:00:00;JO;Nord-Kivu;Sud-Kivu;3h;Origin_Zone_Resident;Origin_Zone_Worker;Nord-Kivu;Local;ZoneGlobale;All_modes;27
202002;06:00:00;JO;Sud-Kivu;Nord-Kivu;1h;Destination_Zone_Resident;Destination_Zone_Worker;Nord-Kivu;Local;ZoneGlobale;All_modes;25
202002;06:00:00;JO;Sud-Kivu;Nord-Kivu;3h;Outside_Resident;Outside_Worker;South Sudan (Republic of);Etranger;ZoneGlobale;All_modes;44
202002;06:00:00;JO;Sud-Kivu;Nord-Kivu;3h;Outside_Resident;Outside_Worker;Uganda;Etranger;ZoneGlobale;All_modes;88
202002;06:00:00;JO;Sud-Kivu;Nord-Kivu;3h;Destination_Zone_Resident;Destination_Zone_Worker;Nord-Kivu;Local;ZoneGlobale;All_modes;27
202002;06:00:00;WE;Haut-Katanga;Lualaba;1h;Destination_Zone_Resident;Outside_Worker;China;Etranger;ZoneGlobale;All_modes;38
202002;06:00:00;WE;Haut-Katanga;Lualaba;3h;Destination_Zone_Resident;Outside_Worker;China;Etranger;ZoneGlobale;All_modes;48
202002;06:00:00;WE;Haut-Katanga;Lualaba;3h;Origin_Zone_Resident;Outside_Worker;China;Etranger;ZoneGlobale;All_modes;37
202002;06:00:00;WE;Hors_Zone;Equateur;1h;Outside_Resident;Outside_Worker;Congo Republic;Etranger;ZoneGlobale;All_modes;58
202002;06:00:00;WE;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;China;Etranger;ZoneGlobale;All_modes;21
202002;06:00:00;WE;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;Katanga;Local;ZoneGlobale;All_modes;112
202002;06:00:00;WE;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;Uganda;Etranger;ZoneGlobale;All_modes;78
202002;06:00:00;WE;Hors_Zone;Ituri;1h;Outside_Resident;Outside_Worker;Uganda;Etranger;ZoneGlobale;All_modes;441
202002;06:00:00;WE;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;China;Etranger;ZoneGlobale;All_modes;23
202002;06:00:00;WE;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;Congo Republic;Etranger;ZoneGlobale;All_modes;277
202002;06:00:00;WE;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;Kinshasa;Local;ZoneGlobale;All_modes;29
202002;06:00:00;WE;Hors_Zone;Lualaba;1h;Outside_Resident;Outside_Worker;Katanga;Local;ZoneGlobale;All_modes;27
202002;06:00:00;WE;Hors_Zone;Nord-Kivu;1h;Outside_Resident;Outside_Worker;Nord-Kivu;Local;ZoneGlobale;All_modes;84
202002;06:00:00;WE;Hors_Zone;Nord-Kivu;1h;Outside_Resident;Outside_Worker;Rwanda;Etranger;ZoneGlobale;All_modes;160
202002;06:00:00;WE;Hors_Zone;Nord-Kivu;1h;Outside_Resident;Outside_Worker;Senegal;Etranger;ZoneGlobale;All_modes;39
202002;06:00:00;WE;Hors_Zone;Nord-Kivu;1h;Outside_Resident;Outside_Worker;Uganda;Etranger;ZoneGlobale;All_modes;1540
202002;06:00:00;WE;Hors_Zone;Nord-Ubangi;1h;Outside_Resident;Outside_Worker;Central African Rep.;Etranger;ZoneGlobale;All_modes;37
202002;06:00:00;WE;Hors_Zone;Sud-Kivu;1h;Outside_Resident;Outside_Worker;Rwanda;Etranger;ZoneGlobale;All_modes;322
202002;06:00:00;WE;Hors_Zone;Sud-Kivu;1h;Outside_Resident;Outside_Worker;Sud-Kivu;Local;ZoneGlobale;All_modes;108
202002;06:00:00;WE;Hors_Zone;Sud-Kivu;1h;Outside_Resident;Outside_Worker;Uganda;Etranger;ZoneGlobale;All_modes;243
202002;06:00:00;WE;Hors_Zone;Sud-Ubangi;1h;Outside_Resident;Outside_Worker;Central African Rep.;Etranger;ZoneGlobale;All_modes;50
202002;06:00:00;WE;Kinshasa;Kongo-Central;1h;Origin_Zone_Resident;Origin_Zone_Worker;Kinshasa;Local;ZoneGlobale;All_modes;22
202002;06:00:00;WE;Kinshasa;Kongo-Central;3h;Outside_Resident;Outside_Worker;Bas congo (Kongo-Central);Local;ZoneGlobale;All_modes;21
202002;06:00:00;WE;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Origin_Zone_Worker;Kinshasa;Local;ZoneGlobale;All_modes;22
202002;06:00:00;WE;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;Bas congo (Kongo-Central);Local;ZoneGlobale;All_modes;22
202002;06:00:00;WE;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;Bas congo (Kongo-Central);Local;ZoneGlobale;All_modes;25
202002;06:00:00;WE;Lualaba;Haut-Katanga;1h;Outside_Resident;Outside_Worker;China;Etranger;ZoneGlobale;All_modes;29
202002;06:00:00;WE;Lualaba;Haut-Katanga;3h;Origin_Zone_Resident;Destination_Zone_Worker;China;Etranger;ZoneGlobale;All_modes;25
202002;06:00:00;WE;Nord-Kivu;Sud-Kivu;1h;Outside_Resident;Origin_Zone_Worker;Nord-Kivu;Local;ZoneGlobale;All_modes;29
202002;06:30:00;JO;Haut-Katanga;Lualaba;1h;Outside_Resident;Outside_Worker;China;Etranger;ZoneGlobale;All_modes;43
202002;06:30:00;JO;Haut-Katanga;Lualaba;1h;Outside_Resident;Destination_Zone_Worker;China;Etranger;ZoneGlobale;All_modes;37
202002;06:30:00;JO;Haut-Katanga;Lualaba;1h;Outside_Resident;Origin_Zone_Worker;China;Etranger;ZoneGlobale;All_modes;22
202002;06:30:00;JO;Haut-Katanga;Lualaba;1h;Destination_Zone_Resident;Origin_Zone_Worker;Katanga;Local;ZoneGlobale;All_modes;26
202002;06:30:00;JO;Haut-Katanga;Lualaba;1h;Origin_Zone_Resident;Destination_Zone_Worker;China;Etranger;ZoneGlobale;All_modes;32
202002;06:30:00;JO;Haut-Katanga;Lualaba;1h;Origin_Zone_Resident;Origin_Zone_Worker;China;Etranger;ZoneGlobale;All_modes;85
202002;06:30:00;JO;Haut-Katanga;Lualaba;1h;Origin_Zone_Resident;Origin_Zone_Worker;Katanga;Local;ZoneGlobale;All_modes;55
202002;06:30:00;JO;Haut-Katanga;Lualaba;3h;Outside_Resident;Destination_Zone_Worker;China;Etranger;ZoneGlobale;All_modes;61
202002;06:30:00;JO;Haut-Katanga;Lualaba;3h;Destination_Zone_Resident;Origin_Zone_Worker;Katanga;Local;ZoneGlobale;All_modes;26
202002;06:30:00;JO;Haut-Katanga;Lualaba;3h;Origin_Zone_Resident;Origin_Zone_Worker;China;Etranger;ZoneGlobale;All_modes;63
202002;06:30:00;JO;Haut-Katanga;Lualaba;3h;Origin_Zone_Resident;Origin_Zone_Worker;Katanga;Local;ZoneGlobale;All_modes;55
202002;06:30:00;JO;Hors_Zone;Equateur;1h;Outside_Resident;Outside_Worker;Congo Republic;Etranger;ZoneGlobale;All_modes;84
202002;06:30:00;JO;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;China;Etranger;ZoneGlobale;All_modes;88
202002;06:30:00;JO;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;Katanga;Local;ZoneGlobale;All_modes;436
