Date;Hour;Day_type;Zone;TypeFlux;Home_Zone;Activity_Zone;Volume
2020-02-17;06:00:00;JO;Haut-Katanga;Entree;Haut-Katanga;Haut-Katanga;5933
2020-02-17;06:00:00;JO;Haut-Katanga;Entree;Haut-Katanga;Lualaba;2224
2020-02-17;06:00:00;JO;Haut-Katanga;Entree;Hors_Zone;Hors_Zone;247
2020-02-17;06:00:00;JO;Haut-Katanga;Entree;Lualaba;Haut-Katanga;741
2020-02-17;06:00:00;JO;Haut-Katanga;Entree;Lualaba;Lualaba;1977
2020-02-17;06:00:00;JO;Haut-Katanga;Sortie;Haut-Katanga;Haut-Katanga;2719
2020-02-17;06:00:00;JO;Haut-Katanga;Sortie;Haut-Katanga;Hors_Zone;247
2020-02-17;06:00:00;JO;Haut-Katanga;Sortie;Haut-Katanga;Lualaba;741
2020-02-17;06:00:00;JO;Haut-Katanga;Sortie;Lualaba;Haut-Katanga;1236
2020-02-17;06:00:00;JO;Haut-Katanga;Sortie;Lualaba;Lualaba;1730
2020-02-17;06:00:00;JO;Haut-Lomami;Entree;Haut-Lomami;Kasai;247
2020-02-17;06:00:00;JO;Haut-Lomami;Entree;Lomami;Lomami;569
2020-02-17;06:00:00;JO;Haut-Lomami;Sortie;Haut-Lomami;Haut-Lomami;494
2020-02-17;06:00:00;JO;Haut-Lomami;Sortie;Kasai;Kasai;5244
2020-02-17;06:00:00;JO;Haut-Lomami;Sortie;Lomami;Haut-Lomami;569
2020-02-17;06:00:00;JO;Haut-Lomami;Sortie;Lomami;Lomami;1385
2020-02-17;06:00:00;JO;Kasai;Sortie;Haut-Lomami;Kasai;247
2020-02-17;06:00:00;JO;Kasai-Central;Entree;Kasai-Central;Kasai-Central;5244
2020-02-17;06:00:00;JO;Kasai-Central;Entree;Kasai-Central;Kasai-Oriental;5566
2020-02-17;06:00:00;JO;Kasai-Central;Entree;Kasai-Oriental;Kasai-Oriental;1932
2020-02-17;06:00:00;JO;Kasai-Central;Entree;Lomami;Lomami;5566
2020-02-17;06:00:00;JO;Kasai-Central;Sortie;Kasai-Central;Kasai-Oriental;322
2020-02-17;06:00:00;JO;Kasai-Central;Sortie;Kasai-Oriental;Kasai-Oriental;16698
2020-02-17;06:00:00;JO;Kasai-Oriental;Entree;Hors_Zone;Hors_Zone;966
2020-02-17;06:00:00;JO;Kasai-Oriental;Entree;Hors_Zone;Kasai-Oriental;322
2020-02-17;06:00:00;JO;Kasai-Oriental;Entree;Hors_Zone;Lomami;966
2020-02-17;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Central;Kasai-Oriental;322
2020-02-17;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Oriental;Kasai-Central;322
2020-02-17;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Oriental;Kasai-Oriental;13941
2020-02-17;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Oriental;Lomami;644
2020-02-17;06:00:00;JO;Kasai-Oriental;Entree;Lomami;Kasai-Oriental;1932
2020-02-17;06:00:00;JO;Kasai-Oriental;Entree;Lomami;Lomami;9663
2020-02-17;06:00:00;JO;Kasai-Oriental;Sortie;Hors_Zone;Hors_Zone;1610
2020-02-17;06:00:00;JO;Kasai-Oriental;Sortie;Hors_Zone;Kasai-Oriental;966
2020-02-17;06:00:00;JO;Kasai-Oriental;Sortie;Hors_Zone;Lomami;644
2020-02-17;06:00:00;JO;Kasai-Oriental;Sortie;Kasai-Central;Kasai-Central;10488
2020-02-17;06:00:00;JO;Kasai-Oriental;Sortie;Kasai-Central;Kasai-Oriental;5566
2020-02-17;06:00:00;JO;Kasai-Oriental;Sortie;Kasai-Oriental;Kasai-Central;322
2020-02-17;06:00:00;JO;Kasai-Oriental;Sortie;Kasai-Oriental;Kasai-Oriental;9019
2020-02-17;06:00:00;JO;Kasai-Oriental;Sortie;Kasai-Oriental;Lomami;966
2020-02-17;06:00:00;JO;Kasai-Oriental;Sortie;Lomami;Hors_Zone;322
2020-02-17;06:00:00;JO;Kasai-Oriental;Sortie;Lomami;Kasai-Oriental;3221
2020-02-17;06:00:00;JO;Kasai-Oriental;Sortie;Lomami;Lomami;16749
2020-02-17;06:00:00;JO;Kinshasa;Entree;Hors_Zone;Hors_Zone;401
2020-02-17;06:00:00;JO;Kinshasa;Entree;Kinshasa;Kinshasa;770
2020-02-17;06:00:00;JO;Kinshasa;Entree;Kongo-Central;Kongo-Central;770
2020-02-17;06:00:00;JO;Kinshasa;Sortie;Hors_Zone;Hors_Zone;369
2020-02-17;06:00:00;JO;Kinshasa;Sortie;Kongo-Central;Kongo-Central;1107
2020-02-17;06:00:00;JO;Kongo-Central;Entree;Kinshasa;Kinshasa;401
2020-02-17;06:00:00;JO;Kongo-Central;Entree;Kongo-Central;Kinshasa;369
2020-02-17;06:00:00;JO;Kongo-Central;Entree;Kongo-Central;Kongo-Central;738
2020-02-17;06:00:00;JO;Kongo-Central;Sortie;Hors_Zone;Hors_Zone;401
2020-02-17;06:00:00;JO;Kongo-Central;Sortie;Kinshasa;Kinshasa;401
2020-02-17;06:00:00;JO;Kongo-Central;Sortie;Kongo-Central;Kongo-Central;369
2020-02-17;06:00:00;JO;Lomami;Entree;Haut-Lomami;Haut-Lomami;494
2020-02-17;06:00:00;JO;Lomami;Entree;Hors_Zone;Hors_Zone;1857
2020-02-17;06:00:00;JO;Lomami;Entree;Hors_Zone;Kasai-Oriental;1288
2020-02-17;06:00:00;JO;Lomami;Entree;Hors_Zone;Lomami;322
2020-02-17;06:00:00;JO;Lomami;Entree;Kasai-Oriental;Kasai-Oriental;9985
2020-02-17;06:00:00;JO;Lomami;Entree;Kasai-Oriental;Lomami;1288
2020-02-17;06:00:00;JO;Lomami;Entree;Lomami;Haut-Lomami;569
2020-02-17;06:00:00;JO;Lomami;Entree;Lomami;Hors_Zone;322
2020-02-17;06:00:00;JO;Lomami;Entree;Lomami;Kasai-Oriental;2254
2020-02-17;06:00:00;JO;Lomami;Entree;Lomami;Lomami;8547
2020-02-17;06:00:00;JO;Lomami;Sortie;Hors_Zone;Haut-Lomami;322
2020-02-17;06:00:00;JO;Lomami;Sortie;Hors_Zone;Hors_Zone;2254
2020-02-17;06:00:00;JO;Lomami;Sortie;Hors_Zone;Kasai-Oriental;322
2020-02-17;06:00:00;JO;Lomami;Sortie;Hors_Zone;Lomami;322
2020-02-17;06:00:00;JO;Lomami;Sortie;Kasai-Oriental;Hors_Zone;322
2020-02-17;06:00:00;JO;Lomami;Sortie;Kasai-Oriental;Kasai-Oriental;9019
2020-02-17;06:00:00;JO;Lomami;Sortie;Kasai-Oriental;Lomami;644
2020-02-17;06:00:00;JO;Lomami;Sortie;Lomami;Hors_Zone;322
2020-02-17;06:00:00;JO;Lomami;Sortie;Lomami;Kasai-Oriental;966
2020-02-17;06:00:00;JO;Lomami;Sortie;Lomami;Lomami;4509
2020-02-17;06:00:00;JO;Lualaba;Entree;Haut-Katanga;Haut-Katanga;4944
2020-02-17;06:00:00;JO;Lualaba;Entree;Haut-Katanga;Lualaba;988
2020-02-17;06:00:00;JO;Lualaba;Entree;Hors_Zone;Hors_Zone;494
2020-02-17;06:00:00;JO;Lualaba;Entree;Lualaba;Haut-Katanga;1483
2020-02-17;06:00:00;JO;Lualaba;Entree;Lualaba;Lualaba;2224
2020-02-17;06:00:00;JO;Lualaba;Sortie;Haut-Katanga;Haut-Katanga;16316
2020-02-17;06:00:00;JO;Lualaba;Sortie;Haut-Katanga;Lualaba;2966
2020-02-17;06:00:00;JO;Lualaba;Sortie;Hors_Zone;Hors_Zone;494
2020-02-17;06:00:00;JO;Lualaba;Sortie;Lualaba;Haut-Katanga;988
2020-02-17;06:00:00;JO;Lualaba;Sortie;Lualaba;Lualaba;988
2020-02-17;06:00:00;JO;Nord-Kivu;Entree;Hors_Zone;Hors_Zone;2831
2020-02-17;06:00:00;JO;Nord-Kivu;Entree;Hors_Zone;Nord-Kivu;464
2020-02-17;06:00:00;JO;Nord-Kivu;Entree;Hors_Zone;Sud-Kivu;253
2020-02-17;06:00:00;JO;Nord-Kivu;Entree;Nord-Kivu;Nord-Kivu;11961
2020-02-17;06:00:00;JO;Nord-Kivu;Entree;Nord-Kivu;Sud-Kivu;4353
2020-02-17;06:00:00;JO;Nord-Kivu;Entree;Sud-Kivu;Hors_Zone;464
2020-02-17;06:00:00;JO;Nord-Kivu;Entree;Sud-Kivu;Nord-Kivu;253
2020-02-17;06:00:00;JO;Nord-Kivu;Entree;Sud-Kivu;Sud-Kivu;10438
2020-02-17;06:00:00;JO;Nord-Kivu;Sortie;Hors_Zone;Hors_Zone;972
2020-02-17;06:00:00;JO;Nord-Kivu;Sortie;Hors_Zone;Nord-Kivu;253
2020-02-17;06:00:00;JO;Nord-Kivu;Sortie;Hors_Zone;Sud-Kivu;253
2020-02-17;06:00:00;JO;Nord-Kivu;Sortie;Nord-Kivu;Nord-Kivu;9129
2020-02-17;06:00:00;JO;Nord-Kivu;Sortie;Nord-Kivu;Sud-Kivu;2113
2020-02-17;06:00:00;JO;Nord-Kivu;Sortie;Sud-Kivu;Nord-Kivu;4015
2020-02-17;06:00:00;JO;Nord-Kivu;Sortie;Sud-Kivu;Sud-Kivu;7480
2020-02-17;06:00:00;JO;Sud-Kivu;Entree;Hors_Zone;Hors_Zone;2155
2020-02-17;06:00:00;JO;Sud-Kivu;Entree;Hors_Zone;Nord-Kivu;718
2020-02-17;06:00:00;JO;Sud-Kivu;Entree;Hors_Zone;Sud-Kivu;718
2020-02-17;06:00:00;JO;Sud-Kivu;Entree;Nord-Kivu;Nord-Kivu;13060
2020-02-17;06:00:00;JO;Sud-Kivu;Entree;Nord-Kivu;Sud-Kivu;718
2020-02-17;06:00:00;JO;Sud-Kivu;Entree;Sud-Kivu;Nord-Kivu;1648
2020-02-17;06:00:00;JO;Sud-Kivu;Entree;Sud-Kivu;Sud-Kivu;6466
2020-02-17;06:00:00;JO;Sud-Kivu;Sortie;Hors_Zone;Hors_Zone;1901
2020-02-17;06:00:00;JO;Sud-Kivu;Sortie;Hors_Zone;Nord-Kivu;1901
2020-02-17;06:00:00;JO;Sud-Kivu;Sortie;Hors_Zone;Sud-Kivu;253
2020-02-17;06:00:00;JO;Sud-Kivu;Sortie;Nord-Kivu;Nord-Kivu;16864
2020-02-17;06:00:00;JO;Sud-Kivu;Sortie;Nord-Kivu;Sud-Kivu;2620
2020-02-17;06:00:00;JO;Sud-Kivu;Sortie;Sud-Kivu;Hors_Zone;464
2020-02-17;06:00:00;JO;Sud-Kivu;Sortie;Sud-Kivu;Nord-Kivu;1183
2020-02-17;06:00:00;JO;Sud-Kivu;Sortie;Sud-Kivu;Sud-Kivu;6423
2020-02-17;06:30:00;JO;Haut-Katanga;Entree;Haut-Katanga;Haut-Katanga;7259
2020-02-17;06:30:00;JO;Haut-Katanga;Entree;Haut-Katanga;Lualaba;2419
2020-02-17;06:30:00;JO;Haut-Katanga;Entree;Hors_Zone;Hors_Zone;439
2020-02-17;06:30:00;JO;Haut-Katanga;Entree;Lualaba;Haut-Katanga;659
2020-02-17;06:30:00;JO;Haut-Katanga;Entree;Lualaba;Lualaba;659
2020-02-17;06:30:00;JO;Haut-Katanga;Sortie;Haut-Katanga;Haut-Katanga;2419
2020-02-17;06:30:00;JO;Haut-Katanga;Sortie;Haut-Katanga;Lualaba;439
2020-02-17;06:30:00;JO;Haut-Katanga;Sortie;Hors_Zone;Haut-Katanga;219
2020-02-17;06:30:00;JO;Haut-Katanga;Sortie;Hors_Zone;Hors_Zone;219
2020-02-17;06:30:00;JO;Haut-Katanga;Sortie;Hors_Zone;Lualaba;219
2020-02-17;06:30:00;JO;Haut-Katanga;Sortie;Lualaba;Haut-Katanga;1099
2020-02-17;06:30:00;JO;Haut-Katanga;Sortie;Lualaba;Lualaba;2419
2020-02-17;06:30:00;JO;Haut-Lomami;Entree;Haut-Lomami;Haut-Lomami;439
2020-02-17;06:30:00;JO;Haut-Lomami;Entree;Haut-Lomami;Lomami;219
2020-02-17;06:30:00;JO;Haut-Lomami;Entree;Kasai;Kasai;4581
2020-02-17;06:30:00;JO;Haut-Lomami;Entree;Lomami;Lomami;304
2020-02-17;06:30:00;JO;Haut-Lomami;Sortie;Haut-Lomami;Haut-Lomami;219
2020-02-17;06:30:00;JO;Haut-Lomami;Sortie;Kasai;Kasai;4581
2020-02-17;06:30:00;JO;Ituri;Sortie;Hors_Zone;Hors_Zone;481
2020-02-17;06:30:00;JO;Kasai;Entree;Kasai;Kasai;9162
2020-02-17;06:30:00;JO;Kasai-Central;Entree;Kasai-Central;Kasai-Central;4581
2020-02-17;06:30:00;JO;Kasai-Central;Entree;Kasai-Central;Kasai-Oriental;4581
2020-02-17;06:30:00;JO;Kasai-Central;Entree;Kasai-Oriental;Kasai-Central;4581
2020-02-17;06:30:00;JO;Kasai-Central;Entree;Kasai-Oriental;Kasai-Oriental;4581
2020-02-17;06:30:00;JO;Kasai-Central;Sortie;Hors_Zone;Hors_Zone;4886
2020-02-17;06:30:00;JO;Kasai-Central;Sortie;Kasai-Oriental;Kasai-Oriental;10686
2020-02-17;06:30:00;JO;Kasai-Central;Sortie;Lomami;Lomami;304
2020-02-17;06:30:00;JO;Kasai-Oriental;Entree;Hors_Zone;Hors_Zone;6409
2020-02-17;06:30:00;JO;Kasai-Oriental;Entree;Hors_Zone;Lomami;914
2020-02-17;06:30:00;JO;Kasai-Oriental;Entree;Kasai-Central;Hors_Zone;4581
2020-02-17;06:30:00;JO;Kasai-Oriental;Entree;Kasai-Oriental;Kasai-Central;4581
