Date;Hour;Type;Activity_Zone;Home_Zone;Zone;Volume
2020-02-02;06:00:00;Local;Hors_Zone;Hors_Zone;ZoneGlobale;6379444
2020-02-02;06:00:00;Local;Tanganyika;Hors_Zone;ZoneGlobale;2942
2020-02-02;06:00:00;Local;Mongala;Hors_Zone;ZoneGlobale;64837
2020-02-02;06:00:00;Local;Sankuru;Hors_Zone;ZoneGlobale;2070
2020-02-02;06:00:00;Local;Haut-Katanga;Hors_Zone;ZoneGlobale;287489
2020-02-02;06:00:00;Local;Lualaba;Hors_Zone;ZoneGlobale;104278
2020-02-02;06:00:00;Local;Kinshasa;Hors_Zone;ZoneGlobale;141386
2020-02-02;06:00:00;Local;Nord-Ubangi;Hors_Zone;ZoneGlobale;27063
2020-02-02;06:00:00;Local;Tshuapa;Hors_Zone;ZoneGlobale;9021
2020-02-02;06:00:00;Local;Sud-Kivu;Hors_Zone;ZoneGlobale;195349
2020-02-02;06:00:00;Local;Tshopo;Hors_Zone;ZoneGlobale;220771
2020-02-02;06:00:00;Local;Kongo-Central;Hors_Zone;ZoneGlobale;42267
2020-02-02;06:00:00;Local;Ituri;Hors_Zone;ZoneGlobale;36474
2020-02-02;06:00:00;Local;Kasai;Hors_Zone;ZoneGlobale;27127
2020-02-02;06:00:00;Local;Bas-Uele;Hors_Zone;ZoneGlobale;3856
2020-02-02;06:00:00;Local;Lomami;Hors_Zone;ZoneGlobale;54853
2020-02-02;06:00:00;Local;Kasai-Oriental;Hors_Zone;ZoneGlobale;120861
2020-02-02;06:00:00;Local;Kwilu;Hors_Zone;ZoneGlobale;166762
2020-02-02;06:00:00;Local;Mai-Ndombe;Hors_Zone;ZoneGlobale;111174
2020-02-02;06:00:00;Local;Maniema;Hors_Zone;ZoneGlobale;164468
2020-02-02;06:00:00;Local;Kwango;Hors_Zone;ZoneGlobale;111174
2020-02-02;06:00:00;Local;Haut-Uele;Hors_Zone;ZoneGlobale;1285
2020-02-02;06:00:00;Local;Sud-Ubangi;Hors_Zone;ZoneGlobale;63147
2020-02-02;06:00:00;Local;Kasai-Central;Hors_Zone;ZoneGlobale;223775
2020-02-02;06:00:00;Local;Equateur;Hors_Zone;ZoneGlobale;171401
2020-02-02;06:00:00;Local;Haut-Lomami;Hors_Zone;ZoneGlobale;14086
2020-02-02;06:00:00;Local;Nord-Kivu;Hors_Zone;ZoneGlobale;283544
2020-02-02;06:00:00;Local;Hors_Zone;Tanganyika;ZoneGlobale;1493
2020-02-02;06:00:00;Local;Tanganyika;Tanganyika;ZoneGlobale;33908
2020-02-02;06:00:00;Local;Sud-Kivu;Tanganyika;ZoneGlobale;298
2020-02-02;06:00:00;Local;Hors_Zone;Mongala;ZoneGlobale;27063
2020-02-02;06:00:00;Local;Mongala;Mongala;ZoneGlobale;578160
2020-02-02;06:00:00;Local;Hors_Zone;Sankuru;ZoneGlobale;1380
2020-02-02;06:00:00;Local;Sankuru;Sankuru;ZoneGlobale;38648
2020-02-02;06:00:00;Local;Hors_Zone;Haut-Katanga;ZoneGlobale;77713
2020-02-02;06:00:00;Local;Tanganyika;Haut-Katanga;ZoneGlobale;298
2020-02-02;06:00:00;Local;Haut-Katanga;Haut-Katanga;ZoneGlobale;8025878
2020-02-02;06:00:00;Local;Lualaba;Haut-Katanga;ZoneGlobale;22105
2020-02-02;06:00:00;Local;Kinshasa;Haut-Katanga;ZoneGlobale;2599
2020-02-02;06:00:00;Local;Lomami;Haut-Katanga;ZoneGlobale;298
2020-02-02;06:00:00;Local;Kasai-Oriental;Haut-Katanga;ZoneGlobale;1632
2020-02-02;06:00:00;Local;Hors_Zone;Lualaba;ZoneGlobale;34100
2020-02-02;06:00:00;Local;Haut-Katanga;Lualaba;ZoneGlobale;26969
2020-02-02;06:00:00;Local;Lualaba;Lualaba;ZoneGlobale;2039468
2020-02-02;06:00:00;Local;Lomami;Lualaba;ZoneGlobale;298
2020-02-02;06:00:00;Local;Hors_Zone;Kinshasa;ZoneGlobale;152507
2020-02-02;06:00:00;Local;Kinshasa;Kinshasa;ZoneGlobale;4955460
2020-02-02;06:00:00;Local;Sud-Kivu;Kinshasa;ZoneGlobale;254
2020-02-02;06:00:00;Local;Tshopo;Kinshasa;ZoneGlobale;1689
2020-02-02;06:00:00;Local;Kongo-Central;Kinshasa;ZoneGlobale;6662
2020-02-02;06:00:00;Local;Kasai-Oriental;Kinshasa;ZoneGlobale;345
2020-02-02;06:00:00;Local;Equateur;Kinshasa;ZoneGlobale;9021
2020-02-02;06:00:00;Local;Nord-Kivu;Kinshasa;ZoneGlobale;403
2020-02-02;06:00:00;Local;Hors_Zone;Nord-Ubangi;ZoneGlobale;27063
2020-02-02;06:00:00;Local;Nord-Ubangi;Nord-Ubangi;ZoneGlobale;261613
2020-02-02;06:00:00;Local;Hors_Zone;Tshuapa;ZoneGlobale;18042
2020-02-02;06:00:00;Local;Tshuapa;Tshuapa;ZoneGlobale;180422
2020-02-02;06:00:00;Local;Hors_Zone;Sud-Kivu;ZoneGlobale;98781
