Date;Hour;Day_type;Zone;TypeFlux;Home_Zone;Activity_Zone;Volume
2020-03-16;06:00:00;JO;Haut-Katanga;Entree;Haut-Katanga;Haut-Katanga;4571
2020-03-16;06:00:00;JO;Haut-Katanga;Entree;Haut-Katanga;Hors_Zone;537
2020-03-16;06:00:00;JO;Haut-Katanga;Entree;Haut-Katanga;Lualaba;4302
2020-03-16;06:00:00;JO;Haut-Katanga;Entree;Hors_Zone;Haut-Katanga;268
2020-03-16;06:00:00;JO;Haut-Katanga;Entree;Hors_Zone;Hors_Zone;537
2020-03-16;06:00:00;JO;Haut-Katanga;Entree;Lualaba;Haut-Katanga;806
2020-03-16;06:00:00;JO;Haut-Katanga;Entree;Lualaba;Lualaba;2688
2020-03-16;06:00:00;JO;Haut-Katanga;Sortie;Haut-Katanga;Haut-Katanga;4839
2020-03-16;06:00:00;JO;Haut-Katanga;Sortie;Haut-Katanga;Lualaba;806
2020-03-16;06:00:00;JO;Haut-Katanga;Sortie;Hors_Zone;Haut-Katanga;268
2020-03-16;06:00:00;JO;Haut-Katanga;Sortie;Hors_Zone;Hors_Zone;268
2020-03-16;06:00:00;JO;Haut-Katanga;Sortie;Hors_Zone;Lualaba;268
2020-03-16;06:00:00;JO;Haut-Katanga;Sortie;Lualaba;Haut-Katanga;1075
2020-03-16;06:00:00;JO;Haut-Katanga;Sortie;Lualaba;Lualaba;3495
2020-03-16;06:00:00;JO;Haut-Lomami;Entree;Haut-Lomami;Haut-Lomami;268
2020-03-16;06:00:00;JO;Haut-Lomami;Entree;Haut-Lomami;Lomami;268
2020-03-16;06:00:00;JO;Haut-Lomami;Entree;Lomami;Lomami;920
2020-03-16;06:00:00;JO;Haut-Lomami;Sortie;Haut-Lomami;Lomami;383
2020-03-16;06:00:00;JO;Haut-Lomami;Sortie;Hors_Zone;Hors_Zone;268
2020-03-16;06:00:00;JO;Haut-Lomami;Sortie;Kasai;Kasai;268
2020-03-16;06:00:00;JO;Haut-Lomami;Sortie;Lomami;Haut-Lomami;383
2020-03-16;06:00:00;JO;Ituri;Sortie;Ituri;Ituri;2385
2020-03-16;06:00:00;JO;Kasai;Sortie;Kwilu;Kwilu;5565
2020-03-16;06:00:00;JO;Kasai-Central;Entree;Hors_Zone;Hors_Zone;5565
2020-03-16;06:00:00;JO;Kasai-Central;Entree;Hors_Zone;Kasai-Central;5565
2020-03-16;06:00:00;JO;Kasai-Central;Entree;Kasai-Central;Kasai-Central;11130
2020-03-16;06:00:00;JO;Kasai-Central;Entree;Kasai-Central;Kasai-Oriental;383
2020-03-16;06:00:00;JO;Kasai-Central;Entree;Kasai-Oriental;Kasai-Oriental;6331
2020-03-16;06:00:00;JO;Kasai-Central;Sortie;Hors_Zone;Kasai-Oriental;285
2020-03-16;06:00:00;JO;Kasai-Central;Sortie;Kasai-Central;Hors_Zone;5565
2020-03-16;06:00:00;JO;Kasai-Central;Sortie;Kasai-Oriental;Hors_Zone;5565
2020-03-16;06:00:00;JO;Kasai-Central;Sortie;Kasai-Oriental;Kasai-Central;5948
2020-03-16;06:00:00;JO;Kasai-Central;Sortie;Kasai-Oriental;Kasai-Oriental;1149
2020-03-16;06:00:00;JO;Kasai-Central;Sortie;Lomami;Lomami;383
2020-03-16;06:00:00;JO;Kasai-Oriental;Entree;Hors_Zone;Hors_Zone;1915
2020-03-16;06:00:00;JO;Kasai-Oriental;Entree;Hors_Zone;Kasai-Oriental;285
2020-03-16;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Central;Kasai-Central;11130
2020-03-16;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Central;Kasai-Oriental;5565
2020-03-16;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Oriental;Hors_Zone;766
2020-03-16;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Oriental;Kasai-Central;383
2020-03-16;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Oriental;Kasai-Oriental;11695
2020-03-16;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Oriental;Lomami;383
2020-03-16;06:00:00;JO;Kasai-Oriental;Entree;Lomami;Hors_Zone;383
2020-03-16;06:00:00;JO;Kasai-Oriental;Entree;Lomami;Kasai-Oriental;4214
2020-03-16;06:00:00;JO;Kasai-Oriental;Entree;Lomami;Lomami;3831
2020-03-16;06:00:00;JO;Kasai-Oriental;Sortie;Hors_Zone;Hors_Zone;7481
2020-03-16;06:00:00;JO;Kasai-Oriental;Sortie;Hors_Zone;Kasai-Central;766
2020-03-16;06:00:00;JO;Kasai-Oriental;Sortie;Hors_Zone;Kasai-Oriental;383
2020-03-16;06:00:00;JO;Kasai-Oriental;Sortie;Hors_Zone;Lomami;766
2020-03-16;06:00:00;JO;Kasai-Oriental;Sortie;Kasai-Central;Kasai-Central;11130
2020-03-16;06:00:00;JO;Kasai-Oriental;Sortie;Kasai-Oriental;Hors_Zone;383
2020-03-16;06:00:00;JO;Kasai-Oriental;Sortie;Kasai-Oriental;Kasai-Central;5565
2020-03-16;06:00:00;JO;Kasai-Oriental;Sortie;Kasai-Oriental;Kasai-Oriental;10546
2020-03-16;06:00:00;JO;Kasai-Oriental;Sortie;Kasai-Oriental;Lomami;1915
2020-03-16;06:00:00;JO;Kasai-Oriental;Sortie;Lomami;Hors_Zone;1149
2020-03-16;06:00:00;JO;Kasai-Oriental;Sortie;Lomami;Kasai-Oriental;2298
2020-03-16;06:00:00;JO;Kasai-Oriental;Sortie;Lomami;Lomami;15910
2020-03-16;06:00:00;JO;Kinshasa;Entree;Hors_Zone;Hors_Zone;714
2020-03-16;06:00:00;JO;Kinshasa;Entree;Hors_Zone;Kinshasa;357
2020-03-16;06:00:00;JO;Kinshasa;Entree;Kinshasa;Kinshasa;1429
2020-03-16;06:00:00;JO;Kinshasa;Entree;Kinshasa;Kongo-Central;357
2020-03-16;06:00:00;JO;Kinshasa;Entree;Kongo-Central;Kongo-Central;1573
2020-03-16;06:00:00;JO;Kinshasa;Sortie;Kinshasa;Hors_Zone;357
2020-03-16;06:00:00;JO;Kinshasa;Sortie;Kinshasa;Kinshasa;1072
2020-03-16;06:00:00;JO;Kinshasa;Sortie;Kongo-Central;Hors_Zone;393
2020-03-16;06:00:00;JO;Kinshasa;Sortie;Kongo-Central;Kinshasa;393
2020-03-16;06:00:00;JO;Kongo-Central;Entree;Kinshasa;Hors_Zone;357
2020-03-16;06:00:00;JO;Kongo-Central;Entree;Kinshasa;Kinshasa;357
2020-03-16;06:00:00;JO;Kongo-Central;Entree;Kongo-Central;Hors_Zone;393
2020-03-16;06:00:00;JO;Kongo-Central;Entree;Kongo-Central;Kinshasa;393
2020-03-16;06:00:00;JO;Kongo-Central;Sortie;Hors_Zone;Hors_Zone;714
2020-03-16;06:00:00;JO;Kongo-Central;Sortie;Hors_Zone;Kinshasa;357
2020-03-16;06:00:00;JO;Kongo-Central;Sortie;Kinshasa;Kinshasa;1787
2020-03-16;06:00:00;JO;Kongo-Central;Sortie;Kinshasa;Kongo-Central;357
2020-03-16;06:00:00;JO;Kongo-Central;Sortie;Kongo-Central;Kongo-Central;1537
2020-03-16;06:00:00;JO;Lomami;Entree;Haut-Lomami;Haut-Lomami;268
2020-03-16;06:00:00;JO;Lomami;Entree;Haut-Lomami;Lomami;383
2020-03-16;06:00:00;JO;Lomami;Entree;Hors_Zone;Hors_Zone;2682
2020-03-16;06:00:00;JO;Lomami;Entree;Hors_Zone;Kasai-Oriental;1149
2020-03-16;06:00:00;JO;Lomami;Entree;Hors_Zone;Lomami;1149
2020-03-16;06:00:00;JO;Lomami;Entree;Kasai-Oriental;Hors_Zone;766
2020-03-16;06:00:00;JO;Lomami;Entree;Kasai-Oriental;Kasai-Oriental;7663
2020-03-16;06:00:00;JO;Lomami;Entree;Kasai-Oriental;Lomami;1532
2020-03-16;06:00:00;JO;Lomami;Entree;Lomami;Haut-Lomami;383
2020-03-16;06:00:00;JO;Lomami;Entree;Lomami;Hors_Zone;766
2020-03-16;06:00:00;JO;Lomami;Entree;Lomami;Kasai-Oriental;1915
2020-03-16;06:00:00;JO;Lomami;Entree;Lomami;Lomami;12845
2020-03-16;06:00:00;JO;Lomami;Sortie;Haut-Lomami;Haut-Lomami;268
2020-03-16;06:00:00;JO;Lomami;Sortie;Hors_Zone;Hors_Zone;1915
2020-03-16;06:00:00;JO;Lomami;Sortie;Hors_Zone;Kasai-Oriental;383
2020-03-16;06:00:00;JO;Lomami;Sortie;Kasai-Oriental;Hors_Zone;766
2020-03-16;06:00:00;JO;Lomami;Sortie;Kasai-Oriental;Kasai-Oriental;8429
2020-03-16;06:00:00;JO;Lomami;Sortie;Kasai-Oriental;Lomami;1915
2020-03-16;06:00:00;JO;Lomami;Sortie;Lomami;Hors_Zone;383
2020-03-16;06:00:00;JO;Lomami;Sortie;Lomami;Kasai-Oriental;2298
2020-03-16;06:00:00;JO;Lomami;Sortie;Lomami;Lomami;3219
2020-03-16;06:00:00;JO;Lualaba;Entree;Haut-Katanga;Haut-Katanga;8335
2020-03-16;06:00:00;JO;Lualaba;Entree;Haut-Katanga;Lualaba;268
2020-03-16;06:00:00;JO;Lualaba;Entree;Hors_Zone;Haut-Katanga;537
2020-03-16;06:00:00;JO;Lualaba;Entree;Hors_Zone;Hors_Zone;268
2020-03-16;06:00:00;JO;Lualaba;Entree;Lualaba;Haut-Katanga;1075
2020-03-16;06:00:00;JO;Lualaba;Entree;Lualaba;Lualaba;2957
2020-03-16;06:00:00;JO;Lualaba;Sortie;Haut-Katanga;Haut-Katanga;11024
2020-03-16;06:00:00;JO;Lualaba;Sortie;Haut-Katanga;Hors_Zone;537
2020-03-16;06:00:00;JO;Lualaba;Sortie;Haut-Katanga;Lualaba;5108
2020-03-16;06:00:00;JO;Lualaba;Sortie;Hors_Zone;Haut-Katanga;1075
2020-03-16;06:00:00;JO;Lualaba;Sortie;Hors_Zone;Hors_Zone;537
2020-03-16;06:00:00;JO;Lualaba;Sortie;Lualaba;Haut-Katanga;1344
2020-03-16;06:00:00;JO;Lualaba;Sortie;Lualaba;Lualaba;1344
2020-03-16;06:00:00;JO;Nord-Kivu;Entree;Hors_Zone;Hors_Zone;3693
2020-03-16;06:00:00;JO;Nord-Kivu;Entree;Hors_Zone;Sud-Kivu;856
2020-03-16;06:00:00;JO;Nord-Kivu;Entree;Ituri;Ituri;3578
2020-03-16;06:00:00;JO;Nord-Kivu;Entree;Nord-Kivu;Hors_Zone;1447
2020-03-16;06:00:00;JO;Nord-Kivu;Entree;Nord-Kivu;Nord-Kivu;7807
2020-03-16;06:00:00;JO;Nord-Kivu;Entree;Nord-Kivu;Sud-Kivu;3553
2020-03-16;06:00:00;JO;Nord-Kivu;Entree;Sud-Kivu;Nord-Kivu;1732
2020-03-16;06:00:00;JO;Nord-Kivu;Entree;Sud-Kivu;Sud-Kivu;8229
2020-03-16;06:00:00;JO;Nord-Kivu;Sortie;Hors_Zone;Hors_Zone;1338
2020-03-16;06:00:00;JO;Nord-Kivu;Sortie;Hors_Zone;Nord-Kivu;964
