Date;Hour;Type;Activity_Zone;Home_Zone;Zone;Volume
2020-02-21;06:00:00;Local;Hors_Zone;Hors_Zone;ZoneGlobale;6349147
2020-02-21;06:00:00;Local;Tanganyika;Hors_Zone;ZoneGlobale;3862
2020-02-21;06:00:00;Local;Mongala;Hors_Zone;ZoneGlobale;120735
2020-02-21;06:00:00;Local;Sankuru;Hors_Zone;ZoneGlobale;1307
2020-02-21;06:00:00;Local;Haut-Katanga;Hors_Zone;ZoneGlobale;370149
2020-02-21;06:00:00;Local;Lualaba;Hors_Zone;ZoneGlobale;98036
2020-02-21;06:00:00;Local;Kinshasa;Hors_Zone;ZoneGlobale;182172
2020-02-21;06:00:00;Local;Nord-Ubangi;Hors_Zone;ZoneGlobale;23924
2020-02-21;06:00:00;Local;Tshuapa;Hors_Zone;ZoneGlobale;9087
2020-02-21;06:00:00;Local;Sud-Kivu;Hors_Zone;ZoneGlobale;165056
2020-02-21;06:00:00;Local;Tshopo;Hors_Zone;ZoneGlobale;213550
2020-02-21;06:00:00;Local;Kongo-Central;Hors_Zone;ZoneGlobale;42044
2020-02-21;06:00:00;Local;Ituri;Hors_Zone;ZoneGlobale;37486
2020-02-21;06:00:00;Local;Kasai;Hors_Zone;ZoneGlobale;44510
2020-02-21;06:00:00;Local;Bas-Uele;Hors_Zone;ZoneGlobale;2226
2020-02-21;06:00:00;Local;Lomami;Hors_Zone;ZoneGlobale;62851
2020-02-21;06:00:00;Local;Kasai-Oriental;Hors_Zone;ZoneGlobale;126483
2020-02-21;06:00:00;Local;Kwilu;Hors_Zone;ZoneGlobale;208347
2020-02-21;06:00:00;Local;Mai-Ndombe;Hors_Zone;ZoneGlobale;82968
2020-02-21;06:00:00;Local;Maniema;Hors_Zone;ZoneGlobale;109400
2020-02-21;06:00:00;Local;Kwango;Hors_Zone;ZoneGlobale;82968
2020-02-21;06:00:00;Local;Haut-Uele;Hors_Zone;ZoneGlobale;1113
2020-02-21;06:00:00;Local;Sud-Ubangi;Hors_Zone;ZoneGlobale;31899
2020-02-21;06:00:00;Local;Kasai-Central;Hors_Zone;ZoneGlobale;298405
2020-02-21;06:00:00;Local;Equateur;Hors_Zone;ZoneGlobale;191395
2020-02-21;06:00:00;Local;Haut-Lomami;Hors_Zone;ZoneGlobale;18351
