Date;Hour;Day_type;Zone;TypeFlux;Home_Zone;Activity_Zone;Volume
2020-04-11;06:00:00;WE;Haut-Katanga;Entree;Haut-Katanga;Haut-Katanga;3486
2020-04-11;06:00:00;WE;Haut-Katanga;Entree;Haut-Katanga;Lualaba;2324
2020-04-11;06:00:00;WE;Haut-Katanga;Entree;Hors_Zone;Hors_Zone;387
2020-04-11;06:00:00;WE;Haut-Katanga;Entree;Lualaba;Lualaba;1162
2020-04-11;06:00:00;WE;Haut-Katanga;Sortie;Haut-Katanga;Haut-Katanga;3486
2020-04-11;06:00:00;WE;Haut-Katanga;Sortie;Haut-Katanga;Lualaba;387
2020-04-11;06:00:00;WE;Haut-Katanga;Sortie;Lualaba;Haut-Katanga;387
2020-04-11;06:00:00;WE;Haut-Katanga;Sortie;Lualaba;Hors_Zone;387
2020-04-11;06:00:00;WE;Haut-Katanga;Sortie;Lualaba;Lualaba;774
2020-04-11;06:00:00;WE;Haut-Lomami;Sortie;Haut-Lomami;Lomami;650
2020-04-11;06:00:00;WE;Haut-Lomami;Sortie;Lomami;Hors_Zone;650
2020-04-11;06:00:00;WE;Haut-Lomami;Sortie;Lomami;Lomami;1950
2020-04-11;06:00:00;WE;Kasai-Central;Entree;Kasai-Oriental;Kasai-Oriental;7228
2020-04-11;06:00:00;WE;Kasai-Central;Sortie;Kasai-Central;Kasai-Central;650
2020-04-11;06:00:00;WE;Kasai-Central;Sortie;Kasai-Oriental;Kasai-Central;7228
2020-04-11;06:00:00;WE;Kasai-Central;Sortie;Kasai-Oriental;Kasai-Oriental;7878
2020-04-11;06:00:00;WE;Kasai-Oriental;Entree;Hors_Zone;Hors_Zone;1300
2020-04-11;06:00:00;WE;Kasai-Oriental;Entree;Hors_Zone;Lomami;650
2020-04-11;06:00:00;WE;Kasai-Oriental;Entree;Kasai-Central;Kasai-Central;650
2020-04-11;06:00:00;WE;Kasai-Oriental;Entree;Kasai-Oriental;Kasai-Oriental;12429
2020-04-11;06:00:00;WE;Kasai-Oriental;Entree;Kasai-Oriental;Lomami;650
2020-04-11;06:00:00;WE;Kasai-Oriental;Entree;Lomami;Kasai-Oriental;3250
2020-04-11;06:00:00;WE;Kasai-Oriental;Entree;Lomami;Lomami;1950
2020-04-11;06:00:00;WE;Kasai-Oriental;Sortie;Hors_Zone;Hors_Zone;1950
2020-04-11;06:00:00;WE;Kasai-Oriental;Sortie;Hors_Zone;Lomami;650
2020-04-11;06:00:00;WE;Kasai-Oriental;Sortie;Kasai-Oriental;Kasai-Oriental;4550
2020-04-11;06:00:00;WE;Kasai-Oriental;Sortie;Kasai-Oriental;Lomami;1950
