Date;Hour;Day_type;Zone;TypeFlux;Home_Zone;Activity_Zone;Volume
2020-03-18;06:00:00;JO;Haut-Katanga;Entree;Haut-Katanga;Haut-Katanga;6142
2020-03-18;06:00:00;JO;Haut-Katanga;Entree;Haut-Katanga;Lualaba;7166
2020-03-18;06:00:00;JO;Haut-Katanga;Entree;Hors_Zone;Haut-Katanga;1023
2020-03-18;06:00:00;JO;Haut-Katanga;Entree;Hors_Zone;Hors_Zone;511
2020-03-18;06:00:00;JO;Haut-Katanga;Entree;Lualaba;Haut-Katanga;1791
2020-03-18;06:00:00;JO;Haut-Katanga;Entree;Lualaba;Lualaba;3071
2020-03-18;06:00:00;JO;Haut-Katanga;Sortie;Haut-Katanga;Haut-Katanga;2047
2020-03-18;06:00:00;JO;Haut-Katanga;Sortie;Haut-Katanga;Hors_Zone;80
2020-03-18;06:00:00;JO;Haut-Katanga;Sortie;Haut-Katanga;Lualaba;255
2020-03-18;06:00:00;JO;Haut-Katanga;Sortie;Hors_Zone;Hors_Zone;511
2020-03-18;06:00:00;JO;Haut-Katanga;Sortie;Lualaba;Haut-Katanga;511
2020-03-18;06:00:00;JO;Haut-Katanga;Sortie;Lualaba;Lualaba;3327
2020-03-18;06:00:00;JO;Haut-Lomami;Entree;Haut-Lomami;Haut-Lomami;255
2020-03-18;06:00:00;JO;Haut-Lomami;Entree;Lomami;Lomami;362
2020-03-18;06:00:00;JO;Haut-Lomami;Sortie;Hors_Zone;Hors_Zone;255
2020-03-18;06:00:00;JO;Haut-Lomami;Sortie;Kasai-Oriental;Kasai-Oriental;362
2020-03-18;06:00:00;JO;Haut-Lomami;Sortie;Lomami;Lomami;255
2020-03-18;06:00:00;JO;Kasai;Sortie;Haut-Lomami;Haut-Lomami;255
2020-03-18;06:00:00;JO;Kasai-Central;Entree;Kasai-Central;Hors_Zone;4904
2020-03-18;06:00:00;JO;Kasai-Central;Entree;Kasai-Central;Kasai-Central;362
2020-03-18;06:00:00;JO;Kasai-Central;Entree;Kasai-Oriental;Kasai-Oriental;1086
2020-03-18;06:00:00;JO;Kasai-Central;Entree;Lomami;Lomami;362
2020-03-18;06:00:00;JO;Kasai-Central;Sortie;Kasai-Central;Hors_Zone;4904
2020-03-18;06:00:00;JO;Kasai-Central;Sortie;Kasai-Central;Kasai-Central;362
2020-03-18;06:00:00;JO;Kasai-Central;Sortie;Kasai-Oriental;Kasai-Oriental;1449
2020-03-18;06:00:00;JO;Kasai-Oriental;Entree;Hors_Zone;Hors_Zone;1811
2020-03-18;06:00:00;JO;Kasai-Oriental;Entree;Hors_Zone;Lomami;724
