Date;Hour;Type;Activity_Zone;Home_Zone;Zone;Volume
2020-03-23;06:00:00;Local;Hors_Zone;Hors_Zone;ZoneGlobale;6177380
2020-03-23;06:00:00;Local;Tanganyika;Hors_Zone;ZoneGlobale;3888
2020-03-23;06:00:00;Local;Mongala;Hors_Zone;ZoneGlobale;86187
2020-03-23;06:00:00;Local;Sankuru;Hors_Zone;ZoneGlobale;14671
2020-03-23;06:00:00;Local;Haut-Katanga;Hors_Zone;ZoneGlobale;515195
2020-03-23;06:00:00;Local;Lualaba;Hors_Zone;ZoneGlobale;94116
2020-03-23;06:00:00;Local;Kinshasa;Hors_Zone;ZoneGlobale;157547
2020-03-23;06:00:00;Local;Nord-Ubangi;Hors_Zone;ZoneGlobale;43093
2020-03-23;06:00:00;Local;Tshuapa;Hors_Zone;ZoneGlobale;34475
2020-03-23;06:00:00;Local;Sud-Kivu;Hors_Zone;ZoneGlobale;193751
2020-03-23;06:00:00;Local;Tshopo;Hors_Zone;ZoneGlobale;225109
2020-03-23;06:00:00;Local;Kongo-Central;Hors_Zone;ZoneGlobale;49686
2020-03-23;06:00:00;Local;Ituri;Hors_Zone;ZoneGlobale;37888
2020-03-23;06:00:00;Local;Kasai;Hors_Zone;ZoneGlobale;31271
2020-03-23;06:00:00;Local;Bas-Uele;Hors_Zone;ZoneGlobale;6070
2020-03-23;06:00:00;Local;Lomami;Hors_Zone;ZoneGlobale;83601
2020-03-23;06:00:00;Local;Kasai-Oriental;Hors_Zone;ZoneGlobale;133903
2020-03-23;06:00:00;Local;Kwilu;Hors_Zone;ZoneGlobale;140821
2020-03-23;06:00:00;Local;Mai-Ndombe;Hors_Zone;ZoneGlobale;157659
2020-03-23;06:00:00;Local;Maniema;Hors_Zone;ZoneGlobale;147114
2020-03-23;06:00:00;Local;Kwango;Hors_Zone;ZoneGlobale;157337
2020-03-23;06:00:00;Local;Haut-Uele;Hors_Zone;ZoneGlobale;2023
2020-03-23;06:00:00;Local;Sud-Ubangi;Hors_Zone;ZoneGlobale;103425
2020-03-23;06:00:00;Local;Kasai-Central;Hors_Zone;ZoneGlobale;237104
2020-03-23;06:00:00;Local;Equateur;Hors_Zone;ZoneGlobale;146518
2020-03-23;06:00:00;Local;Haut-Lomami;Hors_Zone;ZoneGlobale;14321
2020-03-23;06:00:00;Local;Nord-Kivu;Hors_Zone;ZoneGlobale;361395
2020-03-23;06:00:00;Local;Hors_Zone;Tanganyika;ZoneGlobale;769
2020-03-23;06:00:00;Local;Tanganyika;Tanganyika;ZoneGlobale;26804
2020-03-23;06:00:00;Local;Sud-Kivu;Tanganyika;ZoneGlobale;192
2020-03-23;06:00:00;Local;Hors_Zone;Mongala;ZoneGlobale;34475
2020-03-23;06:00:00;Local;Mongala;Mongala;ZoneGlobale;853579
2020-03-23;06:00:00;Local;Tshopo;Mongala;ZoneGlobale;8618
2020-03-23;06:00:00;Local;Hors_Zone;Sankuru;ZoneGlobale;336
2020-03-23;06:00:00;Local;Sankuru;Sankuru;ZoneGlobale;25388
2020-03-23;06:00:00;Local;Hors_Zone;Haut-Katanga;ZoneGlobale;50937
2020-03-23;06:00:00;Local;Tanganyika;Haut-Katanga;ZoneGlobale;384
2020-03-23;06:00:00;Local;Haut-Katanga;Haut-Katanga;ZoneGlobale;8883575
2020-03-23;06:00:00;Local;Lualaba;Haut-Katanga;ZoneGlobale;28666
2020-03-23;06:00:00;Local;Kinshasa;Haut-Katanga;ZoneGlobale;1506
2020-03-23;06:00:00;Local;Lomami;Haut-Katanga;ZoneGlobale;336
2020-03-23;06:00:00;Local;Kasai-Oriental;Haut-Katanga;ZoneGlobale;866
2020-03-23;06:00:00;Local;Haut-Lomami;Haut-Katanga;ZoneGlobale;192
2020-03-23;06:00:00;Local;Nord-Kivu;Haut-Katanga;ZoneGlobale;192
2020-03-23;06:00:00;Local;Hors_Zone;Lualaba;ZoneGlobale;15391
2020-03-23;06:00:00;Local;Haut-Katanga;Lualaba;ZoneGlobale;27127
2020-03-23;06:00:00;Local;Lualaba;Lualaba;ZoneGlobale;1548399
2020-03-23;06:00:00;Local;Haut-Lomami;Lualaba;ZoneGlobale;192
2020-03-23;06:00:00;Local;Hors_Zone;Kinshasa;ZoneGlobale;102585
2020-03-23;06:00:00;Local;Haut-Katanga;Kinshasa;ZoneGlobale;769
2020-03-23;06:00:00;Local;Lualaba;Kinshasa;ZoneGlobale;384
2020-03-23;06:00:00;Local;Kinshasa;Kinshasa;ZoneGlobale;4362739
2020-03-23;06:00:00;Local;Sud-Kivu;Kinshasa;ZoneGlobale;321
2020-03-23;06:00:00;Local;Tshopo;Kinshasa;ZoneGlobale;1011
2020-03-23;06:00:00;Local;Kongo-Central;Kinshasa;ZoneGlobale;5423
2020-03-23;06:00:00;Local;Kasai-Oriental;Kinshasa;ZoneGlobale;658
2020-03-23;06:00:00;Local;Hors_Zone;Nord-Ubangi;ZoneGlobale;25856
2020-03-23;06:00:00;Local;Nord-Ubangi;Nord-Ubangi;ZoneGlobale;370606
2020-03-23;06:00:00;Local;Hors_Zone;Tshuapa;ZoneGlobale;34475
2020-03-23;06:00:00;Local;Tshuapa;Tshuapa;ZoneGlobale;189612
2020-03-23;06:00:00;Local;Hors_Zone;Sud-Kivu;ZoneGlobale;62884
2020-03-23;06:00:00;Local;Tanganyika;Sud-Kivu;ZoneGlobale;384
2020-03-23;06:00:00;Local;Kinshasa;Sud-Kivu;ZoneGlobale;232
2020-03-23;06:00:00;Local;Sud-Kivu;Sud-Kivu;ZoneGlobale;5459982
2020-03-23;06:00:00;Local;Nord-Kivu;Sud-Kivu;ZoneGlobale;26543
2020-03-23;06:00:00;Local;Hors_Zone;Tshopo;ZoneGlobale;87183
2020-03-23;06:00:00;Local;Tshopo;Tshopo;ZoneGlobale;8015255
2020-03-23;06:00:00;Local;Bas-Uele;Tshopo;ZoneGlobale;1011
2020-03-23;06:00:00;Local;Nord-Kivu;Tshopo;ZoneGlobale;1466
2020-03-23;06:00:00;Local;Hors_Zone;Kongo-Central;ZoneGlobale;52655
2020-03-23;06:00:00;Local;Haut-Katanga;Kongo-Central;ZoneGlobale;192
2020-03-23;06:00:00;Local;Kinshasa;Kongo-Central;ZoneGlobale;9790
2020-03-23;06:00:00;Local;Kongo-Central;Kongo-Central;ZoneGlobale;1611210
2020-03-23;06:00:00;Local;Hors_Zone;Ituri;ZoneGlobale;6070
2020-03-23;06:00:00;Local;Ituri;Ituri;ZoneGlobale;566730
2020-03-23;06:00:00;Local;Nord-Kivu;Ituri;ZoneGlobale;454
2020-03-23;06:00:00;Local;Hors_Zone;Kasai;ZoneGlobale;17869
2020-03-23;06:00:00;Local;Sud-Kivu;Kasai;ZoneGlobale;4467
2020-03-23;06:00:00;Local;Kasai;Kasai;ZoneGlobale;349286
2020-03-23;06:00:00;Local;Hors_Zone;Bas-Uele;ZoneGlobale;1011
2020-03-23;06:00:00;Local;Tshopo;Bas-Uele;ZoneGlobale;1011
2020-03-23;06:00:00;Local;Bas-Uele;Bas-Uele;ZoneGlobale;61613
2020-03-23;06:00:00;Local;Hors_Zone;Lomami;ZoneGlobale;41203
2020-03-23;06:00:00;Local;Lomami;Lomami;ZoneGlobale;2475486
2020-03-23;06:00:00;Local;Kasai-Oriental;Lomami;ZoneGlobale;20553
2020-03-23;06:00:00;Local;Kasai-Central;Lomami;ZoneGlobale;4467
2020-03-23;06:00:00;Local;Haut-Lomami;Lomami;ZoneGlobale;1539
2020-03-23;06:00:00;Local;Hors_Zone;Kasai-Oriental;ZoneGlobale;49618
2020-03-23;06:00:00;Local;Haut-Katanga;Kasai-Oriental;ZoneGlobale;336
2020-03-23;06:00:00;Local;Kinshasa;Kasai-Oriental;ZoneGlobale;658
2020-03-23;06:00:00;Local;Lomami;Kasai-Oriental;ZoneGlobale;13477
2020-03-23;06:00:00;Local;Kasai-Oriental;Kasai-Oriental;ZoneGlobale;6884782
2020-03-23;06:00:00;Local;Kasai-Central;Kasai-Oriental;ZoneGlobale;19217
2020-03-23;06:00:00;Local;Hors_Zone;Kwilu;ZoneGlobale;139855
2020-03-23;06:00:00;Local;Kinshasa;Kwilu;ZoneGlobale;34963
2020-03-23;06:00:00;Local;Kongo-Central;Kwilu;ZoneGlobale;17481
2020-03-23;06:00:00;Local;Kwilu;Kwilu;ZoneGlobale;1750209
2020-03-23;06:00:00;Local;Hors_Zone;Mai-Ndombe;ZoneGlobale;104891
2020-03-23;06:00:00;Local;Mai-Ndombe;Mai-Ndombe;ZoneGlobale;909381
2020-03-23;06:00:00;Local;Hors_Zone;Maniema;ZoneGlobale;20815
2020-03-23;06:00:00;Local;Maniema;Maniema;ZoneGlobale;994800
2020-03-23;06:00:00;Local;Hors_Zone;Kwango;ZoneGlobale;69927
2020-03-23;06:00:00;Local;Kwango;Kwango;ZoneGlobale;472333
2020-03-23;06:00:00;Local;Hors_Zone;Haut-Uele;ZoneGlobale;1011
2020-03-23;06:00:00;Local;Haut-Uele;Haut-Uele;ZoneGlobale;17199
2020-03-23;06:00:00;Local;Hors_Zone;Sud-Ubangi;ZoneGlobale;43093
2020-03-23;06:00:00;Local;Sud-Ubangi;Sud-Ubangi;ZoneGlobale;913910
2020-03-23;06:00:00;Local;Hors_Zone;Kasai-Central;ZoneGlobale;75944
2020-03-23;06:00:00;Local;Haut-Katanga;Kasai-Central;ZoneGlobale;529
2020-03-23;06:00:00;Local;Kinshasa;Kasai-Central;ZoneGlobale;321
2020-03-23;06:00:00;Local;Lomami;Kasai-Central;ZoneGlobale;336
2020-03-23;06:00:00;Local;Kasai-Oriental;Kasai-Central;ZoneGlobale;8934
2020-03-23;06:00:00;Local;Kasai-Central;Kasai-Central;ZoneGlobale;4520554
2020-03-23;06:00:00;Local;Hors_Zone;Equateur;ZoneGlobale;241325
2020-03-23;06:00:00;Local;Equateur;Equateur;ZoneGlobale;3370258
2020-03-23;06:00:00;Local;Hors_Zone;Haut-Lomami;ZoneGlobale;7738
2020-03-23;06:00:00;Local;Haut-Katanga;Haut-Lomami;ZoneGlobale;4467
2020-03-23;06:00:00;Local;Lualaba;Haut-Lomami;ZoneGlobale;192
2020-03-23;06:00:00;Local;Lomami;Haut-Lomami;ZoneGlobale;192
2020-03-23;06:00:00;Local;Haut-Lomami;Haut-Lomami;ZoneGlobale;90774
2020-03-23;06:00:00;Local;Hors_Zone;Nord-Kivu;ZoneGlobale;73669
