Date;Hour;Day_type;Zone;TypeFlux;Home_Zone;Activity_Zone;Volume
2020-04-21;06:00:00;JO;Haut-Katanga;Entree;Haut-Katanga;Haut-Katanga;3585
2020-04-21;06:00:00;JO;Haut-Katanga;Entree;Haut-Katanga;Lualaba;1593
2020-04-21;06:00:00;JO;Haut-Katanga;Entree;Lualaba;Haut-Katanga;398
2020-04-21;06:00:00;JO;Haut-Katanga;Entree;Lualaba;Lualaba;398
2020-04-21;06:00:00;JO;Haut-Katanga;Sortie;Haut-Katanga;Haut-Katanga;1991
2020-04-21;06:00:00;JO;Haut-Katanga;Sortie;Lualaba;Haut-Katanga;1991
2020-04-21;06:00:00;JO;Haut-Katanga;Sortie;Lualaba;Lualaba;3186
2020-04-21;06:00:00;JO;Haut-Lomami;Entree;Kasai;Kasai;8730
2020-04-21;06:00:00;JO;Haut-Lomami;Entree;Lomami;Lomami;3785
2020-04-21;06:00:00;JO;Haut-Lomami;Sortie;Lomami;Lomami;2669
2020-04-21;06:00:00;JO;Ituri;Sortie;Ituri;Ituri;2590
2020-04-21;06:00:00;JO;Kasai;Sortie;Haut-Lomami;Haut-Lomami;398
2020-04-21;06:00:00;JO;Kasai;Sortie;Kasai;Kasai;8730
2020-04-21;06:00:00;JO;Kasai-Central;Entree;Hors_Zone;Hors_Zone;8730
2020-04-21;06:00:00;JO;Kasai-Central;Entree;Kasai-Oriental;Kasai-Oriental;757
2020-04-21;06:00:00;JO;Kasai-Central;Sortie;Kasai-Central;Kasai-Central;8730
2020-04-21;06:00:00;JO;Kasai-Oriental;Entree;Hors_Zone;Hors_Zone;757
2020-04-21;06:00:00;JO;Kasai-Oriental;Entree;Hors_Zone;Kasai-Oriental;757
2020-04-21;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Central;Kasai-Central;8730
2020-04-21;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Oriental;Kasai-Oriental;6057
2020-04-21;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Oriental;Lomami;2271
2020-04-21;06:00:00;JO;Kasai-Oriental;Entree;Lomami;Kasai-Oriental;757
2020-04-21;06:00:00;JO;Kasai-Oriental;Entree;Lomami;Lomami;3785
2020-04-21;06:00:00;JO;Kasai-Oriental;Sortie;Hors_Zone;Lomami;757
2020-04-21;06:00:00;JO;Kasai-Oriental;Sortie;Kasai-Oriental;Kasai-Oriental;9843
2020-04-21;06:00:00;JO;Kasai-Oriental;Sortie;Kasai-Oriental;Lomami;757
2020-04-21;06:00:00;JO;Kasai-Oriental;Sortie;Lomami;Hors_Zone;757
2020-04-21;06:00:00;JO;Kasai-Oriental;Sortie;Lomami;Kasai-Oriental;1514
2020-04-21;06:00:00;JO;Kasai-Oriental;Sortie;Lomami;Lomami;4543
2020-04-21;06:00:00;JO;Kinshasa;Sortie;Kinshasa;Kongo-Central;596
2020-04-21;06:00:00;JO;Kinshasa;Sortie;Kongo-Central;Kinshasa;596
2020-04-21;06:00:00;JO;Kinshasa;Sortie;Kongo-Central;Kongo-Central;1283
2020-04-21;06:00:00;JO;Kongo-Central;Entree;Hors_Zone;Hors_Zone;641
2020-04-21;06:00:00;JO;Kongo-Central;Entree;Kinshasa;Kinshasa;596
2020-04-21;06:00:00;JO;Kongo-Central;Entree;Kinshasa;Kongo-Central;596
2020-04-21;06:00:00;JO;Kongo-Central;Entree;Kongo-Central;Kinshasa;596
2020-04-21;06:00:00;JO;Kongo-Central;Entree;Kongo-Central;Kongo-Central;641
2020-04-21;06:00:00;JO;Lomami;Entree;Haut-Lomami;Haut-Lomami;398
2020-04-21;06:00:00;JO;Lomami;Entree;Hors_Zone;Lomami;757
2020-04-21;06:00:00;JO;Lomami;Entree;Kasai-Oriental;Kasai-Oriental;9843
2020-04-21;06:00:00;JO;Lomami;Entree;Lomami;Hors_Zone;757
2020-04-21;06:00:00;JO;Lomami;Entree;Lomami;Kasai-Oriental;757
