Date;Origin;Destination;Immobility;Home_Category;Activity_Category;Recurrence;Volume
2020-02-18;Bas-Uele;Haut-Uele;1h;Outside_Resident;Outside_Worker;Primo;526
2020-02-18;Bas-Uele;Haut-Uele;1h;Outside_Resident;Origin_Zone_Worker;Primo;200
2020-02-18;Bas-Uele;Haut-Uele;1h;Outside_Resident;Destination_Zone_Worker;Primo;120
2020-02-18;Bas-Uele;Haut-Uele;1h;Outside_Resident;Destination_Zone_Worker;Occasional;40
2020-02-18;Bas-Uele;Haut-Uele;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;240
2020-02-18;Bas-Uele;Haut-Uele;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;80
2020-02-18;Bas-Uele;Haut-Uele;3h;Outside_Resident;Outside_Worker;Primo;526
2020-02-18;Bas-Uele;Haut-Uele;3h;Outside_Resident;Origin_Zone_Worker;Primo;200
2020-02-18;Bas-Uele;Haut-Uele;3h;Outside_Resident;Destination_Zone_Worker;Primo;120
2020-02-18;Bas-Uele;Haut-Uele;3h;Outside_Resident;Destination_Zone_Worker;Occasional;40
2020-02-18;Bas-Uele;Haut-Uele;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;240
2020-02-18;Bas-Uele;Haut-Uele;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;80
2020-02-18;Bas-Uele;Ituri;1h;Outside_Resident;Outside_Worker;Primo;160
2020-02-18;Bas-Uele;Ituri;3h;Outside_Resident;Outside_Worker;Primo;160
2020-02-18;Bas-Uele;Mongala;1h;Outside_Resident;Outside_Worker;Primo;2108
2020-02-18;Bas-Uele;Mongala;1h;Outside_Resident;Origin_Zone_Worker;Primo;127
2020-02-18;Bas-Uele;Mongala;1h;Outside_Resident;Destination_Zone_Worker;Primo;391
2020-02-18;Bas-Uele;Mongala;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;40
2020-02-18;Bas-Uele;Mongala;1h;Destination_Zone_Resident;Outside_Worker;Primo;87
2020-02-18;Bas-Uele;Mongala;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;255
2020-02-18;Bas-Uele;Mongala;1h;Study_Zone_Resident;Study_Zone_Worker;Primo;87
