Date;Hour;Day_type;Zone;TypeFlux;Home_Zone;Activity_Zone;Volume
2020-04-17;06:00:00;JO;Haut-Katanga;Entree;Haut-Katanga;Haut-Katanga;3896
2020-04-17;06:00:00;JO;Haut-Katanga;Entree;Haut-Katanga;Lualaba;1948
2020-04-17;06:00:00;JO;Haut-Katanga;Entree;Lualaba;Haut-Katanga;779
2020-04-17;06:00:00;JO;Haut-Katanga;Entree;Lualaba;Lualaba;1948
2020-04-17;06:00:00;JO;Haut-Katanga;Sortie;Haut-Katanga;Haut-Katanga;4676
2020-04-17;06:00:00;JO;Haut-Katanga;Sortie;Haut-Katanga;Lualaba;1558
2020-04-17;06:00:00;JO;Haut-Katanga;Sortie;Lualaba;Haut-Katanga;779
2020-04-17;06:00:00;JO;Haut-Katanga;Sortie;Lualaba;Lualaba;2727
2020-04-17;06:00:00;JO;Haut-Lomami;Entree;Hors_Zone;Lomami;690
2020-04-17;06:00:00;JO;Haut-Lomami;Entree;Lomami;Lomami;3451
2020-04-17;06:00:00;JO;Haut-Lomami;Sortie;Hors_Zone;Hors_Zone;6897
2020-04-17;06:00:00;JO;Haut-Lomami;Sortie;Kasai;Kasai;6897
2020-04-17;06:00:00;JO;Haut-Lomami;Sortie;Lomami;Lomami;2070
2020-04-17;06:00:00;JO;Kasai;Entree;Haut-Lomami;Haut-Lomami;389
2020-04-17;06:00:00;JO;Kasai-Central;Entree;Kasai-Oriental;Kasai-Oriental;690
2020-04-17;06:00:00;JO;Kasai-Central;Sortie;Kasai-Central;Kasai-Central;6897
2020-04-17;06:00:00;JO;Kasai-Central;Sortie;Kasai-Oriental;Kasai-Oriental;6897
2020-04-17;06:00:00;JO;Kasai-Central;Sortie;Lomami;Lomami;690
2020-04-17;06:00:00;JO;Kasai-Oriental;Entree;Hors_Zone;Lomami;690
2020-04-17;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Central;Hors_Zone;6897
2020-04-17;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Central;Kasai-Central;6897
2020-04-17;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Oriental;Kasai-Oriental;13109
2020-04-17;06:00:00;JO;Kasai-Oriental;Entree;Kasai-Oriental;Lomami;2760
