Date;Origin;Destination;Immobility;Home_Category;Activity_Category;Recurrence;Volume
2020-03-08;Bas-Uele;Haut-Uele;1h;Outside_Resident;Outside_Worker;Primo;722
2020-03-08;Bas-Uele;Haut-Uele;1h;Outside_Resident;Origin_Zone_Worker;Primo;39
2020-03-08;Bas-Uele;Haut-Uele;1h;Outside_Resident;Destination_Zone_Worker;Primo;158
2020-03-08;Bas-Uele;Haut-Uele;1h;Destination_Zone_Resident;Outside_Worker;Primo;39
2020-03-08;Bas-Uele;Haut-Uele;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;39
2020-03-08;Bas-Uele;Haut-Uele;3h;Outside_Resident;Outside_Worker;Primo;722
2020-03-08;Bas-Uele;Haut-Uele;3h;Outside_Resident;Origin_Zone_Worker;Primo;39
2020-03-08;Bas-Uele;Haut-Uele;3h;Outside_Resident;Destination_Zone_Worker;Primo;158
2020-03-08;Bas-Uele;Haut-Uele;3h;Destination_Zone_Resident;Outside_Worker;Primo;39
2020-03-08;Bas-Uele;Haut-Uele;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;39
2020-03-08;Bas-Uele;Ituri;1h;Outside_Resident;Outside_Worker;Primo;125
2020-03-08;Bas-Uele;Ituri;3h;Outside_Resident;Outside_Worker;Primo;125
2020-03-08;Bas-Uele;Mongala;1h;Outside_Resident;Outside_Worker;Primo;1880
2020-03-08;Bas-Uele;Mongala;1h;Outside_Resident;Outside_Worker;Occasional;39
2020-03-08;Bas-Uele;Mongala;1h;Outside_Resident;Origin_Zone_Worker;Primo;205
2020-03-08;Bas-Uele;Mongala;1h;Outside_Resident;Destination_Zone_Worker;Primo;681
2020-03-08;Bas-Uele;Mongala;1h;Outside_Resident;Study_Zone_Worker;Primo;39
2020-03-08;Bas-Uele;Mongala;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;39
2020-03-08;Bas-Uele;Mongala;1h;Destination_Zone_Resident;Outside_Worker;Primo;87
2020-03-08;Bas-Uele;Mongala;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;126
2020-03-08;Bas-Uele;Mongala;3h;Outside_Resident;Outside_Worker;Primo;1793
2020-03-08;Bas-Uele;Mongala;3h;Outside_Resident;Outside_Worker;Occasional;39
2020-03-08;Bas-Uele;Mongala;3h;Outside_Resident;Origin_Zone_Worker;Primo;205
2020-03-08;Bas-Uele;Mongala;3h;Outside_Resident;Destination_Zone_Worker;Primo;681
2020-03-08;Bas-Uele;Mongala;3h;Outside_Resident;Study_Zone_Worker;Primo;39
2020-03-08;Bas-Uele;Mongala;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;39
2020-03-08;Bas-Uele;Mongala;3h;Destination_Zone_Resident;Outside_Worker;Primo;87
2020-03-08;Bas-Uele;Mongala;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;126
2020-03-08;Bas-Uele;Nord-Kivu;1h;Outside_Resident;Outside_Worker;Primo;87
2020-03-08;Bas-Uele;Nord-Kivu;3h;Outside_Resident;Outside_Worker;Primo;87
2020-03-08;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Outside_Worker;Primo;1042
2020-03-08;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Origin_Zone_Worker;Primo;39
2020-03-08;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Destination_Zone_Worker;Primo;174
2020-03-08;Bas-Uele;Nord-Ubangi;1h;Origin_Zone_Resident;Outside_Worker;Primo;91
2020-03-08;Bas-Uele;Nord-Ubangi;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;158
2020-03-08;Bas-Uele;Nord-Ubangi;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;39
2020-03-08;Bas-Uele;Nord-Ubangi;1h;Study_Zone_Resident;Study_Zone_Worker;Primo;87
2020-03-08;Bas-Uele;Nord-Ubangi;3h;Outside_Resident;Outside_Worker;Primo;1042
2020-03-08;Bas-Uele;Nord-Ubangi;3h;Outside_Resident;Origin_Zone_Worker;Primo;39
2020-03-08;Bas-Uele;Nord-Ubangi;3h;Outside_Resident;Destination_Zone_Worker;Primo;174
2020-03-08;Bas-Uele;Nord-Ubangi;3h;Origin_Zone_Resident;Outside_Worker;Primo;91
2020-03-08;Bas-Uele;Nord-Ubangi;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;158
2020-03-08;Bas-Uele;Nord-Ubangi;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;39
2020-03-08;Bas-Uele;Nord-Ubangi;3h;Study_Zone_Resident;Study_Zone_Worker;Primo;87
2020-03-08;Bas-Uele;Tshopo;1h;Outside_Resident;Outside_Worker;Primo;4240
2020-03-08;Bas-Uele;Tshopo;1h;Outside_Resident;Outside_Worker;Occasional;39
2020-03-08;Bas-Uele;Tshopo;1h;Outside_Resident;Origin_Zone_Worker;Primo;467
2020-03-08;Bas-Uele;Tshopo;1h;Outside_Resident;Destination_Zone_Worker;Primo;2673
2020-03-08;Bas-Uele;Tshopo;1h;Outside_Resident;Destination_Zone_Worker;Occasional;39
2020-03-08;Bas-Uele;Tshopo;1h;Origin_Zone_Resident;Outside_Worker;Primo;158
2020-03-08;Bas-Uele;Tshopo;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;822
2020-03-08;Bas-Uele;Tshopo;1h;Origin_Zone_Resident;Destination_Zone_Worker;Primo;281
2020-03-08;Bas-Uele;Tshopo;1h;Destination_Zone_Resident;Outside_Worker;Primo;158
2020-03-08;Bas-Uele;Tshopo;1h;Destination_Zone_Resident;Origin_Zone_Worker;Primo;79
2020-03-08;Bas-Uele;Tshopo;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;4974
2020-03-08;Bas-Uele;Tshopo;1h;Destination_Zone_Resident;Destination_Zone_Worker;Occasional;79
2020-03-08;Bas-Uele;Tshopo;1h;Study_Zone_Resident;Study_Zone_Worker;Primo;88
2020-03-08;Bas-Uele;Tshopo;3h;Outside_Resident;Outside_Worker;Primo;4240
2020-03-08;Bas-Uele;Tshopo;3h;Outside_Resident;Outside_Worker;Occasional;39
2020-03-08;Bas-Uele;Tshopo;3h;Outside_Resident;Origin_Zone_Worker;Primo;467
2020-03-08;Bas-Uele;Tshopo;3h;Outside_Resident;Destination_Zone_Worker;Primo;2673
2020-03-08;Bas-Uele;Tshopo;3h;Outside_Resident;Destination_Zone_Worker;Occasional;39
2020-03-08;Bas-Uele;Tshopo;3h;Origin_Zone_Resident;Outside_Worker;Primo;158
2020-03-08;Bas-Uele;Tshopo;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;822
2020-03-08;Bas-Uele;Tshopo;3h;Origin_Zone_Resident;Destination_Zone_Worker;Primo;281
2020-03-08;Bas-Uele;Tshopo;3h;Destination_Zone_Resident;Outside_Worker;Primo;158
