Date;Hour;Type;Activity_Zone;Home_Zone;Zone;Volume
2020-04-09;06:00:00;Local;Hors_Zone;Hors_Zone;ZoneGlobale;3674578
2020-04-09;06:00:00;Local;Tanganyika;Hors_Zone;ZoneGlobale;1180
2020-04-09;06:00:00;Local;Mongala;Hors_Zone;ZoneGlobale;86648
2020-04-09;06:00:00;Local;Haut-Katanga;Hors_Zone;ZoneGlobale;109061
2020-04-09;06:00:00;Local;Lualaba;Hors_Zone;ZoneGlobale;33051
2020-04-09;06:00:00;Local;Kinshasa;Hors_Zone;ZoneGlobale;47501
2020-04-09;06:00:00;Local;Nord-Ubangi;Hors_Zone;ZoneGlobale;21662
2020-04-09;06:00:00;Local;Sud-Kivu;Hors_Zone;ZoneGlobale;62406
2020-04-09;06:00:00;Local;Tshopo;Hors_Zone;ZoneGlobale;52399
2020-04-09;06:00:00;Local;Kongo-Central;Hors_Zone;ZoneGlobale;16806
2020-04-09;06:00:00;Local;Ituri;Hors_Zone;ZoneGlobale;15676
2020-04-09;06:00:00;Local;Bas-Uele;Hors_Zone;ZoneGlobale;2911
2020-04-09;06:00:00;Local;Lomami;Hors_Zone;ZoneGlobale;45756
2020-04-09;06:00:00;Local;Kasai-Oriental;Hors_Zone;ZoneGlobale;55080
2020-04-09;06:00:00;Local;Kwilu;Hors_Zone;ZoneGlobale;115837
2020-04-09;06:00:00;Local;Maniema;Hors_Zone;ZoneGlobale;19641
2020-04-09;06:00:00;Local;Sud-Ubangi;Hors_Zone;ZoneGlobale;43324
2020-04-09;06:00:00;Local;Kasai-Central;Hors_Zone;ZoneGlobale;144853
2020-04-09;06:00:00;Local;Equateur;Hors_Zone;ZoneGlobale;86648
2020-04-09;06:00:00;Local;Haut-Lomami;Hors_Zone;ZoneGlobale;6574
2020-04-09;06:00:00;Local;Nord-Kivu;Hors_Zone;ZoneGlobale;105866
2020-04-09;06:00:00;Local;Hors_Zone;Tanganyika;ZoneGlobale;786
2020-04-09;06:00:00;Local;Tanganyika;Tanganyika;ZoneGlobale;18099
2020-04-09;06:00:00;Local;Hors_Zone;Mongala;ZoneGlobale;89559
2020-04-09;06:00:00;Local;Mongala;Mongala;ZoneGlobale;519888
2020-04-09;06:00:00;Local;Hors_Zone;Sankuru;ZoneGlobale;672
2020-04-09;06:00:00;Local;Sankuru;Sankuru;ZoneGlobale;19513
2020-04-09;06:00:00;Local;Hors_Zone;Haut-Katanga;ZoneGlobale;53905
2020-04-09;06:00:00;Local;Haut-Katanga;Haut-Katanga;ZoneGlobale;6944703
2020-04-09;06:00:00;Local;Lualaba;Haut-Katanga;ZoneGlobale;25575
2020-04-09;06:00:00;Local;Kinshasa;Haut-Katanga;ZoneGlobale;968
2020-04-09;06:00:00;Local;Hors_Zone;Lualaba;ZoneGlobale;25393
2020-04-09;06:00:00;Local;Haut-Katanga;Lualaba;ZoneGlobale;25968
2020-04-09;06:00:00;Local;Lualaba;Lualaba;ZoneGlobale;1605899
2020-04-09;06:00:00;Local;Hors_Zone;Kinshasa;ZoneGlobale;63304
2020-04-09;06:00:00;Local;Kinshasa;Kinshasa;ZoneGlobale;2847880
2020-04-09;06:00:00;Local;Hors_Zone;Nord-Ubangi;ZoneGlobale;21662
2020-04-09;06:00:00;Local;Nord-Ubangi;Nord-Ubangi;ZoneGlobale;216620
2020-04-09;06:00:00;Local;Tshuapa;Tshuapa;ZoneGlobale;151634
2020-04-09;06:00:00;Local;Hors_Zone;Sud-Kivu;ZoneGlobale;66751
2020-04-09;06:00:00;Local;Sud-Kivu;Sud-Kivu;ZoneGlobale;4753171
2020-04-09;06:00:00;Local;Nord-Kivu;Sud-Kivu;ZoneGlobale;21379
2020-04-09;06:00:00;Local;Hors_Zone;Tshopo;ZoneGlobale;61133
2020-04-09;06:00:00;Local;Tshopo;Tshopo;ZoneGlobale;4363228
2020-04-09;06:00:00;Local;Hors_Zone;Kongo-Central;ZoneGlobale;32152
2020-04-09;06:00:00;Local;Kinshasa;Kongo-Central;ZoneGlobale;3498
2020-04-09;06:00:00;Local;Kongo-Central;Kongo-Central;ZoneGlobale;1143825
2020-04-09;06:00:00;Local;Hors_Zone;Ituri;ZoneGlobale;26199
2020-04-09;06:00:00;Local;Ituri;Ituri;ZoneGlobale;1006379
2020-04-09;06:00:00;Local;Hors_Zone;Kasai;ZoneGlobale;8047
2020-04-09;06:00:00;Local;Kasai;Kasai;ZoneGlobale;177043
2020-04-09;06:00:00;Local;Kwilu;Kasai;ZoneGlobale;8047
2020-04-09;06:00:00;Local;Hors_Zone;Bas-Uele;ZoneGlobale;5822
2020-04-09;06:00:00;Local;Bas-Uele;Bas-Uele;ZoneGlobale;40755
2020-04-09;06:00:00;Local;Hors_Zone;Lomami;ZoneGlobale;55570
2020-04-09;06:00:00;Local;Lomami;Lomami;ZoneGlobale;2399067
2020-04-09;06:00:00;Local;Kasai-Oriental;Lomami;ZoneGlobale;30280
2020-04-09;06:00:00;Local;Hors_Zone;Kasai-Oriental;ZoneGlobale;70654
2020-04-09;06:00:00;Local;Lomami;Kasai-Oriental;ZoneGlobale;24224
2020-04-09;06:00:00;Local;Kasai-Oriental;Kasai-Oriental;ZoneGlobale;6051795
2020-04-09;06:00:00;Local;Kasai-Central;Kasai-Oriental;ZoneGlobale;8720
2020-04-09;06:00:00;Local;Haut-Lomami;Kasai-Oriental;ZoneGlobale;672
2020-04-09;06:00:00;Local;Hors_Zone;Kwilu;ZoneGlobale;173755
2020-04-09;06:00:00;Local;Kwilu;Kwilu;ZoneGlobale;2085066
2020-04-09;06:00:00;Local;Hors_Zone;Mai-Ndombe;ZoneGlobale;115837
2020-04-09;06:00:00;Local;Mai-Ndombe;Mai-Ndombe;ZoneGlobale;463348
2020-04-09;06:00:00;Local;Tshopo;Maniema;ZoneGlobale;2911
2020-04-09;06:00:00;Local;Maniema;Maniema;ZoneGlobale;309173
2020-04-09;06:00:00;Local;Hors_Zone;Kwango;ZoneGlobale;173755
2020-04-09;06:00:00;Local;Kwango;Kwango;ZoneGlobale;579185
2020-04-09;06:00:00;Local;Haut-Uele;Haut-Uele;ZoneGlobale;17466
2020-04-09;06:00:00;Local;Hors_Zone;Sud-Ubangi;ZoneGlobale;173296
2020-04-09;06:00:00;Local;Sud-Ubangi;Sud-Ubangi;ZoneGlobale;454902
2020-04-09;06:00:00;Local;Hors_Zone;Kasai-Central;ZoneGlobale;80474
2020-04-09;06:00:00;Local;Kasai-Oriental;Kasai-Central;ZoneGlobale;16767
2020-04-09;06:00:00;Local;Kasai-Central;Kasai-Central;ZoneGlobale;4716462
2020-04-09;06:00:00;Local;Hors_Zone;Equateur;ZoneGlobale;411578
2020-04-09;06:00:00;Local;Equateur;Equateur;ZoneGlobale;2729414
2020-04-09;06:00:00;Local;Hors_Zone;Haut-Lomami;ZoneGlobale;4328
2020-04-09;06:00:00;Local;Lomami;Haut-Lomami;ZoneGlobale;2018
2020-04-09;06:00:00;Local;Haut-Lomami;Haut-Lomami;ZoneGlobale;92630
2020-04-09;06:00:00;Local;Hors_Zone;Nord-Kivu;ZoneGlobale;94070
2020-04-09;06:00:00;Local;Sud-Kivu;Nord-Kivu;ZoneGlobale;22664
2020-04-09;06:00:00;Local;Tshopo;Nord-Kivu;ZoneGlobale;1366
2020-04-09;06:00:00;Local;Nord-Kivu;Nord-Kivu;ZoneGlobale;6289189
2020-04-09;06:00:00;Local;Hors_Zone;Hors_Zone;Tanganyika;5734
2020-04-09;06:00:00;Local;Tanganyika;Hors_Zone;Tanganyika;1180
2020-04-09;06:00:00;Local;Hors_Zone;Tanganyika;Tanganyika;786
2020-04-09;06:00:00;Local;Tanganyika;Tanganyika;Tanganyika;17312
2020-04-09;06:00:00;Local;Hors_Zone;Hors_Zone;Mongala;217057
2020-04-09;06:00:00;Local;Mongala;Hors_Zone;Mongala;86648
2020-04-09;06:00:00;Local;Hors_Zone;Mongala;Mongala;86648
