Date;Hour;Day_type;Origin;Destination;Immobility;Home_Category;Activity_Category;Observation_Zone;Mode;Volume
2020-03-05;06:00:00;JO;Bas-Uele;Tshopo;1h;Outside_Resident;Outside_Worker;ZoneGlobale;All_modes;75
2020-03-05;06:00:00;JO;Bas-Uele;Tshopo;1h;Origin_Zone_Resident;Origin_Zone_Worker;ZoneGlobale;All_modes;75
2020-03-05;06:00:00;JO;Equateur;Kinshasa;1h;Outside_Resident;Outside_Worker;ZoneGlobale;All_modes;468
2020-03-05;06:00:00;JO;Equateur;Mongala;1h;Outside_Resident;Outside_Worker;ZoneGlobale;All_modes;309
2020-03-05;06:00:00;JO;Equateur;Sud-Ubangi;1h;Outside_Resident;Outside_Worker;ZoneGlobale;All_modes;234
2020-03-05;06:00:00;JO;Haut-Katanga;Lualaba;1h;Outside_Resident;Outside_Worker;ZoneGlobale;All_modes;21
2020-03-05;06:00:00;JO;Haut-Katanga;Lualaba;1h;Outside_Resident;Destination_Zone_Worker;ZoneGlobale;All_modes;42
2020-03-05;06:00:00;JO;Haut-Katanga;Lualaba;1h;Outside_Resident;Origin_Zone_Worker;ZoneGlobale;All_modes;105
2020-03-05;06:00:00;JO;Haut-Katanga;Lualaba;1h;Destination_Zone_Resident;Outside_Worker;ZoneGlobale;All_modes;21
2020-03-05;06:00:00;JO;Haut-Katanga;Lualaba;1h;Destination_Zone_Resident;Destination_Zone_Worker;ZoneGlobale;All_modes;487
2020-03-05;06:00:00;JO;Haut-Katanga;Lualaba;1h;Destination_Zone_Resident;Origin_Zone_Worker;ZoneGlobale;All_modes;84
2020-03-05;06:00:00;JO;Haut-Katanga;Lualaba;1h;Study_Zone_Resident;Study_Zone_Worker;ZoneGlobale;All_modes;21
2020-03-05;06:00:00;JO;Haut-Katanga;Lualaba;1h;Origin_Zone_Resident;Destination_Zone_Worker;ZoneGlobale;All_modes;296
2020-03-05;06:00:00;JO;Haut-Katanga;Lualaba;1h;Origin_Zone_Resident;Origin_Zone_Worker;ZoneGlobale;All_modes;825
2020-03-05;06:00:00;JO;Haut-Katanga;Lualaba;3h;Outside_Resident;Outside_Worker;ZoneGlobale;All_modes;21
2020-03-05;06:00:00;JO;Haut-Katanga;Lualaba;3h;Origin_Zone_Resident;Destination_Zone_Worker;ZoneGlobale;All_modes;148
2020-03-05;06:00:00;JO;Haut-Katanga;Lualaba;3h;Origin_Zone_Resident;Origin_Zone_Worker;ZoneGlobale;All_modes;148
2020-03-05;06:00:00;JO;Haut-Katanga;Tanganyika;1h;Outside_Resident;Outside_Worker;ZoneGlobale;All_modes;29
2020-03-05;06:00:00;JO;Haut-Lomami;Kasai;1h;Study_Zone_Resident;Study_Zone_Worker;ZoneGlobale;All_modes;245
2020-03-05;06:00:00;JO;Haut-Lomami;Kasai;3h;Study_Zone_Resident;Study_Zone_Worker;ZoneGlobale;All_modes;245
2020-03-05;06:00:00;JO;Haut-Lomami;Kasai-Oriental;1h;Outside_Resident;Outside_Worker;ZoneGlobale;All_modes;59
