Date;Hour;Type;Activity_Zone;Home_Zone;Zone;Volume
2020-03-31;06:00:00;Local;Hors_Zone;Hors_Zone;ZoneGlobale;4337947
2020-03-31;06:00:00;Local;Tanganyika;Hors_Zone;ZoneGlobale;2312
2020-03-31;06:00:00;Local;Sankuru;Hors_Zone;ZoneGlobale;2772
2020-03-31;06:00:00;Local;Haut-Katanga;Hors_Zone;ZoneGlobale;223316
2020-03-31;06:00:00;Local;Lualaba;Hors_Zone;ZoneGlobale;65672
2020-03-31;06:00:00;Local;Kinshasa;Hors_Zone;ZoneGlobale;69432
2020-03-31;06:00:00;Local;Nord-Ubangi;Hors_Zone;ZoneGlobale;35241
2020-03-31;06:00:00;Local;Sud-Kivu;Hors_Zone;ZoneGlobale;120847
2020-03-31;06:00:00;Local;Tshopo;Hors_Zone;ZoneGlobale;109963
2020-03-31;06:00:00;Local;Kongo-Central;Hors_Zone;ZoneGlobale;25514
2020-03-31;06:00:00;Local;Ituri;Hors_Zone;ZoneGlobale;36917
2020-03-31;06:00:00;Local;Kasai;Hors_Zone;ZoneGlobale;31082
2020-03-31;06:00:00;Local;Bas-Uele;Hors_Zone;ZoneGlobale;5236
2020-03-31;06:00:00;Local;Lomami;Hors_Zone;ZoneGlobale;77449
2020-03-31;06:00:00;Local;Kasai-Oriental;Hors_Zone;ZoneGlobale;88019
2020-03-31;06:00:00;Local;Kwilu;Hors_Zone;ZoneGlobale;294424
2020-03-31;06:00:00;Local;Mai-Ndombe;Hors_Zone;ZoneGlobale;36803
2020-03-31;06:00:00;Local;Maniema;Hors_Zone;ZoneGlobale;67984
2020-03-31;06:00:00;Local;Kwango;Hors_Zone;ZoneGlobale;73606
2020-03-31;06:00:00;Local;Haut-Uele;Hors_Zone;ZoneGlobale;5236
2020-03-31;06:00:00;Local;Sud-Ubangi;Hors_Zone;ZoneGlobale;35241
2020-03-31;06:00:00;Local;Kasai-Central;Hors_Zone;ZoneGlobale;278078
2020-03-31;06:00:00;Local;Equateur;Hors_Zone;ZoneGlobale;52862
2020-03-31;06:00:00;Local;Haut-Lomami;Hors_Zone;ZoneGlobale;13490
2020-03-31;06:00:00;Local;Nord-Kivu;Hors_Zone;ZoneGlobale;235087
2020-03-31;06:00:00;Local;Hors_Zone;Tanganyika;ZoneGlobale;1541
2020-03-31;06:00:00;Local;Tanganyika;Tanganyika;ZoneGlobale;34689
2020-03-31;06:00:00;Local;Sud-Kivu;Tanganyika;ZoneGlobale;385
2020-03-31;06:00:00;Local;Hors_Zone;Mongala;ZoneGlobale;52862
2020-03-31;06:00:00;Local;Mongala;Mongala;ZoneGlobale;828174
2020-03-31;06:00:00;Local;Tshopo;Mongala;ZoneGlobale;17620
2020-03-31;06:00:00;Local;Sankuru;Sankuru;ZoneGlobale;29801
2020-03-31;06:00:00;Local;Hors_Zone;Haut-Katanga;ZoneGlobale;51226
2020-03-31;06:00:00;Local;Haut-Katanga;Haut-Katanga;ZoneGlobale;6442298
2020-03-31;06:00:00;Local;Lualaba;Haut-Katanga;ZoneGlobale;13104
2020-03-31;06:00:00;Local;Haut-Lomami;Haut-Katanga;ZoneGlobale;1078
2020-03-31;06:00:00;Local;Hors_Zone;Lualaba;ZoneGlobale;16573
2020-03-31;06:00:00;Local;Haut-Katanga;Lualaba;ZoneGlobale;18886
2020-03-31;06:00:00;Local;Lualaba;Lualaba;ZoneGlobale;1564832
2020-03-31;06:00:00;Local;Haut-Lomami;Lualaba;ZoneGlobale;770
2020-03-31;06:00:00;Local;Hors_Zone;Kinshasa;ZoneGlobale;135047
2020-03-31;06:00:00;Local;Haut-Katanga;Kinshasa;ZoneGlobale;385
2020-03-31;06:00:00;Local;Kinshasa;Kinshasa;ZoneGlobale;3003092
2020-03-31;06:00:00;Local;Kongo-Central;Kinshasa;ZoneGlobale;1618
2020-03-31;06:00:00;Local;Mai-Ndombe;Kinshasa;ZoneGlobale;36803
2020-03-31;06:00:00;Local;Hors_Zone;Nord-Ubangi;ZoneGlobale;17620
2020-03-31;06:00:00;Local;Nord-Ubangi;Nord-Ubangi;ZoneGlobale;370035
2020-03-31;06:00:00;Local;Tshuapa;Tshuapa;ZoneGlobale;193828
2020-03-31;06:00:00;Local;Hors_Zone;Sud-Kivu;ZoneGlobale;66541
2020-03-31;06:00:00;Local;Sud-Kivu;Sud-Kivu;ZoneGlobale;4558423
2020-03-31;06:00:00;Local;Nord-Kivu;Sud-Kivu;ZoneGlobale;27328
2020-03-31;06:00:00;Local;Hors_Zone;Tshopo;ZoneGlobale;109061
2020-03-31;06:00:00;Local;Tshopo;Tshopo;ZoneGlobale;5626041
2020-03-31;06:00:00;Local;Nord-Kivu;Tshopo;ZoneGlobale;2618
2020-03-31;06:00:00;Local;Hors_Zone;Kongo-Central;ZoneGlobale;25911
2020-03-31;06:00:00;Local;Kinshasa;Kongo-Central;ZoneGlobale;3520
2020-03-31;06:00:00;Local;Kongo-Central;Kongo-Central;ZoneGlobale;1102407
2020-03-31;06:00:00;Local;Hors_Zone;Ituri;ZoneGlobale;16336
2020-03-31;06:00:00;Local;Ituri;Ituri;ZoneGlobale;840441
2020-03-31;06:00:00;Local;Hors_Zone;Kasai;ZoneGlobale;23311
2020-03-31;06:00:00;Local;Kasai;Kasai;ZoneGlobale;187492
2020-03-31;06:00:00;Local;Hors_Zone;Bas-Uele;ZoneGlobale;5236
2020-03-31;06:00:00;Local;Bas-Uele;Bas-Uele;ZoneGlobale;57599
2020-03-31;06:00:00;Local;Hors_Zone;Lomami;ZoneGlobale;51980
2020-03-31;06:00:00;Local;Lomami;Lomami;ZoneGlobale;2359312
2020-03-31;06:00:00;Local;Kasai-Oriental;Lomami;ZoneGlobale;34345
2020-03-31;06:00:00;Local;Hors_Zone;Kasai-Oriental;ZoneGlobale;82475
2020-03-31;06:00:00;Local;Lomami;Kasai-Oriental;ZoneGlobale;22871
2020-03-31;06:00:00;Local;Kasai-Oriental;Kasai-Oriental;ZoneGlobale;5911843
2020-03-31;06:00:00;Local;Kasai-Central;Kasai-Oriental;ZoneGlobale;7770
2020-03-31;06:00:00;Local;Hors_Zone;Kwilu;ZoneGlobale;110409
2020-03-31;06:00:00;Local;Kwilu;Kwilu;ZoneGlobale;1693449
2020-03-31;06:00:00;Local;Hors_Zone;Mai-Ndombe;ZoneGlobale;36803
2020-03-31;06:00:00;Local;Mai-Ndombe;Mai-Ndombe;ZoneGlobale;625652
2020-03-31;06:00:00;Local;Hors_Zone;Maniema;ZoneGlobale;67984
2020-03-31;06:00:00;Local;Maniema;Maniema;ZoneGlobale;1035848
2020-03-31;06:00:00;Local;Hors_Zone;Kwango;ZoneGlobale;36803
2020-03-31;06:00:00;Local;Kwango;Kwango;ZoneGlobale;331227
2020-03-31;06:00:00;Local;Hors_Zone;Haut-Uele;ZoneGlobale;2618
2020-03-31;06:00:00;Local;Haut-Uele;Haut-Uele;ZoneGlobale;18327
2020-03-31;06:00:00;Local;Hors_Zone;Sud-Ubangi;ZoneGlobale;17620
2020-03-31;06:00:00;Local;Sud-Ubangi;Sud-Ubangi;ZoneGlobale;511001
2020-03-31;06:00:00;Local;Hors_Zone;Kasai-Central;ZoneGlobale;85477
2020-03-31;06:00:00;Local;Lomami;Kasai-Central;ZoneGlobale;1386
2020-03-31;06:00:00;Local;Kasai-Oriental;Kasai-Central;ZoneGlobale;7770
2020-03-31;06:00:00;Local;Kasai-Central;Kasai-Central;ZoneGlobale;3833390
2020-03-31;06:00:00;Local;Hors_Zone;Equateur;ZoneGlobale;229069
2020-03-31;06:00:00;Local;Equateur;Equateur;ZoneGlobale;3101250
2020-03-31;06:00:00;Local;Hors_Zone;Haut-Lomami;ZoneGlobale;4625
2020-03-31;06:00:00;Local;Lualaba;Haut-Lomami;ZoneGlobale;385
2020-03-31;06:00:00;Local;Lomami;Haut-Lomami;ZoneGlobale;1078
2020-03-31;06:00:00;Local;Haut-Lomami;Haut-Lomami;ZoneGlobale;98266
2020-03-31;06:00:00;Local;Hors_Zone;Nord-Kivu;ZoneGlobale;105931
2020-03-31;06:00:00;Local;Sud-Kivu;Nord-Kivu;ZoneGlobale;24846
2020-03-31;06:00:00;Local;Ituri;Nord-Kivu;ZoneGlobale;1255
2020-03-31;06:00:00;Local;Nord-Kivu;Nord-Kivu;ZoneGlobale;5968002
2020-03-31;06:00:00;Local;Hors_Zone;Hors_Zone;Tanganyika;7708
2020-03-31;06:00:00;Local;Tanganyika;Hors_Zone;Tanganyika;2312
2020-03-31;06:00:00;Local;Sud-Kivu;Hors_Zone;Tanganyika;385
2020-03-31;06:00:00;Local;Hors_Zone;Tanganyika;Tanganyika;1541
2020-03-31;06:00:00;Local;Tanganyika;Tanganyika;Tanganyika;34689
2020-03-31;06:00:00;Local;Sud-Kivu;Tanganyika;Tanganyika;385
2020-03-31;06:00:00;Local;Haut-Katanga;Haut-Katanga;Tanganyika;770
2020-03-31;06:00:00;Local;Lualaba;Lualaba;Tanganyika;385
2020-03-31;06:00:00;Local;Hors_Zone;Hors_Zone;Mongala;140965
2020-03-31;06:00:00;Local;Hors_Zone;Mongala;Mongala;52862
2020-03-31;06:00:00;Local;Mongala;Mongala;Mongala;810554
2020-03-31;06:00:00;Local;Tshopo;Mongala;Mongala;17620
2020-03-31;06:00:00;Local;Tshopo;Tshopo;Mongala;17620
2020-03-31;06:00:00;Local;Hors_Zone;Hors_Zone;Sankuru;11782
