Date;Origin;Destination;Immobility;Home_Category;Activity_Category;Recurrence;Volume
2020-03-16;Bas-Uele;Haut-Uele;1h;Outside_Resident;Outside_Worker;Primo;568
2020-03-16;Bas-Uele;Haut-Uele;1h;Outside_Resident;Outside_Worker;Occasional;78
2020-03-16;Bas-Uele;Haut-Uele;1h;Origin_Zone_Resident;Outside_Worker;Primo;39
2020-03-16;Bas-Uele;Haut-Uele;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;118
2020-03-16;Bas-Uele;Haut-Uele;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;39
2020-03-16;Bas-Uele;Haut-Uele;3h;Outside_Resident;Outside_Worker;Primo;568
2020-03-16;Bas-Uele;Haut-Uele;3h;Outside_Resident;Outside_Worker;Occasional;78
2020-03-16;Bas-Uele;Haut-Uele;3h;Origin_Zone_Resident;Outside_Worker;Primo;39
2020-03-16;Bas-Uele;Haut-Uele;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;118
2020-03-16;Bas-Uele;Haut-Uele;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;39
2020-03-16;Bas-Uele;Ituri;1h;Outside_Resident;Outside_Worker;Primo;39
2020-03-16;Bas-Uele;Ituri;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;39
2020-03-16;Bas-Uele;Ituri;3h;Outside_Resident;Outside_Worker;Primo;39
2020-03-16;Bas-Uele;Ituri;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;39
2020-03-16;Bas-Uele;Mongala;1h;Outside_Resident;Outside_Worker;Primo;1526
2020-03-16;Bas-Uele;Mongala;1h;Outside_Resident;Origin_Zone_Worker;Primo;78
2020-03-16;Bas-Uele;Mongala;1h;Outside_Resident;Destination_Zone_Worker;Primo;185
2020-03-16;Bas-Uele;Mongala;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;87
2020-03-16;Bas-Uele;Mongala;1h;Origin_Zone_Resident;Destination_Zone_Worker;Primo;39
2020-03-16;Bas-Uele;Mongala;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;348
2020-03-16;Bas-Uele;Mongala;3h;Outside_Resident;Outside_Worker;Primo;1526
2020-03-16;Bas-Uele;Mongala;3h;Outside_Resident;Origin_Zone_Worker;Primo;78
2020-03-16;Bas-Uele;Mongala;3h;Outside_Resident;Destination_Zone_Worker;Primo;185
2020-03-16;Bas-Uele;Mongala;3h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;87
2020-03-16;Bas-Uele;Mongala;3h;Origin_Zone_Resident;Destination_Zone_Worker;Primo;39
2020-03-16;Bas-Uele;Mongala;3h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;348
2020-03-16;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Outside_Worker;Primo;719
2020-03-16;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Origin_Zone_Worker;Primo;87
2020-03-16;Bas-Uele;Nord-Ubangi;1h;Outside_Resident;Destination_Zone_Worker;Primo;300
2020-03-16;Bas-Uele;Nord-Ubangi;1h;Origin_Zone_Resident;Origin_Zone_Worker;Primo;87
2020-03-16;Bas-Uele;Nord-Ubangi;1h;Origin_Zone_Resident;Destination_Zone_Worker;Primo;87
2020-03-16;Bas-Uele;Nord-Ubangi;1h;Destination_Zone_Resident;Outside_Worker;Primo;87
2020-03-16;Bas-Uele;Nord-Ubangi;1h;Destination_Zone_Resident;Destination_Zone_Worker;Primo;87
