Date;Hour;Type;Activity_Zone;Home_Zone;Zone;Volume
2020-03-21;06:00:00;Local;Hors_Zone;Hors_Zone;ZoneGlobale;6298439
2020-03-21;06:00:00;Local;Tanganyika;Hors_Zone;ZoneGlobale;5465
2020-03-21;06:00:00;Local;Mongala;Hors_Zone;ZoneGlobale;28450
2020-03-21;06:00:00;Local;Sankuru;Hors_Zone;ZoneGlobale;1767
2020-03-21;06:00:00;Local;Haut-Katanga;Hors_Zone;ZoneGlobale;367383
2020-03-21;06:00:00;Local;Lualaba;Hors_Zone;ZoneGlobale;118690
2020-03-21;06:00:00;Local;Kinshasa;Hors_Zone;ZoneGlobale;117349
2020-03-21;06:00:00;Local;Nord-Ubangi;Hors_Zone;ZoneGlobale;37934
2020-03-21;06:00:00;Local;Sud-Kivu;Hors_Zone;ZoneGlobale;213670
2020-03-21;06:00:00;Local;Tshopo;Hors_Zone;ZoneGlobale;164592
2020-03-21;06:00:00;Local;Kongo-Central;Hors_Zone;ZoneGlobale;41173
2020-03-21;06:00:00;Local;Ituri;Hors_Zone;ZoneGlobale;39140
2020-03-21;06:00:00;Local;Kasai;Hors_Zone;ZoneGlobale;59434
2020-03-21;06:00:00;Local;Bas-Uele;Hors_Zone;ZoneGlobale;3225
2020-03-21;06:00:00;Local;Lomami;Hors_Zone;ZoneGlobale;88181
2020-03-21;06:00:00;Local;Kasai-Oriental;Hors_Zone;ZoneGlobale;109408
2020-03-21;06:00:00;Local;Kwilu;Hors_Zone;ZoneGlobale;209949
2020-03-21;06:00:00;Local;Mai-Ndombe;Hors_Zone;ZoneGlobale;23144
2020-03-21;06:00:00;Local;Maniema;Hors_Zone;ZoneGlobale;127277
2020-03-21;06:00:00;Local;Kwango;Hors_Zone;ZoneGlobale;69434
2020-03-21;06:00:00;Local;Haut-Uele;Hors_Zone;ZoneGlobale;4300
2020-03-21;06:00:00;Local;Sud-Ubangi;Hors_Zone;ZoneGlobale;75869
2020-03-21;06:00:00;Local;Kasai-Central;Hors_Zone;ZoneGlobale;285118
2020-03-21;06:00:00;Local;Equateur;Hors_Zone;ZoneGlobale;95165
2020-03-21;06:00:00;Local;Haut-Lomami;Hors_Zone;ZoneGlobale;15692
2020-03-21;06:00:00;Local;Nord-Kivu;Hors_Zone;ZoneGlobale;406700
