Origine;NomOrigine;Destination;NomDestination;Distance
5;Lualaba;18;Mai-Ndombe;988215,0902
5;Lualaba;19;Maniema;797545,3426
5;Lualaba;20;Kwango;763557,0016
5;Lualaba;21;Haut-Uele;1548335,754
5;Lualaba;22;Sud-Ubangi;1515876,971
5;Lualaba;23;Kasai-Central;428532,1277
5;Lualaba;24;Equateur;1242279,215
5;Lualaba;25;Haut-Lomami;244804,3022
5;Lualaba;26;Nord-Kivu;1151647,16
6;Kinshasa;1;Tanganyika;1382108,979
6;Kinshasa;2;Mongala;954318,0931
6;Kinshasa;3;Sankuru;860947,1646
6;Kinshasa;4;Haut-Katanga;1474179,893
6;Kinshasa;5;Lualaba;1064687,969
6;Kinshasa;7;Nord-Ubangi;1082920,179
6;Kinshasa;8;Tshuapa;772831,2286
6;Kinshasa;9;Sud-Kivu;1378052,535
6;Kinshasa;10;Tshopo;1168336,449
6;Kinshasa;11;Kongo-Central;200515,2058
6;Kinshasa;12;Ituri;1659065,693
6;Kinshasa;13;Kasai;578981,3134
6;Kinshasa;14;Bas-Uele;1360212,67
6;Kinshasa;15;Lomami;991464,5389
6;Kinshasa;16;Kasai-Oriental;864298,3761
6;Kinshasa;17;Kwilu;306788,5817
6;Kinshasa;18;Mai-Ndombe;349187,6375
6;Kinshasa;19;Maniema;1177219,525
6;Kinshasa;20;Kwango;309160,658
6;Kinshasa;21;Haut-Uele;1652422,778
6;Kinshasa;22;Sud-Ubangi;916567,4021
6;Kinshasa;23;Kasai-Central;755357,7788
6;Kinshasa;24;Equateur;615282,1722
6;Kinshasa;25;Haut-Lomami;1133629,206
6;Kinshasa;26;Nord-Kivu;1484483,24
7;Nord-Ubangi;1;Tanganyika;1400330,025
7;Nord-Ubangi;2;Mongala;202016,0089
7;Nord-Ubangi;3;Sankuru;860356,2136
7;Nord-Ubangi;4;Haut-Katanga;1752123,722
7;Nord-Ubangi;5;Lualaba;1547831,802
7;Nord-Ubangi;6;Kinshasa;1082920,179
7;Nord-Ubangi;8;Tshuapa;507665,3817
7;Nord-Ubangi;9;Sud-Kivu;1119893,414
7;Nord-Ubangi;10;Tshopo;593479,6945
7;Nord-Ubangi;11;Kongo-Central;1260631,175
7;Nord-Ubangi;12;Ituri;965928,3448
7;Nord-Ubangi;13;Kasai;975054,665
7;Nord-Ubangi;14;Bas-Uele;453658,6554
7;Nord-Ubangi;15;Lomami;1185292,308
7;Nord-Ubangi;16;Kasai-Oriental;1140976,53
7;Nord-Ubangi;17;Kwilu;993425,2109
7;Nord-Ubangi;18;Mai-Ndombe;778442,5309
7;Nord-Ubangi;19;Maniema;972672,5587
7;Nord-Ubangi;20;Kwango;1193486,142
7;Nord-Ubangi;21;Haut-Uele;837917,4341
7;Nord-Ubangi;22;Sud-Ubangi;208810,7647
7;Nord-Ubangi;23;Kasai-Central;1127311,035
7;Nord-Ubangi;24;Equateur;467845,826
7;Nord-Ubangi;25;Haut-Lomami;1423468,713
7;Nord-Ubangi;26;Nord-Kivu;983363,5428
8;Tshuapa;1;Tanganyika;967960,7385
8;Tshuapa;2;Mongala;307147,5738
8;Tshuapa;3;Sankuru;372383,2959
8;Tshuapa;4;Haut-Katanga;1273389,726
8;Tshuapa;5;Lualaba;1041111,074
8;Tshuapa;6;Kinshasa;772831,2286
8;Tshuapa;7;Nord-Ubangi;507665,3817
8;Tshuapa;9;Sud-Kivu;775599,3442
8;Tshuapa;10;Tshopo;403872,423
8;Tshuapa;11;Kongo-Central;972862,8296
8;Tshuapa;12;Ituri;901427,2921
8;Tshuapa;13;Kasai;478961,0988
8;Tshuapa;14;Bas-Uele;605905,2346
8;Tshuapa;15;Lomami;693727,2151
8;Tshuapa;16;Kasai-Oriental;636819,2416
8;Tshuapa;17;Kwilu;571217,3362
8;Tshuapa;18;Mai-Ndombe;423743,9765
8;Tshuapa;19;Maniema;583134,7399
8;Tshuapa;20;Kwango;770586,1685
8;Tshuapa;21;Haut-Uele;879953,6333
8;Tshuapa;22;Sud-Ubangi;494748,8497
8;Tshuapa;23;Kasai-Central;619719,8858
8;Tshuapa;24;Equateur;331704,5708
8;Tshuapa;25;Haut-Lomami;930351,78
8;Tshuapa;26;Nord-Kivu;772821,3493
9;Sud-Kivu;1;Tanganyika;370564,6741
9;Sud-Kivu;2;Mongala;953377,1274
9;Sud-Kivu;3;Sankuru;517994,5883
9;Sud-Kivu;4;Haut-Katanga;800966,6695
9;Sud-Kivu;5;Lualaba;876752,9408
9;Sud-Kivu;6;Kinshasa;1378052,535
9;Sud-Kivu;7;Nord-Ubangi;1119893,414
9;Sud-Kivu;8;Tshuapa;775599,3442
9;Sud-Kivu;10;Tshopo;531740,2461
9;Sud-Kivu;11;Kongo-Central;1564757,893
9;Sud-Kivu;12;Ituri;566756,164
9;Sud-Kivu;13;Kasai;817048,7239
9;Sud-Kivu;14;Bas-Uele;832526,1891
9;Sud-Kivu;15;Lomami;517347,9511
9;Sud-Kivu;16;Kasai-Oriental;617730,9632
9;Sud-Kivu;17;Kwilu;1080382,915
9;Sud-Kivu;18;Mai-Ndombe;1083188,94
9;Sud-Kivu;19;Maniema;204559,2299
9;Sud-Kivu;20;Kwango;1206276,035
9;Sud-Kivu;21;Haut-Uele;726941,9987
9;Sud-Kivu;22;Sud-Ubangi;1211769,122
9;Sud-Kivu;23;Kasai-Central;721250,1926
9;Sud-Kivu;24;Equateur;1106742,74
9;Sud-Kivu;25;Haut-Lomami;637142,0053
9;Sud-Kivu;26;Nord-Kivu;293123,5015
10;Tshopo;1;Tanganyika;847763,6084
10;Tshopo;2;Mongala;448201,0483
10;Tshopo;3;Sankuru;473137,2516
10;Tshopo;4;Haut-Katanga;1243418,926
10;Tshopo;5;Lualaba;1150525,529
10;Tshopo;6;Kinshasa;1168336,449
10;Tshopo;7;Nord-Ubangi;593479,6945
10;Tshopo;8;Tshuapa;403872,423
10;Tshopo;9;Sud-Kivu;531740,2461
10;Tshopo;11;Kongo-Central;1368845,443
10;Tshopo;12;Ituri;497681,1086
10;Tshopo;13;Kasai;754169,5923
10;Tshopo;14;Bas-Uele;347855,9733
10;Tshopo;15;Lomami;743111,1224
10;Tshopo;16;Kasai-Oriental;757084,7783
10;Tshopo;17;Kwilu;932564,9403
10;Tshopo;18;Mai-Ndombe;821836,1315
10;Tshopo;19;Maniema;416929,1087
10;Tshopo;20;Kwango;1118078,907
10;Tshopo;21;Haut-Uele;492046,77
10;Tshopo;22;Sud-Ubangi;712207,0172
10;Tshopo;23;Kasai-Central;800853,8433
10;Tshopo;24;Equateur;700318,9419
10;Tshopo;25;Haut-Lomami;964371,1049
10;Tshopo;26;Nord-Kivu;407694,8187
11;Kongo-Central;1;Tanganyika;1544230,363
11;Kongo-Central;2;Mongala;1143649,136
11;Kongo-Central;3;Sankuru;1050349,966
11;Kongo-Central;4;Haut-Katanga;1596204,365
11;Kongo-Central;5;Lualaba;1170545,099
11;Kongo-Central;6;Kinshasa;200515,2058
11;Kongo-Central;7;Nord-Ubangi;1260631,175
11;Kongo-Central;8;Tshuapa;972862,8296
11;Kongo-Central;9;Sud-Kivu;1564757,893
11;Kongo-Central;10;Tshopo;1368845,443
11;Kongo-Central;12;Ituri;1859159,675
11;Kongo-Central;13;Kasai;753849,208
11;Kongo-Central;14;Bas-Uele;1556358,997
11;Kongo-Central;15;Lomami;1152543,934
